Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-01-18,Railroad Retirement Taxes,null,2,463,2222,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,18
2023-01-18,Excise Taxes,null,19,3496,23825,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,18
2023-01-18,Corporation Income Taxes,null,462,13082,119606,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,18
2023-01-18,Federal Unemployment Taxes,null,17,223,1066,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,18
2023-01-18,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,211,1366,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,18
2023-01-18,Cash Federal Tax Deposits,Direct,56,2255,11143,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,18
2023-01-18,Cash Federal Tax Deposits,Through Depositaries,11496,249176,1210508,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,18
2023-01-18,Inter-agency Transfers,null,26,6876,37840,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,18
2023-01-17,Withheld Income and Employment Taxes,null,40412,180951,1005493,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,17
2023-01-17,Individual Income Taxes,null,25365,48803,94835,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,17
2023-01-17,Railroad Retirement Taxes,null,188,461,2220,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,17
2023-01-17,Excise Taxes,null,150,3477,23806,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,17
2023-01-17,Corporation Income Taxes,null,6893,12621,119144,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,17
2023-01-17,Federal Unemployment Taxes,null,36,207,1049,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,17
2023-01-17,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,210,1365,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,17
2023-01-17,Cash Federal Tax Deposits,Direct,49,2200,11087,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,17
2023-01-17,Cash Federal Tax Deposits,Through Depositaries,72979,237680,1199012,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,17
2023-01-17,Inter-agency Transfers,null,18,6850,37814,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,17
2023-01-13,Individual Income Taxes,null,8787,23439,69470,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,13
2023-01-13,Railroad Retirement Taxes,null,42,274,2033,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,13
2023-01-13,Withheld Income and Employment Taxes,null,10033,140538,965081,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,13
2023-01-13,Excise Taxes,null,2062,3327,23656,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,13
2023-01-13,Corporation Income Taxes,null,2837,5728,112251,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,13
2023-01-13,Federal Unemployment Taxes,null,53,171,1014,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,13
2023-01-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,208,1363,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,13
