Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-01-27,Excise Taxes,null,482,4342,23983,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,27
2022-01-27,Corporation Income Taxes,null,52,12629,122488,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,27
2022-01-27,Federal Unemployment Taxes,null,29,328,1132,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,27
2022-01-27,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,110,1717,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,27
2022-01-27,Cash Federal Tax Deposits,Direct,154,3158,12792,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,27
2022-01-27,Cash Federal Tax Deposits,Through Depositaries,4047,310783,1255720,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,27
2022-01-27,Inter-agency Transfers,null,291,8915,39008,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,27
2022-01-26,Withheld Income and Employment Taxes,null,13545,238104,1053193,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,26
2022-01-26,Individual Income Taxes,null,310,62958,99109,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,26
2022-01-26,Railroad Retirement Taxes,null,39,459,1969,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,26
2022-01-26,Excise Taxes,null,351,3859,23501,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,26
2022-01-26,Corporation Income Taxes,null,61,12577,122437,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,26
2022-01-26,Federal Unemployment Taxes,null,22,299,1103,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,26
2022-01-26,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,108,1715,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,26
2022-01-26,Cash Federal Tax Deposits,Direct,95,3004,12638,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,26
2022-01-26,Cash Federal Tax Deposits,Through Depositaries,14225,306736,1251673,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,26
2022-01-26,Inter-agency Transfers,null,13,8624,38717,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,26
2022-01-25,Withheld Income and Employment Taxes,null,2543,224558,1039647,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,25
2022-01-25,Individual Income Taxes,null,336,62648,98799,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,25
2022-01-25,Railroad Retirement Taxes,null,33,420,1930,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,25
2022-01-25,Excise Taxes,null,70,3508,23150,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,25
2022-01-25,Corporation Income Taxes,null,45,12516,122375,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,25
2022-01-25,Federal Unemployment Taxes,null,17,277,1081,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,25
2022-01-25,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,104,1711,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,25
2022-01-25,Cash Federal Tax Deposits,Direct,37,2909,12542,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,25
2022-01-25,Cash Federal Tax Deposits,Through Depositaries,2713,292511,1237447,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,25
2022-01-25,Inter-agency Transfers,null,298,8611,38704,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,25
2022-01-24,Withheld Income and Employment Taxes,null,23793,222015,1037104,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,24
2022-01-24,Individual Income Taxes,null,898,62312,98463,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,24
2022-01-24,Railroad Retirement Taxes,null,45,386,1896,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,24
2022-01-24,Excise Taxes,null,71,3438,23079,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,24
2022-01-24,Corporation Income Taxes,null,66,12471,122330,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,24
2022-01-24,Federal Unemployment Taxes,null,15,260,1064,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,24
2022-01-24,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,102,1709,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,24
2022-01-24,Cash Federal Tax Deposits,Direct,62,2871,12505,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,24
2022-01-24,Cash Federal Tax Deposits,Through Depositaries,24069,289798,1234734,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,24
2022-01-24,Inter-agency Transfers,null,759,8313,38406,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,24
2022-01-21,Withheld Income and Employment Taxes,null,10167,198222,1013312,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,21
2022-01-21,Individual Income Taxes,null,518,61413,97564,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,21
2022-01-21,Railroad Retirement Taxes,null,22,341,1851,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,21
2022-01-21,Excise Taxes,null,52,3367,23009,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,21
2022-01-21,Corporation Income Taxes,null,74,12404,122264,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,21
2022-01-21,Federal Unemployment Taxes,null,17,245,1049,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,21
2022-01-21,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,100,1708,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,21
2022-01-21,Cash Federal Tax Deposits,Direct,48,2809,12443,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,21
2022-01-21,Cash Federal Tax Deposits,Through Depositaries,9729,265729,1210666,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,21
2022-01-21,Inter-agency Transfers,null,1074,7554,37647,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,21
2022-01-20,Withheld Income and Employment Taxes,null,10055,188056,1003145,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,20
2022-01-20,Individual Income Taxes,null,1326,60895,97046,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,20
2022-01-20,Railroad Retirement Taxes,null,3,319,1829,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,20
2022-01-20,Excise Taxes,null,18,3315,22957,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,20
2022-01-20,Corporation Income Taxes,null,113,12331,122190,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,20
2022-01-20,Federal Unemployment Taxes,null,13,227,1031,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,20
2022-01-20,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,100,1707,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,20
2022-01-20,Cash Federal Tax Deposits,Direct,67,2761,12395,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,20
2022-01-20,Cash Federal Tax Deposits,Through Depositaries,11428,256001,1200937,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,20
2022-01-20,Inter-agency Transfers,null,37,6481,36573,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,20
2022-01-19,Withheld Income and Employment Taxes,null,4959,178000,993090,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,19
2022-01-19,Individual Income Taxes,null,7381,59569,95720,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,19
2022-01-19,Railroad Retirement Taxes,null,2,316,1826,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,19
2022-01-19,Excise Taxes,null,29,3298,22939,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,19
2022-01-19,Corporation Income Taxes,null,760,12217,122077,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,19
2022-01-19,Federal Unemployment Taxes,null,51,215,1019,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,19
2022-01-19,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,96,1704,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,19
2022-01-19,Cash Federal Tax Deposits,Direct,123,2694,12328,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,19
2022-01-19,Cash Federal Tax Deposits,Through Depositaries,13031,244573,1189509,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,19
2022-01-19,Inter-agency Transfers,null,29,6444,36536,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,19
2022-01-18,Withheld Income and Employment Taxes,null,37686,173041,988131,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,18
2022-01-18,Individual Income Taxes,null,23915,52188,88339,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,18
2022-01-18,Railroad Retirement Taxes,null,37,313,1823,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,18
2022-01-18,Excise Taxes,null,105,3268,22910,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,18
2022-01-18,Corporation Income Taxes,null,5198,11458,121317,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,18
2022-01-18,Federal Unemployment Taxes,null,25,164,968,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,18
2022-01-18,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,96,1703,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,18
2022-01-18,Cash Federal Tax Deposits,Direct,35,2571,12205,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,18
2022-01-18,Cash Federal Tax Deposits,Through Depositaries,66208,231542,1176479,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,18
2022-01-18,Inter-agency Transfers,null,723,6414,36507,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,18
2022-01-14,Inter-agency Transfers,null,25,5692,35784,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,14
2022-01-14,Withheld Income and Employment Taxes,null,10214,135356,950445,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,14
2022-01-14,Individual Income Taxes,null,10071,28273,64424,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,14
2022-01-14,Railroad Retirement Taxes,null,32,276,1786,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,14
2022-01-14,Excise Taxes,null,1984,3163,22805,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,14
2022-01-14,Corporation Income Taxes,null,3036,6259,116119,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,14
2022-01-14,Federal Unemployment Taxes,null,30,138,942,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,14
2022-01-14,Estate and Gift Taxes & Misc IRS Rcpts.,null,7,95,1702,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,14
2022-01-14,Cash Federal Tax Deposits,Direct,575,2536,12170,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,14
2022-01-14,Cash Federal Tax Deposits,Through Depositaries,24772,165334,1110270,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,14
2022-01-13,Withheld Income and Employment Taxes,null,3316,125142,940231,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,13
2022-01-13,Individual Income Taxes,null,4121,18203,54353,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,13
2022-01-13,Railroad Retirement Taxes,null,4,244,1755,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,13
2022-01-13,Excise Taxes,null,549,1180,20821,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,13
2022-01-13,Corporation Income Taxes,null,706,3223,113082,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,13
2022-01-13,Federal Unemployment Taxes,null,10,109,913,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,13
2022-01-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,21,88,1696,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,13
2022-01-13,Cash Federal Tax Deposits,Direct,180,1960,11594,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,13
2022-01-13,Cash Federal Tax Deposits,Through Depositaries,8062,140562,1085498,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,13
2022-01-13,Inter-agency Transfers,null,485,5666,35759,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,13
2022-01-12,Withheld Income and Employment Taxes,null,9052,121826,936915,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,12
2022-01-12,Individual Income Taxes,null,3376,14082,50232,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,12
2022-01-12,Railroad Retirement Taxes,null,2,240,1750,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,12
2022-01-12,Excise Taxes,null,374,631,20272,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,12
2022-01-12,Corporation Income Taxes,null,601,2517,112377,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,12
2022-01-12,Federal Unemployment Taxes,null,46,99,903,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,12
2022-01-12,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,67,1675,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,12
2022-01-12,Cash Federal Tax Deposits,Direct,102,1781,11415,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,12
2022-01-12,Cash Federal Tax Deposits,Through Depositaries,13269,132500,1077436,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,12
2022-01-12,Inter-agency Transfers,null,82,5181,35274,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,12
2022-01-11,Withheld Income and Employment Taxes,null,3989,112774,927863,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,11
2022-01-11,Individual Income Taxes,null,2746,10705,46856,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,11
2022-01-11,Railroad Retirement Taxes,null,44,238,1748,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,11
2022-01-11,Excise Taxes,null,73,257,19899,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,11
2022-01-11,Corporation Income Taxes,null,362,1916,111776,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,11
2022-01-11,Federal Unemployment Taxes,null,9,53,857,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,11
2022-01-11,Estate and Gift Taxes & Misc IRS Rcpts.,null,42,65,1672,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,11
2022-01-11,Cash Federal Tax Deposits,Direct,170,1678,11312,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,11
2022-01-11,Cash Federal Tax Deposits,Through Depositaries,6954,119230,1064167,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,11
2022-01-11,Inter-agency Transfers,null,141,5099,35191,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,11
2022-01-10,Withheld Income and Employment Taxes,null,22447,108785,923874,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,10
2022-01-10,Individual Income Taxes,null,2659,7959,44110,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,10
2022-01-10,Railroad Retirement Taxes,null,79,193,1704,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,10
2022-01-10,Excise Taxes,null,73,184,19826,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,10
2022-01-10,Corporation Income Taxes,null,162,1554,111414,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,10
2022-01-10,Federal Unemployment Taxes,null,13,44,848,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,10
2022-01-10,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,23,1630,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,10
2022-01-10,Cash Federal Tax Deposits,Direct,248,1508,11142,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,10
2022-01-10,Cash Federal Tax Deposits,Through Depositaries,24344,112277,1057213,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,10
2022-01-10,Inter-agency Transfers,null,842,4957,35050,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,10
2022-01-07,Withheld Income and Employment Taxes,null,9201,86338,901427,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,07
2022-01-07,Individual Income Taxes,null,1303,5301,41451,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,07
2022-01-07,Railroad Retirement Taxes,null,18,114,1624,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,07
2022-01-07,Excise Taxes,null,48,111,19752,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,07
2022-01-07,Corporation Income Taxes,null,668,1392,111252,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,07
2022-01-07,Federal Unemployment Taxes,null,9,31,835,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,07
2022-01-07,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,21,1629,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,07
2022-01-07,Cash Federal Tax Deposits,Direct,212,1260,10894,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,07
2022-01-07,Cash Federal Tax Deposits,Through Depositaries,10094,87932,1032869,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,07
2022-01-07,Inter-agency Transfers,null,945,4115,34208,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,07
2022-01-06,Withheld Income and Employment Taxes,null,4487,77137,892226,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,06
2022-01-06,Individual Income Taxes,null,936,3998,40149,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,06
2022-01-06,Railroad Retirement Taxes,null,9,96,1606,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,06
2022-01-06,Excise Taxes,null,19,63,19705,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,06
2022-01-06,Corporation Income Taxes,null,126,725,110584,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,06
2022-01-06,Federal Unemployment Taxes,null,6,22,826,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,06
2022-01-06,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,16,1623,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,06
2022-01-06,Cash Federal Tax Deposits,Direct,262,1048,10682,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,06
2022-01-06,Cash Federal Tax Deposits,Through Depositaries,5042,77838,1022775,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,06
2022-01-06,Inter-agency Transfers,null,283,3170,33263,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,06
2022-01-05,Withheld Income and Employment Taxes,null,15187,72650,887740,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,05
2022-01-05,Individual Income Taxes,null,930,3062,39213,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,05
2022-01-05,Railroad Retirement Taxes,null,3,87,1597,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,05
2022-01-05,Excise Taxes,null,21,44,19686,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,05
2022-01-05,Corporation Income Taxes,null,102,598,110458,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,05
2022-01-05,Federal Unemployment Taxes,null,8,17,821,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,05
2022-01-05,Estate and Gift Taxes & Misc IRS Rcpts.,null,7,11,1618,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,05
2022-01-05,Cash Federal Tax Deposits,Direct,490,786,10420,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,05
2022-01-05,Cash Federal Tax Deposits,Through Depositaries,15639,72796,1017733,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,05
2022-01-05,Inter-agency Transfers,null,129,2887,32980,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,05
2022-01-04,Federal Unemployment Taxes,null,4,9,813,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,04
2022-01-04,Withheld Income and Employment Taxes,null,5981,57463,872553,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,04
2022-01-04,Individual Income Taxes,null,770,2132,38283,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,04
2022-01-04,Railroad Retirement Taxes,null,43,84,1595,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,04
2022-01-04,Excise Taxes,null,19,23,19665,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,04
2022-01-04,Corporation Income Taxes,null,107,496,110356,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,04
2022-01-04,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,3,1611,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,04
2022-01-04,Cash Federal Tax Deposits,Direct,296,296,9930,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,04
2022-01-04,Cash Federal Tax Deposits,Through Depositaries,6600,57158,1002094,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,04
2022-01-04,Inter-agency Transfers,null,31,2758,32851,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,04
2022-01-03,Withheld Income and Employment Taxes,null,51482,51482,866571,IV,Federal Tax Deposits,Classification,1,2022,2,2022,1,01,03
2022-01-03,Individual Income Taxes,null,1362,1362,37513,IV,Federal Tax Deposits,Classification,2,2022,2,2022,1,01,03
2022-01-03,Railroad Retirement Taxes,null,42,42,1552,IV,Federal Tax Deposits,Classification,3,2022,2,2022,1,01,03
2022-01-03,Excise Taxes,null,4,4,19645,IV,Federal Tax Deposits,Classification,4,2022,2,2022,1,01,03
2022-01-03,Corporation Income Taxes,null,390,390,110249,IV,Federal Tax Deposits,Classification,5,2022,2,2022,1,01,03
2022-01-03,Federal Unemployment Taxes,null,5,5,809,IV,Federal Tax Deposits,Classification,6,2022,2,2022,1,01,03
2022-01-03,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,1,1608,IV,Federal Tax Deposits,Classification,7,2022,2,2022,1,01,03
2022-01-03,Cash Federal Tax Deposits,Direct,0,0,9634,IV,Federal Tax Deposits,Classification,9,2022,2,2022,1,01,03
2022-01-03,Cash Federal Tax Deposits,Through Depositaries,50558,50558,995494,IV,Federal Tax Deposits,Classification,10,2022,2,2022,1,01,03
2022-01-03,Inter-agency Transfers,null,2727,2727,32820,IV,Federal Tax Deposits,Classification,12,2022,2,2022,1,01,03
2021-12-31,Withheld Income and Employment Taxes,null,17637,351099,815089,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,12,31
2021-12-31,Individual Income Taxes,null,1433,13753,36151,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,12,31
2021-12-31,Railroad Retirement Taxes,null,78,645,1510,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,12,31
2021-12-31,Excise Taxes,null,23,6973,19642,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,12,31
2021-12-31,Corporation Income Taxes,null,534,86511,109860,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,12,31
2021-12-31,Federal Unemployment Taxes,null,6,60,804,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,12,31
2021-12-31,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,435,1607,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,12,31
2021-12-31,Cash Federal Tax Deposits,Direct,102,4400,9634,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,12,31
2021-12-31,Cash Federal Tax Deposits,Through Depositaries,19606,445223,944936,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,12,31
2021-12-31,Inter-agency Transfers,null,6,9852,30093,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,12,31
2021-12-30,Withheld Income and Employment Taxes,null,14469,333462,797452,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,12,30
2021-12-30,Individual Income Taxes,null,1042,12320,34718,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,12,30
2021-12-30,Railroad Retirement Taxes,null,9,567,1432,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,12,30
2021-12-30,Excise Taxes,null,30,6949,19618,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,12,30
2021-12-30,Corporation Income Taxes,null,1037,85977,109326,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,12,30
2021-12-30,Federal Unemployment Taxes,null,9,54,798,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,12,30
2021-12-30,Estate and Gift Taxes & Misc IRS Rcpts.,null,150,433,1605,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,12,30
2021-12-30,Cash Federal Tax Deposits,Direct,382,4298,9532,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,12,30
2021-12-30,Cash Federal Tax Deposits,Through Depositaries,15041,425617,925331,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,12,30
2021-12-30,Inter-agency Transfers,null,1324,9846,30087,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,12,30
2021-12-29,Withheld Income and Employment Taxes,null,16962,318993,782983,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,12,29
2021-12-29,Individual Income Taxes,null,848,11278,33675,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,12,29
2021-12-29,Railroad Retirement Taxes,null,5,558,1424,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,12,29
2021-12-29,Excise Taxes,null,2100,6919,19588,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,12,29
2021-12-29,Corporation Income Taxes,null,965,84940,108289,IV,Federal Tax Deposits,Classification,5,2022,1,2021,4,12,29
2021-12-29,Federal Unemployment Taxes,null,5,45,789,IV,Federal Tax Deposits,Classification,6,2022,1,2021,4,12,29
2021-12-29,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,283,1455,IV,Federal Tax Deposits,Classification,7,2022,1,2021,4,12,29
2021-12-29,Cash Federal Tax Deposits,Direct,861,3916,9150,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,12,29
2021-12-29,Cash Federal Tax Deposits,Through Depositaries,20016,410577,910290,IV,Federal Tax Deposits,Classification,10,2022,1,2021,4,12,29
2021-12-29,Inter-agency Transfers,null,13,8522,28763,IV,Federal Tax Deposits,Classification,12,2022,1,2021,4,12,29
2021-12-28,Cash Federal Tax Deposits,Direct,561,3056,8289,IV,Federal Tax Deposits,Classification,9,2022,1,2021,4,12,28
2021-12-28,Withheld Income and Employment Taxes,null,6927,302031,766021,IV,Federal Tax Deposits,Classification,1,2022,1,2021,4,12,28
2021-12-28,Individual Income Taxes,null,969,10430,32827,IV,Federal Tax Deposits,Classification,2,2022,1,2021,4,12,28
2021-12-28,Railroad Retirement Taxes,null,72,553,1418,IV,Federal Tax Deposits,Classification,3,2022,1,2021,4,12,28
2021-12-28,Excise Taxes,null,697,4819,17488,IV,Federal Tax Deposits,Classification,4,2022,1,2021,4,12,28
