Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-04-03,Taxes - Business Tax Refunds (Checks),null,50,82,46049,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,03
2026-04-03,Taxes - Business Tax Refunds (EFT),null,211,234,16655,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,03
2026-04-03,Taxes - Individual Tax Refunds (Checks),null,750,862,22883,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,03
2026-04-03,Taxes - Individual Tax Refunds (EFT),null,2667,14671,241396,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,03
2026-04-02,Taxes - Business Tax Refunds (Checks),null,31,32,45999,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,02
2026-04-02,Taxes - Business Tax Refunds (EFT),null,10,23,16445,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,02
2026-04-02,Taxes - Individual Tax Refunds (Checks),null,66,112,22133,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,02
2026-04-02,Taxes - Individual Tax Refunds (EFT),null,1410,12005,238730,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,02
2026-04-01,Taxes - Business Tax Refunds (Checks),null,1,1,45968,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,01
2026-04-01,Taxes - Business Tax Refunds (EFT),null,14,14,16435,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,01
2026-04-01,Taxes - Individual Tax Refunds (Checks),null,46,46,22067,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,01
2026-04-01,Taxes - Individual Tax Refunds (EFT),null,10594,10594,237320,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,01
2026-03-31,Taxes - Business Tax Refunds (Checks),null,1708,8831,45967,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,31
2026-03-31,Taxes - Business Tax Refunds (EFT),null,228,3922,16422,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,31
2026-03-31,Taxes - Individual Tax Refunds (Checks),null,59,3732,22021,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,31
2026-03-31,Taxes - Individual Tax Refunds (EFT),null,1698,96258,226725,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,31
2026-03-30,Taxes - Business Tax Refunds (Checks),null,9,7123,44260,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,30
2026-03-30,Taxes - Business Tax Refunds (EFT),null,29,3694,16193,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,30
2026-03-30,Taxes - Individual Tax Refunds (Checks),null,52,3673,21962,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,30
