Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-10-23,Intragovernmental Holdings,null,7354871,7379516,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,23
2024-10-23,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,23
2024-10-23,Debt Not Subject to Limit,Unamortized Discount (-),104463,105291,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,23
2024-10-23,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,23
2024-10-23,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,23
2024-10-23,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,23
2024-10-22,Debt Held by the Public,null,28423307,28403842,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,22
2024-10-22,Intragovernmental Holdings,null,7379516,7368908,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,22
2024-10-22,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,22
2024-10-22,Debt Not Subject to Limit,Unamortized Discount (-),105291,104182,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,22
2024-10-22,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,22
2024-10-22,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,22
2024-10-22,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,22
2024-10-21,Debt Held by the Public,null,28403842,28403747,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,21
2024-10-21,Intragovernmental Holdings,null,7368908,7365985,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,21
2024-10-21,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,21
2024-10-21,Debt Not Subject to Limit,Unamortized Discount (-),104182,106664,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,21
2024-10-21,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,21
2024-10-21,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,21
2024-10-21,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,21
2024-10-18,Debt Held by the Public,null,28403747,28404121,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,18
2024-10-18,Intragovernmental Holdings,null,7365985,7364963,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,18
2024-10-18,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,18
2024-10-18,Debt Not Subject to Limit,Unamortized Discount (-),106664,107492,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,18
2024-10-18,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,18
2024-10-18,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,18
2024-10-18,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,18
2024-10-17,Debt Held by the Public,null,28404121,28386150,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,17
2024-10-17,Intragovernmental Holdings,null,7364963,7357363,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,17
2024-10-17,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,17
2024-10-17,Debt Not Subject to Limit,Unamortized Discount (-),107492,105245,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,17
2024-10-17,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,17
2024-10-17,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,17
2024-10-17,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,17
2024-10-16,Debt Held by the Public,null,28386150,28383518,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,16
2024-10-16,Intragovernmental Holdings,null,7357363,7367754,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,16
2024-10-16,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,16
2024-10-16,Debt Not Subject to Limit,Unamortized Discount (-),105245,106074,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,16
2024-10-16,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,16
2024-10-16,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,16
2024-10-16,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,16
2024-10-15,Debt Held by the Public,null,28383518,28351123,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,15
2024-10-15,Intragovernmental Holdings,null,7367754,7356196,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,15
2024-10-15,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,15
2024-10-15,Debt Not Subject to Limit,Unamortized Discount (-),106074,107448,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,15
2024-10-15,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,15
2024-10-15,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,15
2024-10-15,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,15
2024-10-11,Debt Held by the Public,null,28351123,28353946,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,11
2024-10-11,Intragovernmental Holdings,null,7356196,7326688,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,11
2024-10-11,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,11
2024-10-11,Debt Not Subject to Limit,Unamortized Discount (-),107448,108277,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,11
2024-10-11,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,11
2024-10-11,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,11
2024-10-11,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,11
2024-10-10,Debt Held by the Public,null,28353946,28341479,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,10
2024-10-10,Intragovernmental Holdings,null,7326688,7352362,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,10
2024-10-10,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,10
2024-10-10,Debt Not Subject to Limit,Unamortized Discount (-),108277,106034,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,10
2024-10-10,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,10
2024-10-10,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,10
2024-10-10,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,10
2024-10-09,Debt Held by the Public,null,28341479,28341720,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,09
2024-10-09,Intragovernmental Holdings,null,7352362,7375985,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,09
2024-10-09,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,09
2024-10-09,Debt Not Subject to Limit,Unamortized Discount (-),106034,106866,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,09
2024-10-09,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,09
2024-10-09,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,09
2024-10-09,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,09
2024-10-08,Debt Held by the Public,null,28341720,28321844,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,08
2024-10-08,Intragovernmental Holdings,null,7375985,7360774,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,08
2024-10-08,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,08
2024-10-08,Debt Not Subject to Limit,Unamortized Discount (-),106866,105757,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,08
2024-10-08,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,08
2024-10-08,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,08
2024-10-08,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,08
2024-10-07,Debt Held by the Public,null,28321844,28323365,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,07
2024-10-07,Intragovernmental Holdings,null,7360774,7357150,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,07
2024-10-07,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,07
2024-10-07,Debt Not Subject to Limit,Unamortized Discount (-),105757,108256,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,07
2024-10-07,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,07
2024-10-07,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,07
2024-10-07,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,07
2024-10-04,Debt Held by the Public,null,28323365,28322639,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,04
2024-10-04,Intragovernmental Holdings,null,7357150,7355157,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,04
2024-10-04,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,04
2024-10-04,Debt Not Subject to Limit,Unamortized Discount (-),108256,109089,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,04
2024-10-04,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,04
2024-10-04,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,04
2024-10-04,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,04
2024-10-03,Debt Held by the Public,null,28322639,28313723,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,03
2024-10-03,Intragovernmental Holdings,null,7355157,7364038,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,03
2024-10-03,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,03
2024-10-03,Debt Not Subject to Limit,Unamortized Discount (-),109089,105006,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,03
2024-10-03,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,03
2024-10-03,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,03
2024-10-03,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,03
2024-10-02,Debt Held by the Public,null,28313723,28312629,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,02
2024-10-02,Intragovernmental Holdings,null,7364038,7356318,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,02
2024-10-02,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,02
2024-10-02,Debt Not Subject to Limit,Unamortized Discount (-),105006,105845,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,02
2024-10-02,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,02
2024-10-02,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,02
2024-10-02,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,02
2024-10-01,Debt Held by the Public,null,28312629,28307312,28307312,28307312,IIIC,Debt Subject to Limit,Balance Transactions,1,2025,1,2024,4,10,01
2024-10-01,Intragovernmental Holdings,null,7356318,7157362,7157362,7157362,IIIC,Debt Subject to Limit,Balance Transactions,2,2025,1,2024,4,10,01
2024-10-01,Debt Not Subject to Limit,Other Debt (-),476,476,476,476,IIIC,Debt Subject to Limit,Balance Transactions,4,2025,1,2024,4,10,01
2024-10-01,Debt Not Subject to Limit,Unamortized Discount (-),105845,104828,104828,104828,IIIC,Debt Subject to Limit,Balance Transactions,5,2025,1,2024,4,10,01
2024-10-01,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,4514,IIIC,Debt Subject to Limit,Balance Transactions,6,2025,1,2024,4,10,01
2024-10-01,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2025,1,2024,4,10,01
2024-10-01,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2025,1,2024,4,10,01
2024-09-30,Debt Held by the Public,null,28307312,28208787,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,30
2024-09-30,Intragovernmental Holdings,null,7157362,7112551,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,30
2024-09-30,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,30
2024-09-30,Debt Not Subject to Limit,Unamortized Discount (-),104828,108202,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,30
2024-09-30,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,30
2024-09-30,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,30
2024-09-30,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,30
2024-09-27,Debt Held by the Public,null,28208787,28182179,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,27
2024-09-27,Intragovernmental Holdings,null,7112551,7114188,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,27
2024-09-27,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,27
2024-09-27,Debt Not Subject to Limit,Unamortized Discount (-),108202,109043,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,27
2024-09-27,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,27
2024-09-27,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,27
2024-09-27,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,27
2024-09-26,Debt Held by the Public,null,28182179,28194235,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,26
2024-09-26,Intragovernmental Holdings,null,7114188,7109730,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,26
2024-09-26,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,26
2024-09-26,Debt Not Subject to Limit,Unamortized Discount (-),109043,107152,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,26
2024-09-26,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,26
2024-09-26,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,26
2024-09-26,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,26
2024-09-25,Debt Held by the Public,null,28194235,28195894,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,25
2024-09-25,Intragovernmental Holdings,null,7109730,7128432,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,25
2024-09-25,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,25
2024-09-25,Debt Not Subject to Limit,Unamortized Discount (-),107152,107999,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,25
2024-09-25,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,25
2024-09-25,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,25
2024-09-25,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,25
2024-09-24,Debt Held by the Public,null,28195894,28215447,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,24
2024-09-24,Intragovernmental Holdings,null,7128432,7109189,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,24
2024-09-24,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,24
2024-09-24,Debt Not Subject to Limit,Unamortized Discount (-),107999,107046,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,24
2024-09-24,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,24
2024-09-24,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,24
2024-09-24,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,24
2024-09-23,Debt Held by the Public,null,28215447,28214575,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,23
2024-09-23,Intragovernmental Holdings,null,7109189,7105136,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,23
2024-09-23,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,23
2024-09-23,Debt Not Subject to Limit,Unamortized Discount (-),107046,109606,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,23
2024-09-23,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,23
2024-09-23,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,23
2024-09-23,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,23
2024-09-20,Debt Held by the Public,null,28214575,28220680,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,20
2024-09-20,Intragovernmental Holdings,null,7105136,7106966,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,20
2024-09-20,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,20
2024-09-20,Debt Not Subject to Limit,Unamortized Discount (-),109606,110459,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,20
2024-09-20,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,20
2024-09-20,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,20
2024-09-20,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,20
2024-09-19,Debt Held by the Public,null,28220680,28228475,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,19
2024-09-19,Intragovernmental Holdings,null,7106966,7102795,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,19
2024-09-19,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,19
2024-09-19,Debt Not Subject to Limit,Unamortized Discount (-),110459,108491,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,19
2024-09-19,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,19
2024-09-19,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,19
2024-09-19,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,19
2024-09-18,Debt Held by the Public,null,28228475,28227360,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,18
2024-09-18,Intragovernmental Holdings,null,7102795,7123482,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,18
2024-09-18,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,18
2024-09-18,Debt Not Subject to Limit,Unamortized Discount (-),108491,109348,108524,90889,IIIC,Debt Subject to Limit,Balance Transactions,5,2024,4,2024,3,09,18
2024-09-18,Debt Not Subject to Limit,Federal Financing Bank (-),4514,4514,4514,5492,IIIC,Debt Subject to Limit,Balance Transactions,6,2024,4,2024,3,09,18
2024-09-18,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2024,4,2024,3,09,18
2024-09-18,Statutory Debt Limit,null,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,9,2024,4,2024,3,09,18
2024-09-17,Debt Held by the Public,null,28227360,28245786,28168005,26330142,IIIC,Debt Subject to Limit,Balance Transactions,1,2024,4,2024,3,09,17
2024-09-17,Intragovernmental Holdings,null,7123482,7100684,7088052,6837192,IIIC,Debt Subject to Limit,Balance Transactions,2,2024,4,2024,3,09,17
2024-09-17,Debt Not Subject to Limit,Other Debt (-),476,476,476,477,IIIC,Debt Subject to Limit,Balance Transactions,4,2024,4,2024,3,09,17
