Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-11-05,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,11,05
2021-11-05,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,11,05
2021-11-05,Statutory Debt Limit,null,28881463,28881463,28881463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,11,05
2021-11-04,Debt Held by the Public,null,22671767,22675030,22637090,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,11,04
2021-11-04,Intragovernmental Holdings,null,6237054,6233713,6271676,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,11,04
2021-11-04,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,11,04
2021-11-04,Less Debt Not Subject to Limit,Unamortized Discount,20851,20774,20797,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,11,04
2021-11-04,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,11,04
2021-11-04,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,11,04
2021-11-04,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,11,04
2021-11-04,Statutory Debt Limit,null,28881463,28881463,28881463,28401463,III-C,Debt Subject to Limit,Balance Transactions,10,2022,1,2021,4,11,04
2021-11-03,Debt Held by the Public,null,22675030,22659988,22637090,22282900,III-C,Debt Subject to Limit,Balance Transactions,1,2022,1,2021,4,11,03
2021-11-03,Intragovernmental Holdings,null,6233713,6248767,6271676,6146018,III-C,Debt Subject to Limit,Balance Transactions,2,2022,1,2021,4,11,03
2021-11-03,Less Debt Not Subject to Limit,Other Debt,478,478,478,478,III-C,Debt Subject to Limit,Balance Transactions,4,2022,1,2021,4,11,03
2021-11-03,Less Debt Not Subject to Limit,Unamortized Discount,20774,20786,20797,20950,III-C,Debt Subject to Limit,Balance Transactions,5,2022,1,2021,4,11,03
2021-11-03,Less Debt Not Subject to Limit,Federal Financing Bank,6053,6053,6053,6053,III-C,Debt Subject to Limit,Balance Transactions,6,2022,1,2021,4,11,03
2021-11-03,Less Debt Not Subject to Limit,Hope Bonds,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,7,2022,1,2021,4,11,03
2021-11-03,Plus Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,III-C,Debt Subject to Limit,Balance Transactions,8,2022,1,2021,4,11,03
