rank,market,family,signal,stop,rr,trail,ttl,H,filt,tr_wk,wk,net,pf,ev,wr,avg_win,avg_loss,worst_day,worst_wk,maxdd,sharpe,sortino,calmar,smooth_r2,poswk,oos_wk,oos_poswk,years,mc_ann_p5,shuffle_dd_p95,roll13_pos,neigh_pos,robust,slip1_wk,comm150_wk,bh_corr,max_corr_others,avg_corr_others,pool_i
26,ZB,fib,lb=64 k=2.5 pb=0.318,2.5,0.5,2.5,12,24,all/none/lo/none/none,19.0,290.2,34530,1.929,15.25,0.724,43.72,-59.56,-289,-245,-398,1.052,4.377,37.9,0.997,0.849,345.0,0.8,"{""2023"": 791, ""2024"": 13242, ""2025"": 15050, ""2026"": 5446}",11839,-822,1.0,1.0,100.0,-923.7,247.4,-0.217,0.807,0.383,17
27,ZN,fade,lb=48 k=1.0 dep=0.8,2.0,0.618,2.5,3,24,all/with/lo/none/none,16.1,140.7,19558,1.924,8.75,0.753,24.18,-38.39,-296,-270,-154,1.004,2.528,47.57,0.995,0.827,122.2,0.9,"{""2023"": 2995, ""2024"": 7680, ""2025"": 6122, ""2026"": 2761}",5574,-507,1.0,1.0,100.0,-414.7,104.5,0.148,0.489,0.296,108
28,ZN,fib,lb=16 k=0.75 pb=0.618,2.0,0.5,2.5,12,12,asia/none/lo/none/none,18.6,109.5,15439,2.063,5.88,0.814,14.02,-29.75,-141,-142,-172,1.042,2.781,33.05,0.993,0.816,80.2,0.8,"{""2023"": 2174, ""2024"": 5090, ""2025"": 5405, ""2026"": 2769}",4438,-328,1.0,1.0,100.0,-514.6,67.6,0.004,0.839,0.348,278
29,ZB,fib,lb=24 k=1.0 pb=0.618,2.0,0.5,2.5,3,12,all/none/lo/none/none,35.2,429.5,50685,1.876,12.2,0.746,35.03,-54.78,-372,-427,-511,1.248,3.673,43.67,0.997,0.839,347.6,0.9,"{""2023"": 649, ""2024"": 19105, ""2025"": 22479, ""2026"": 8451}",18267,-816,1.0,1.0,100.0,-1870.9,350.3,-0.056,0.767,0.447,215
30,ZB,fib,lb=24 k=1.25 pb=0.618,2.0,0.5,2.5,12,6,all/none/lo/none/none,43.0,455.4,53732,1.753,10.59,0.725,34.02,-51.06,-357,-306,-365,1.102,5.163,64.92,0.997,0.839,433.5,0.9,"{""2023"": 760, ""2024"": 20179, ""2025"": 22985, ""2026"": 9808}",19028,-908,1.0,1.0,100.0,-2477.2,358.6,0.015,0.726,0.458,26
31,ZN,fade,lb=16 k=1.2 dep=1.0,2.0,0.618,2.5,3,24,all/none/lo/none/none,24.5,208.3,29783,1.875,8.51,0.741,24.62,-37.49,-262,-330,-416,1.122,2.002,26.06,0.998,0.888,165.9,0.9,"{""2023"": 3815, ""2024"": 11308, ""2025"": 10893, ""2026"": 3768}",8642,-514,1.0,1.0,100.0,-626.5,153.2,0.082,0.489,0.383,115
32,ZN,fib,lb=16 k=0.75 pb=0.56,2.5,0.5,2.5,12,12,asia/none/lo/none/none,18.8,131.4,18527,1.931,7.0,0.752,19.31,-30.25,-166,-168,-197,1.048,2.92,34.61,0.994,0.851,79.4,0.8,"{""2023"": 3086, ""2024"": 6244, ""2025"": 5966, ""2026"": 3230}",5384,-399,1.0,1.0,100.0,-511.8,89.1,0.059,0.839,0.318,113
33,ZN,fib,lb=12 k=1.0 pb=0.618,2.0,0.5,2.5,12,24,asia/none/lo/none/none,12.0,74.0,10576,2.101,6.17,0.809,14.56,-29.3,-122,-93,-176,0.946,2.885,21.89,0.996,0.825,55.3,1.0,"{""2023"": 1319, ""2024"": 4010, ""2025"": 3489, ""2026"": 1758}",2917,-318,1.0,1.0,100.0,-317.2,47.0,0.172,0.57,0.332,273
34,ZN,fib,lb=16 k=0.75 pb=0.56,2.5,0.5,2.5,12,24,asia/none/lo/none/none,12.4,91.8,12937,2.004,7.42,0.77,19.22,-32.12,-107,-112,-158,1.023,3.355,30.24,0.993,0.823,43.0,0.8,"{""2023"": 1817, ""2024"": 3655, ""2025"": 4932, ""2026"": 2532}",3686,-374,1.0,1.0,100.0,-312.6,63.9,0.113,0.827,0.314,107
35,ZB,fib,lb=32 k=2.5 pb=0.382,2.5,0.5,2.5,12,48,all/none/lo/none/none,13.3,239.8,28291,2.216,18.07,0.739,44.57,-56.9,-334,-303,-303,1.024,2.81,41.17,0.996,0.822,286.7,0.7,"{""2023"": 363, ""2024"": 12042, ""2025"": 12352, ""2026"": 3533}",9667,-647,1.0,1.0,100.0,-616.4,209.9,0.028,0.799,0.365,19
36,ZB,fib,lb=32 k=1.5 pb=0.618,2.5,0.5,2.5,12,48,all/none/lo/none/none,13.0,213.9,25244,2.02,16.5,0.721,45.33,-57.97,-338,-219,-230,1.057,3.406,48.3,0.994,0.873,196.9,0.8,"{""2023"": 413, ""2024"": 11078, ""2025"": 8728, ""2026"": 5024}",8744,-752,1.0,1.0,100.0,-634.5,184.8,-0.09,0.525,0.327,209
