ei,xi,pnl,slv,root
2025-05-20 06:30:00,2025-05-20 06:35:00,-48.5848214285694,ZN#5,ZN
2025-05-20 06:30:00,2025-05-20 06:35:00,-87.0892857142918,ZB#0,ZB
2025-05-20 07:15:00,2025-05-20 07:15:00,-98.25,ZB#2,ZB
2025-05-20 08:45:00,2025-05-20 09:15:00,89.25,ZB#1,ZB
2025-05-20 09:15:00,2025-05-20 09:25:00,-98.25,ZB#2,ZB
2025-05-20 10:45:00,2025-05-20 10:50:00,120.5,ZB#0,ZB
2025-05-20 11:10:00,2025-05-20 11:15:00,58.0,ZB#1,ZB
2025-05-20 16:40:00,2025-05-20 17:15:00,-137.3125,ZB#0,ZB
2025-05-20 18:05:00,2025-05-20 18:15:00,89.25,ZB#2,ZB
2025-05-20 18:55:00,2025-05-20 19:00:00,58.0,ZB#1,ZB
2025-05-20 19:55:00,2025-05-20 20:05:00,-50.2589285714306,ZB#0,ZB
2025-05-20 22:20:00,2025-05-20 22:30:00,-98.25,ZB#1,ZB
2025-05-21 00:00:00,2025-05-21 00:05:00,26.75,ZB#0,ZB
2025-05-21 00:00:00,2025-05-21 00:05:00,26.75,ZN#3,ZN
2025-05-21 00:10:00,2025-05-21 00:20:00,26.75,ZN#5,ZN
2025-05-21 00:25:00,2025-05-21 00:35:00,11.125,ZN#4,ZN
2025-05-21 00:40:00,2025-05-21 00:40:00,-35.75,ZB#2,ZB
2025-05-21 03:35:00,2025-05-21 03:45:00,26.75,ZN#5,ZN
2025-05-21 04:40:00,2025-05-21 04:45:00,-23.473214285708195,ZB#0,ZB
2025-05-21 04:55:00,2025-05-21 04:55:00,-35.75,ZB#1,ZB
2025-05-21 05:40:00,2025-05-21 05:45:00,26.75,ZN#5,ZN
2025-05-21 05:55:00,2025-05-21 06:00:00,58.0,ZB#2,ZB
2025-05-21 05:55:00,2025-05-21 06:00:00,26.75,ZN#3,ZN
2025-05-21 07:05:00,2025-05-21 07:15:00,-63.651785714291805,ZB#0,ZB
2025-05-21 07:05:00,2025-05-21 07:15:00,-89.3214285714306,ZB#2,ZB
2025-05-21 07:30:00,2025-05-21 07:50:00,-111.6428571428612,ZB#1,ZB
2025-05-21 09:40:00,2025-05-21 09:55:00,-16.776785714291805,ZB#0,ZB
2025-05-21 10:30:00,2025-05-21 10:35:00,58.0,ZB#1,ZB
2025-05-21 11:45:00,2025-05-21 12:00:00,-94.9017857142918,ZB#0,ZB
2025-05-21 11:25:00,2025-05-21 12:00:00,89.25,ZB#2,ZB
2025-05-21 20:00:00,2025-05-21 20:40:00,-35.75,ZB#0,ZB
2025-05-21 23:20:00,2025-05-21 23:40:00,89.25,ZB#2,ZB
2025-05-21 23:40:00,2025-05-21 23:50:00,58.0,ZB#1,ZB
2025-05-21 23:40:00,2025-05-22 00:10:00,58.0,ZB#0,ZB
2025-05-22 00:15:00,2025-05-22 00:20:00,26.75,ZN#5,ZN
2025-05-22 01:20:00,2025-05-22 01:25:00,-42.4464285714306,ZB#2,ZB
2025-05-22 02:05:00,2025-05-22 02:35:00,89.25,ZB#0,ZB
2025-05-22 03:00:00,2025-05-22 03:05:00,26.75,ZN#5,ZN
2025-05-22 03:20:00,2025-05-22 03:30:00,-20.125,ZB#2,ZB
2025-05-22 01:35:00,2025-05-22 03:30:00,42.375,ZN#3,ZN
2025-05-22 04:25:00,2025-05-22 04:35:00,-31.285714285708195,ZB#0,ZB
2025-05-22 04:35:00,2025-05-22 04:40:00,11.125,ZN#4,ZN
2025-05-22 04:35:00,2025-05-22 04:40:00,26.75,ZB#1,ZB
2025-05-22 04:35:00,2025-05-22 04:55:00,58.0,ZB#2,ZB
2025-05-22 06:00:00,2025-05-22 06:05:00,-11.196428571430602,ZB#2,ZB
2025-05-22 06:10:00,2025-05-22 06:10:00,-20.125,ZN#5,ZN
2025-05-22 05:55:00,2025-05-22 06:10:00,26.75,ZN#3,ZN
2025-05-22 07:15:00,2025-05-22 07:20:00,58.0,ZB#1,ZB
2025-05-22 08:35:00,2025-05-22 08:50:00,-46.910714285708195,ZB#0,ZB
2025-05-22 08:35:00,2025-05-22 08:50:00,-78.1607142857082,ZB#2,ZB
2025-05-22 10:30:00,2025-05-22 10:35:00,58.0,ZB#2,ZB
2025-05-22 10:35:00,2025-05-22 10:50:00,-90.4375,ZB#0,ZB
2025-05-22 19:30:00,2025-05-22 19:45:00,120.5,ZB#0,ZB
2025-05-22 22:15:00,2025-05-22 23:05:00,58.0,ZB#1,ZB
2025-05-22 23:20:00,2025-05-22 23:25:00,58.0,ZB#0,ZB
2025-05-22 23:35:00,2025-05-23 00:20:00,-56.9553571428612,ZB#2,ZB
2025-05-23 00:30:00,2025-05-23 00:35:00,11.125,ZN#5,ZN
2025-05-23 02:05:00,2025-05-23 02:10:00,-35.75,ZN#4,ZN
2025-05-23 02:05:00,2025-05-23 02:25:00,26.75,ZB#1,ZB
2025-05-23 02:05:00,2025-05-23 02:35:00,58.0,ZB#0,ZB
2025-05-23 02:05:00,2025-05-23 02:35:00,58.0,ZB#2,ZB
2025-05-23 02:10:00,2025-05-23 03:05:00,-34.6339285714306,ZN#3,ZN
2025-05-23 03:55:00,2025-05-23 04:00:00,11.125,ZN#5,ZN
2025-05-23 04:10:00,2025-05-23 04:15:00,26.75,ZB#2,ZB
2025-05-23 04:15:00,2025-05-23 04:20:00,58.0,ZB#0,ZB
2025-05-23 06:05:00,2025-05-23 06:10:00,11.125,ZN#5,ZN
2025-05-23 06:20:00,2025-05-23 06:20:00,-67.0,ZB#2,ZB
2025-05-23 06:15:00,2025-05-23 06:20:00,-68.1160714285694,ZB#0,ZB
2025-05-23 06:15:00,2025-05-23 06:25:00,-39.098214285708195,ZN#3,ZN
2025-05-23 06:25:00,2025-05-23 06:30:00,-35.75,ZN#4,ZN
2025-05-23 08:50:00,2025-05-23 09:00:00,120.5,ZB#0,ZB
2025-05-23 09:00:00,2025-05-23 09:10:00,89.25,ZB#2,ZB
2025-05-23 09:35:00,2025-05-23 09:40:00,58.0,ZB#1,ZB
2025-05-23 11:05:00,2025-05-23 11:10:00,58.0,ZB#2,ZB
2025-05-23 18:20:00,2025-05-23 20:10:00,120.5,ZB#0,ZB
2025-05-23 20:00:00,2025-05-23 20:10:00,-67.0,ZB#1,ZB
2025-05-26 00:00:00,2025-05-26 00:05:00,58.0,ZB#0,ZB
2025-05-26 00:25:00,2025-05-26 00:55:00,-31.84375,ZN#3,ZN
