mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,xmk,6.305918481120653,-25.927642727308125,5.929519780530591,-28.155978603683867,0.10187667560321716,9
RTY,imp,-60.77041424233205,-52.03626240736835,-60.65534935458689,-51.259581023071405,0.023638778220451528,2
RTY,orb,12.34806784070704,14.79634845070933,12.666446534340867,13.779265685558576,-0.056,9
RTY,rev,11.342993912544896,-17.793266307632628,10.994386307723781,-17.659196306771847,0.15246636771300448,9
RTY,rnd,-12.581325516872056,-24.038957304662443,-7.8583019254005855,-10.789142736834904,-1.0,7
RTY,xmk,-12.032994622368697,-59.93571974115793,-11.959372596735141,-61.85430768451048,0.03875,6
RTY,orb,3.953048335433105,-20.798231223775716,4.002779769967026,-20.76586949943001,-0.07086614173228346,9
RTY,orb,3.59134432948118,24.282481377030077,3.71128484806299,24.0929341344338,-0.021834061135371178,9
RTY,rev,38.43647355701951,44.429842579436816,39.476933177562515,47.73998466965473,0.00438382854359474,9
RTY,rev,-18.82776062993299,-21.55872809169692,-18.876516938299577,-20.74506187957632,-0.004419889502762431,5
RTY,rnd,-11.497137855301428,-1.8847430837816086,-10.932052241332665,-0.36374203953343914,-1.0,6
RTY,sqz,12.918366543718362,-14.553199444164882,13.06024740106514,-14.238828407663743,-0.01892744479495268,9
RTY,vwr,-10.540956934560585,-47.75036328008578,-10.447832385580401,-45.96122223411604,0.014245014245014245,6
RTY,xmk,8.12181030589643,-65.74709408907718,5.75079103002921,-62.52016786146253,0.08248587570621468,9
RTY,cal,-6.4813404953784595,7.338164609546273,-8.104438000902203,2.072449748152141,1.0,7
RTY,sqz,4.552205879892997,-21.254837237316885,4.1504538989523025,-19.32700308700841,0.023842917251051893,9
RTY,rev,-17.87114935251647,-146.7241530511642,-16.07399182612399,-147.0616396050551,-0.009930001627869119,5
RTY,xmk,-33.851359460341136,-67.16632928623653,-34.99908295929064,-66.28331652194656,0.06498545101842872,4
RTY,orb,-14.11207846586376,10.978819893432401,-14.384138666549326,10.15128437087792,0.12643678160919541,6
RTY,orb,-4.814048829357751,34.983432887928664,-4.987621287142808,35.18222633748085,0.11956521739130435,7
RTY,sqz,-11.714889128262447,-83.05460132013908,-11.429664724317902,-81.38103786111832,-0.038307604345340196,6
RTY,imp,-88.15854711345865,-106.85609901976582,-88.5880901901683,-111.46533318728991,0.0965763924374042,2
RTY,xmk,-55.941679254184415,-17.255260414645527,-55.08551847926712,-16.09023833820011,-0.0016750418760469012,3
RTY,vwr,5.475397892548273,12.053918177192958,6.557300375202885,10.556032650334586,0.023323615160349854,9
RTY,imp,-59.45027168955591,-64.91267922008393,-59.19673888604964,-67.80211889380767,0.008978032473734479,2
RTY,rev,-133.76125490170128,-180.03010771300308,-133.93190198098432,-178.44438322006346,-0.003586065573770492,1
RTY,rnd,8.073892773035046,-7.190451327929827,12.292288572912316,5.832831169477772,-1.0,9
RTY,imp,-2.788685433866787,34.3873004424733,-3.4103283655407934,35.88056286585373,0.04979253112033195,8
RTY,cal,-0.20507921457592265,-42.401527407584645,0.8539078031463893,-38.744652556519895,-1.0,8
RTY,imp,-19.255699885827294,-34.134379612105356,-19.259600390496622,-34.16674133645107,0.14496314496314497,5
RTY,vwr,-32.11891347782148,-23.24727095327814,-32.90535273177455,-14.851715037306464,-0.012078830260648443,4
RTY,rnd,-0.5539594393327751,-33.839774878475886,3.1427438610219935,-22.08322273402878,-1.0,9
RTY,vwr,-1.2310267210665948,-71.86780865321758,-1.1632554524370398,-71.93253210190899,-0.005068790731354091,8
RTY,sqz,-14.433073283311714,-42.89889491017395,-13.62664394292833,-40.79075972422512,-0.125,6
RTY,imp,-21.33595279529954,-43.163534381627464,-21.446629615291695,-42.91388679381774,0.07600341588385995,5
RTY,cal,7.672383411963931,-18.219160958545615,10.201860690022563,-10.355261942539109,-1.0,9
RTY,imp,-289.358393711718,-387.5912795665615,-288.38473023363724,-385.6172143814736,-0.03387850467289719,0
RTY,rnd,-7.292868790170581,-9.563750605303918,-7.523973691828204,-10.386663024380432,1.0,7
RTY,vwr,-8.364611340768581,-23.14583786812322,-8.358273020680926,-22.84071303857799,0.0068212824010914054,7
RTY,rev,-52.35208601019029,-165.3798564250504,-51.929856379735625,-162.47654744089283,-0.020892687559354226,3
RTY,rev,-13.785601085780407,-180.3451591016032,-14.126895244346533,-179.97993392684452,0.012974976830398516,6
RTY,rnd,-11.170921159687234,-12.471162659148147,-11.087060309296701,-12.235384381772292,-1.0,6
RTY,rnd,12.132394672167703,-37.863156832457136,6.920345307779342,-54.030149694876144,1.0,9
RTY,imp,5.90364857406658,-159.63277144298598,5.975807910449118,-161.061310417675,0.01680310211115898,9
RTY,vwr,-28.370818523757247,-25.02047523367197,-28.220161530904484,-23.014048324238203,-0.022459893048128343,4
RTY,rnd,0.383291299722,-20.174870172687275,0.7938194161686799,-19.060702234499416,-1.0,8
RTY,cal,-13.65812189690281,10.637317114412413,-15.522563128841169,4.539443626985851,1.0,5
RTY,vwr,-80.18162660693653,-284.3544400257492,-80.56095068602859,-289.0283976419648,0.028452685421994885,2
RTY,rnd,-8.867148117776974,-10.229065784834404,-8.932481570988204,-10.464844062210261,1.0,6
RTY,rev,-7.094476611256656,-4.880030095872823,-7.170048889224867,-4.237418712436665,0.05405405405405406,7
RTY,rev,0.1284092815039121,-62.47728905677557,0.2395736645797311,-63.27246285498434,0.03414634146341464,8
RTY,cal,-3.05531549071623,-34.74052199248455,0.02218269338285964,-24.449493650550114,-1.0,8
RTY,cal,-11.365431076076812,-25.080422858932348,-10.274264894832555,-21.55299490525042,-1.0,6
RTY,xmk,-29.227095005183752,-42.87652807165372,-29.851663315359755,-41.08738702568399,0.051419800460475826,4
RTY,vwr,-49.12024401484124,9.306443267106143,-48.480561249071606,12.593469839934253,-0.09297725024727992,3
RTY,xmk,-31.467464520233133,-104.71931401241886,-31.09545388739607,-105.82885884712879,-0.006271104679208876,4
RTY,orb,3.722682384931771,3.9333498574312986,3.7480356652823996,1.034663976751651,0.03727714748784441,9
RTY,sqz,0.9504550681698709,-2.8864623735387847,0.9563058251738619,-3.0159092709216067,0.10526315789473684,8
RTY,vwr,-9.70205018553526,-57.17222460552842,-10.077473759957996,-62.9603501599318,0.12324492979719189,6
RTY,rev,91.8150135390992,-84.31617904048214,90.72482248402228,-87.8297376837302,-0.021147014041617323,9
RTY,vwr,-14.759951096787784,-12.973050153286911,-14.631722005783658,-14.235157402769444,0.04084720121028744,6
RTY,vwr,-40.588803464810276,14.558400682161508,-40.769689368850315,16.73125931680175,-0.006363191385217817,3
RTY,vwr,-162.10160844866007,-175.82309134674907,-162.66864431496356,-179.75735240649132,0.07940886699507389,1
RTY,sqz,-10.935277954350887,1.005490524084962,-11.10251209204829,1.9347343231545153,0.0784313725490196,6
RTY,xmk,-58.22540885650043,11.788350832264992,-58.81682287698716,11.783727728787035,0.025472473294987676,2
RTY,xmk,-40.86339398646068,-50.29814700475309,-40.78977196082713,-50.34437803953267,-0.09353507565337002,3
RTY,rev,-37.12090880055543,-74.68438861528927,-36.76059968172635,-71.6886175615725,-0.028416779431664412,4
RTY,vwr,-34.63111575380338,-63.44479160036217,-35.64768478324676,-68.59955197828532,0.09405568096313018,4
RTY,imp,19.66579550864789,-49.477934523097076,19.51660120504613,-50.3886859082548,0.03130148270181219,9
RTY,imp,-84.77877482191174,-63.32049422199142,-85.87237881857432,-63.80129698369903,-0.007792207792207792,2
