contract,split,mech,n,tr,ho,tpw,ctl,beat
NQM5,0.7,vwr,226,32.45170512632372,7.780807834274845,2.6716681376875546,-2.472464553202876,True
NQM5,0.8,imp,211,9.192194352863725,-0.7381616006694113,8.660194174757281,-5.526068220220348,True
NQM5,0.8,orb,3,-14.463779755917129,-18.605074040074584,0.8381877022653722,-5.526068220220348,False
NQM5,0.8,rev,203,10.686260103634634,-11.926819378376994,10.798058252427184,-5.526068220220348,False
NQM5,0.8,rnd,250,9.321249404686881,-5.526068220220348,3.938511326860841,-5.526068220220348,False
NQM5,0.8,sqz,123,9.797286939289696,-2.0480577391156185,4.723300970873787,-5.526068220220348,True
NQM5,0.8,vol,193,13.586754777604918,12.556801931789026,2.0431499460625675,-5.526068220220348,True
NQM5,0.8,vwr,226,32.89139021350015,-0.5623463860136539,2.671668137687555,-5.526068220220348,True
NQM6,0.5,imp,215,12.74150231889018,-4.388020449237502,3.790291262135922,-10.47876060150981,True
NQM6,0.5,orb,5,9.287798566842323,-24.226900680458694,0.8802588996763753,-10.47876060150981,False
NQM6,0.5,rev,204,11.868734613255771,-3.0199641331756384,7.130097087378641,-10.47876060150981,True
NQM6,0.5,rnd,250,8.979971723498393,-10.47876060150981,5.053398058252427,-10.47876060150981,False
NQM6,0.5,sqz,127,16.812652494659332,-0.551982429360125,2.611650485436893,-10.47876060150981,True
NQM6,0.5,vol,191,16.081530558227804,0.5734472391164922,2.3656957928802593,-10.47876060150981,True
NQM6,0.5,vwr,225,17.637866824472095,-2.973296420328816,2.759929390997352,-10.47876060150981,True
NQM6,0.6,imp,215,12.538157763584548,-6.371883828361731,4.346601941747573,-3.8661911625048817,False
NQM6,0.6,orb,3,-16.392310221450455,0.6437184306713709,0.8608414239482202,-3.8661911625048817,True
NQM6,0.6,rev,204,10.893944053983798,0.42496798168133737,7.287378640776699,-3.8661911625048817,True
NQM6,0.6,rnd,250,7.79475678257078,-3.8661911625048817,4.068770226537217,-3.8661911625048817,False
