contract,split,mech,n,tr,ho,tpw,ctl,beat
NQM6,0.8,imp,143,44.96796097420919,-32.74362523239182,2.535367545076283,29.26806543826948,False
NQM6,0.8,rev,135,70.54180340390594,-51.0720188086504,2.228155339805825,29.26806543826948,False
NQM6,0.8,rnd,103,43.795802291029055,29.26806543826948,1.621359223300971,29.26806543826948,False
NQM6,0.8,sqz,45,43.28904011657111,-13.075431214494747,1.4498381877022652,29.26806543826948,False
NQM6,0.8,vwr,155,44.71125747031384,-6.578305225780089,2.540915395284327,29.26806543826948,False
NQU4,0.5,imp,179,40.04099680238944,-19.151357875464257,2.779126213592233,-10.023260221539644,False
NQU4,0.5,rev,172,42.731956576465855,-1.5000522158144238,2.0776699029126213,-10.023260221539644,True
NQU4,0.5,rnd,167,32.68137854908717,-10.023260221539644,1.5279126213592233,-10.023260221539644,False
NQU4,0.5,sqz,62,60.11335816408897,43.601815354565964,1.0679611650485439,-10.023260221539644,True
NQU4,0.5,vwr,204,52.09761584617926,-19.08716641375321,2.280582524271845,-10.023260221539644,False
NQU4,0.6,imp,183,51.798989210417695,-21.915408833074874,1.6461704422869472,-11.084538848590379,False
NQU4,0.6,rev,179,64.50566323370589,-12.523470500348498,1.0728155339805825,-11.084538848590379,False
NQU4,0.6,rnd,169,34.351627606547346,-11.084538848590379,1.7766990291262137,-11.084538848590379,False
NQU4,0.6,sqz,62,57.53124312302126,35.783978745068424,1.3106796116504855,-11.084538848590379,True
NQU4,0.6,vwr,208,77.89196590951883,-55.78322364093648,1.6097087378640775,-11.084538848590379,False
NQU4,0.7,imp,183,43.44050337932712,-32.519996931176365,2.052858683926645,2.0259294496406106,False
NQU4,0.7,rev,177,45.7486646406802,-24.773650038319186,1.4696601941747574,2.0259294496406106,False
NQU4,0.7,rnd,166,39.023712293307156,2.0259294496406106,1.5643203883495147,2.0259294496406106,False
NQU4,0.7,sqz,60,62.97244947537382,4.335121389384591,1.1165048543689322,2.0259294496406106,True
NQU4,0.7,vwr,208,62.39846279705576,-59.24589513912956,2.292233009708738,2.0259294496406106,False
NQU4,0.8,imp,166,36.98283531305306,-6.475284580429169,1.908980582524272,-31.657576788472216,True
NQU4,0.8,rev,153,26.876774805827957,-9.813829372889492,1.9486823855755897,-31.657576788472216,True
NQU4,0.8,rnd,134,27.375077675214502,-31.657576788472216,2.1310679611650483,-31.657576788472216,False
NQU4,0.8,sqz,46,19.777513353287482,34.85134890957315,3.9320388349514563,-31.657576788472216,True
NQU4,0.8,vwr,193,44.4115588713195,-50.652196653738244,2.1747572815533984,-31.657576788472216,False
NQU5,0.5,imp,167,31.937196773565887,14.994758084498816,1.716019417475728,13.946786263417874,True
NQU5,0.5,rev,162,43.939774339832454,23.296172089532842,1.1504854368932038,13.946786263417874,True
NQU5,0.5,rnd,142,39.0829164785017,13.946786263417874,1.4036061026352287,13.946786263417874,False
NQU5,0.5,sqz,49,43.85235166298957,-24.84727688266712,1.9546925566343043,13.946786263417874,False
NQU5,0.5,vwr,199,34.50155564034984,-1.7255124308544927,1.325782092772384,13.946786263417874,False
NQU5,0.6,imp,171,29.429672614099104,-11.55857205405806,1.6031553398058254,12.023734260346918,False
NQU5,0.6,rev,165,43.761502746524656,32.10612088638513,1.287621359223301,12.023734260346918,True
NQU5,0.6,rnd,150,46.44238038500401,12.023734260346918,1.2593619972260746,12.023734260346918,False
NQU5,0.6,sqz,53,28.82809190219895,-23.184775568409297,1.9546925566343039,12.023734260346918,False
NQU5,0.6,vwr,201,30.13603036008551,15.885152866559418,1.6349514563106795,12.023734260346918,True
NQU5,0.7,imp,169,31.434142716763823,0.6469749018265283,1.9854368932038835,7.671947587289609,False
NQU5,0.7,rev,162,47.10689840149277,12.374789765802399,1.9356796116504853,7.671947587289609,True
NQU5,0.7,rnd,148,41.20114277199652,7.671947587289609,1.2954230235783633,7.671947587289609,False
NQU5,0.7,sqz,50,36.12278766141026,-43.72912187765763,2.288025889967637,7.671947587289609,False
NQU5,0.7,vwr,198,36.27801292763501,3.3107465953529363,1.5631067961165048,7.671947587289609,False
NQU5,0.8,imp,147,26.148998817521807,-10.897733881272321,1.9237170596393898,25.847574879893376,False
NQU5,0.8,rev,148,44.555485661263155,7.463480378581065,1.6130374479889045,25.847574879893376,False
NQU5,0.8,rnd,109,31.729787723328013,25.847574879893376,1.642718446601942,25.847574879893376,False
NQU5,0.8,sqz,39,21.34955971293166,-13.950436816119513,2.7831715210355985,25.847574879893376,False
NQU5,0.8,vwr,176,33.63186087776765,47.71784667087775,1.8349514563106797,25.847574879893376,True
NQZ4,0.5,imp,171,57.48404309435933,-16.323803373618865,1.745145631067961,-7.925405125741955,False
NQZ4,0.5,rev,165,51.61870455526358,-17.671085472610997,2.282766990291262,-7.925405125741955,False
NQZ4,0.5,rnd,147,42.34826247740784,-7.925405125741955,1.4549237170596394,-7.925405125741955,False
NQZ4,0.5,sqz,53,74.81882694670897,-42.49914739882997,1.5631067961165048,-7.925405125741955,False
NQZ4,0.5,vwr,199,51.16267304200167,-6.186556968594742,2.7950377562028046,-7.925405125741955,True
NQZ4,0.6,imp,172,48.09397997953256,-30.273912216116003,1.6092233009708736,-2.5210753408643956,False
NQZ4,0.6,rev,167,40.43872390951649,-17.911092453343826,1.5521844660194173,-2.5210753408643956,False
NQZ4,0.6,rnd,149,41.31733835903413,-2.5210753408643956,1.2163661581137308,-2.5210753408643956,False
NQZ4,0.6,sqz,54,54.75072653004698,-20.119075374572628,1.3527508090614886,-2.5210753408643956,False
NQZ4,0.6,vwr,200,42.00665797564686,-11.883635019155177,1.5553398058252428,-2.5210753408643956,False
NQZ4,0.7,imp,170,42.14801088977106,-20.303435030407467,1.6601941747572815,-15.542859823952167,False
NQZ4,0.7,rev,160,33.3909540346732,-12.020605219643363,1.8567961165048543,-15.542859823952167,True
NQZ4,0.7,rnd,146,39.9417888000346,-15.542859823952167,1.2510402219140084,-15.542859823952167,False
NQZ4,0.7,sqz,54,45.94904052853983,-30.85606394826998,1.7572815533980581,-15.542859823952167,False
NQZ4,0.7,vwr,194,40.61069442207727,-15.766069416849376,1.5760517799352751,-15.542859823952167,False
NQZ4,0.8,imp,146,36.51652664176877,-24.36606505993078,2.402219140083218,3.16859934138177,False
NQZ4,0.8,rev,132,33.741945376871456,-6.65969909120851,2.729773462783171,3.16859934138177,False
NQZ4,0.8,rnd,107,32.66630471249521,3.16859934138177,1.737864077669903,3.16859934138177,False
NQZ4,0.8,sqz,42,36.63287238453397,-41.11946771798099,1.6343042071197411,3.16859934138177,False
NQZ4,0.8,vwr,169,26.759179249934345,-17.47257782871271,3.6796116504854366,3.16859934138177,False
NQZ5,0.5,imp,175,63.05375893955244,3.2682366623046937,1.8033980582524272,-7.319798638132212,True
NQZ5,0.5,rev,167,49.60467565583578,-25.080605829098992,1.9259708737864079,-7.319798638132212,False
NQZ5,0.5,rnd,156,54.42174953041733,-7.319798638132212,1.4604715672676838,-7.319798638132212,False
NQZ5,0.5,sqz,54,80.5395089008712,-35.42396741839314,1.841423948220065,-7.319798638132212,False
NQZ5,0.5,vwr,204,70.17781427012545,-51.98947586277508,1.9699029126213592,-7.319798638132212,False
NQZ5,0.6,imp,176,50.532186437812626,4.033238756650052,2.2682038834951457,-19.394179697949106,True
NQZ5,0.6,rev,168,55.986388058844284,-3.2791418749834556,2.6614077669902914,-19.394179697949106,True
NQZ5,0.6,rnd,156,54.13980390588264,-19.394179697949106,1.2981969486823854,-19.394179697949106,False
NQZ5,0.6,sqz,55,64.8490754442978,-24.367936286967865,1.893203883495146,-19.394179697949106,False
NQZ5,0.6,vwr,204,70.94801938480973,-63.47996874790864,1.9601941747572813,-19.394179697949106,False
NQZ5,0.7,imp,173,51.506572969614496,15.56687654337451,1.8567961165048545,1.7714260981554628,True
NQZ5,0.7,rev,164,60.5482805063311,-25.756675684210904,2.440533980582524,1.7714260981554628,False
NQZ5,0.7,rnd,152,36.50994919074973,1.7714260981554628,1.3717059639389737,1.7714260981554628,False
NQZ5,0.7,sqz,55,61.44171715389856,-42.42763224230345,1.893203883495146,1.7714260981554628,False
NQZ5,0.7,vwr,200,68.90607636873861,-79.81161405112317,2.383495145631068,1.7714260981554628,False
NQZ5,0.8,imp,165,46.06392618822501,-20.563248522511955,3.033980582524272,-24.26029910504198,True
