cond,mech,tpw,tr,ho,trpos,both
full cost today,vwr,28.547197640117997,-7.3587226731355875,-7.615995303050407,False,False
no exit slippage,vwr,28.547197640117997,-6.994059770445451,-7.264251117003895,False,False
no commission,vwr,28.547197640117997,-5.558722673135588,-5.815995303050407,False,False
lifetime plan + stop-limit,vwr,28.547197640117997,-6.257924931521504,-6.5229487914225,False,False
frictionless,vwr,28.547197640117997,-5.194059770445451,-5.464251117003895,False,False
full cost today,rev,36.64454277286136,-4.564311548747496,-8.420190801546592,False,False
no exit slippage,rev,36.64454277286136,-4.202540490432162,-8.045882501151336,False,False
no commission,rev,36.64454277286136,-2.7643115487474974,-6.620190801546593,False,False
lifetime plan + stop-limit,rev,36.64454277286136,-3.4652489137582956,-7.313605821309438,False,False
frictionless,rev,36.64454277286136,-2.4025404904321626,-6.2458825011513355,False,False
full cost today,orb,2.2640117994100297,-2.2691204897914137,-13.835051533305109,False,False
no exit slippage,orb,2.2640117994100297,-1.9018638526232718,-13.433816965403874,False,False
no commission,orb,2.2640117994100297,-0.4691204897914127,-12.03505153330511,False,False
lifetime plan + stop-limit,orb,2.2640117994100297,-1.1667665074905265,-12.712310792564368,False,False
frictionless,orb,2.2640117994100297,-0.10186385262327108,-11.633816965403875,False,False
full cost today,vol,26.88053097345133,-3.1451434671920717,-3.2812955327893705,False,False
no exit slippage,vol,26.88053097345133,-2.8228800163571917,-2.9570850064735814,False,False
no commission,vol,26.88053097345133,-1.345143467192071,-1.4812955327893709,False,False
lifetime plan + stop-limit,vol,26.88053097345133,-2.069785396691142,-2.204769216999896,False,False
frictionless,vol,26.88053097345133,-1.0228800163571918,-1.1570850064735814,False,False
full cost today,rev,90.21386430678467,-3.7251547921729515,-4.140057646478358,False,False
no exit slippage,rev,90.21386430678467,-3.3226243838323786,-3.735429547304804,False,False
no commission,rev,90.21386430678467,-1.9251547921729526,-2.3400576464783587,False,False
lifetime plan + stop-limit,rev,90.21386430678467,-2.6016365471686083,-3.015280786974227,False,False
frictionless,rev,90.21386430678467,-1.5226243838323792,-1.9354295473048049,False,False
full cost today,vol,21.718289085545724,-4.279956709203511,-5.083843225272329,False,False
no exit slippage,vol,21.718289085545724,-3.885444788375801,-4.678026050757093,False,False
no commission,vol,21.718289085545724,-2.4799567092035115,-3.2838432252723284,False,False
lifetime plan + stop-limit,vol,21.718289085545724,-3.1612495567068857,-3.958352920563187,False,False
frictionless,vol,21.718289085545724,-2.0854447883758014,-2.878026050757093,False,False
full cost today,rev,322.1460176991151,-3.345599622441732,-3.6849369062464437,False,False
no exit slippage,rev,322.1460176991151,-2.9322455757147536,-3.2752262005158377,False,False
no commission,rev,322.1460176991151,-1.545599622441733,-1.884936906246444,False,False
lifetime plan + stop-limit,rev,322.1460176991151,-2.215587194405546,-2.5571104828080804,False,False
frictionless,rev,322.1460176991151,-1.1322455757147538,-1.4752262005158374,False,False
full cost today,vwr,486.452802359882,-3.4312838499340788,-3.6651683211728536,False,False
no exit slippage,vwr,486.452802359882,-3.0727363025493886,-3.312985604241164,False,False
no commission,vwr,486.452802359882,-1.6312838499340787,-1.8651683211728536,False,False
lifetime plan + stop-limit,vwr,486.452802359882,-2.334155321503265,-2.5718586910138397,False,False
frictionless,vwr,486.452802359882,-1.2727363025493883,-1.512985604241164,False,False
full cost today,vol,29.03392330383481,-3.382695594063016,-2.105311345329005,False,False
no exit slippage,vol,29.03392330383481,-3.053998172082012,-1.789841173438206,False,False
no commission,vol,29.03392330383481,-1.5826955940630163,-0.30531134532900517,False,False
lifetime plan + stop-limit,vol,29.03392330383481,-2.3034771408744126,-1.0340292421945245,False,False
frictionless,vol,29.03392330383481,-1.2539981720820124,0.010158826561793621,False,False
full cost today,sqz,22.345132743362832,-2.921132474892219,-3.20752584127469,False,False
no exit slippage,sqz,22.345132743362832,-2.569881926406041,-2.848005202126887,False,False
no commission,sqz,22.345132743362832,-1.1211324748922185,-1.4075258412746896,False,False
lifetime plan + stop-limit,sqz,22.345132743362832,-1.8283821458005116,-2.1098134577860073,False,False
frictionless,sqz,22.345132743362832,-0.7698819264060405,-1.0480052021268866,False,False
full cost today,sqz,2.308259587020649,-2.984118782651056,-3.598775376126192,False,False
no exit slippage,sqz,2.308259587020649,-2.595933128642617,-3.2040385340209285,False,False
no commission,sqz,2.308259587020649,-1.1841187826510564,-1.7987753761261909,False,False
lifetime plan + stop-limit,sqz,2.308259587020649,-1.8692073902459936,-2.4799332708630333,False,False
frictionless,sqz,2.308259587020649,-0.7959331286426176,-1.4040385340209276,False,False
full cost today,vwr,12.883480825958703,-4.016217974748177,-5.186021271356159,False,False
no exit slippage,vwr,12.883480825958703,-3.6809064020478806,-4.845169141030345,False,False
no commission,vwr,12.883480825958703,-2.2162179747481776,-3.38602127135616,False,False
lifetime plan + stop-limit,vwr,12.883480825958703,-2.9330310311279986,-4.09950999316067,False,False
frictionless,vwr,12.883480825958703,-1.8809064020478807,-3.045169141030345,False,False
full cost today,sqz,3.0899705014749266,-2.2690264567510736,-2.776990396896909,False,False
no exit slippage,sqz,3.0899705014749266,-1.8932200051381705,-2.4146050757959916,False,False
no commission,sqz,3.0899705014749266,-0.46902645675107474,-0.9769903968969104,False,False
lifetime plan + stop-limit,sqz,3.0899705014749266,-1.1615425857833335,-1.67755920423636,False,False
frictionless,sqz,3.0899705014749266,-0.09322000513817154,-0.6146050757959929,False,False
full cost today,rev,7.935103244837759,-2.129390895703981,-1.5767194236586333,False,False
no exit slippage,rev,7.935103244837759,-1.8170393517609882,-1.2690271159663258,False,False
no commission,rev,7.935103244837759,-0.32939089570398145,0.2232805763413662,False,False
lifetime plan + stop-limit,rev,7.935103244837759,-1.059979969338185,-0.5101040390432481,False,False
frictionless,rev,7.935103244837759,-0.01703935176098856,0.5309728840336739,False,False
full cost today,vwr,14.041297935103245,-2.0521992079557827,-2.4335858091294176,False,False
no exit slippage,vwr,14.041297935103245,-1.7154793240660875,-2.0894793452510907,False,False
no commission,vwr,14.041297935103245,-0.25219920795578327,-0.6335858091294182,False,False
lifetime plan + stop-limit,vwr,14.041297935103245,-0.9681672776219659,-1.3451219308024223,False,False
frictionless,vwr,14.041297935103245,0.08452067593391192,-0.2894793452510912,True,False
full cost today,imp,7.323008849557523,-3.390168119456119,-2.295342720165966,False,False
no exit slippage,imp,7.323008849557523,-3.060637918113837,-1.9929233653272567,False,False
no commission,imp,7.323008849557523,-1.5901681194561195,-0.4953427201659664,False,False
lifetime plan + stop-limit,imp,7.323008849557523,-2.3104499986507494,-1.2318911072627396,False,False
frictionless,imp,7.323008849557523,-1.2606379181138376,-0.19292336532725674,False,False
full cost today,rev,69.82300884955752,-2.9440030254114227,-3.0768662730895886,False,False
no exit slippage,rev,69.82300884955752,-2.592749041761707,-2.7336854645600464,False,False
no commission,rev,69.82300884955752,-1.1440030254114233,-1.2768662730895886,False,False
lifetime plan + stop-limit,rev,69.82300884955752,-1.8512506352215927,-1.9889577879718616,False,False
frictionless,rev,69.82300884955752,-0.7927490417617072,-0.9336854645600461,False,False
full cost today,vwr,18.030973451327434,-8.763075980400187,-11.278567536807426,False,False
no exit slippage,vwr,18.030973451327434,-8.37651684061524,-10.890533348773237,False,False
no commission,vwr,18.030973451327434,-6.963075980400185,-9.478567536807425,False,False
lifetime plan + stop-limit,vwr,18.030973451327434,-7.649140496529216,-10.163747023986913,False,False
frictionless,vwr,18.030973451327434,-6.576516840615239,-9.090533348773238,False,False
full cost today,vwr,29.646017699115045,-3.4124821092050572,-3.3435355539039673,False,False
no exit slippage,vwr,29.646017699115045,-2.9891801917529937,-2.9453383110619735,False,False
no commission,vwr,29.646017699115045,-1.6124821092050574,-1.5435355539039675,False,False
lifetime plan + stop-limit,vwr,29.646017699115045,-2.2765009587338194,-2.2226172081987716,False,False
frictionless,vwr,29.646017699115045,-1.1891801917529938,-1.145338311061974,False,False
full cost today,vol,5.265486725663717,-4.796088037526003,-2.0167963554572252,False,False
no exit slippage,vol,5.265486725663717,-4.3920740759204175,-1.6302715327621895,False,False
no commission,vol,5.265486725663717,-2.996088037526003,-0.2167963554572246,False,False
lifetime plan + stop-limit,vol,5.265486725663717,-3.671679660562651,-0.9028814618402025,False,False
frictionless,vol,5.265486725663717,-2.5920740759204186,0.16972846723781088,False,False
full cost today,vwr,120.25811209439529,-3.6293764892491964,-4.005649158762772,False,False
no exit slippage,vwr,120.25811209439529,-3.224627975670537,-3.6035512566648693,False,False
no commission,vwr,120.25811209439529,-1.829376489249197,-2.2056491587627725,False,False
lifetime plan + stop-limit,vwr,120.25811209439529,-2.504527381102002,-2.882390417504032,False,False
frictionless,vwr,120.25811209439529,-1.4246279756705373,-1.8035512566648704,False,False
full cost today,vwr,5.0294985250737465,-3.142030181486905,-10.443658524848978,False,False
no exit slippage,vwr,5.0294985250737465,-2.7874654256482634,-10.055032932431915,False,False
no commission,vwr,5.0294985250737465,-1.3420301814869053,-8.643658524848977,False,False
lifetime plan + stop-limit,vwr,5.0294985250737465,-2.0472913279837197,-9.328483169398737,False,False
frictionless,vwr,5.0294985250737465,-0.9874654256482641,-8.255032932431915,False,False
full cost today,vwr,5.162241887905605,-3.4920005626023967,-5.0256016269478385,False,False
no exit slippage,vwr,5.162241887905605,-3.1333940052253477,-4.6506016269478385,False,False
no commission,vwr,5.162241887905605,-1.692000562602397,-3.225601626947839,False,False
lifetime plan + stop-limit,vwr,5.162241887905605,-2.394836628176166,-3.9186016269478383,False,False
frictionless,vwr,5.162241887905605,-1.333394005225348,-2.850601626947839,False,False
full cost today,rev,47.839233038348084,-3.6224259085505217,-3.8068408129949067,False,False
no exit slippage,rev,47.839233038348084,-3.1570092418838547,-3.347445436587082,False,False
no commission,rev,47.839233038348084,-1.8224259085505214,-2.0068408129949074,False,False
lifetime plan + stop-limit,rev,47.839233038348084,-2.461175908550521,-2.649203587150213,False,False
frictionless,rev,47.839233038348084,-1.3570092418838546,-1.5474454365870827,False,False
full cost today,vol,26.069321533923304,-1.6529874512585914,-5.721813541467148,False,False
no exit slippage,vol,26.069321533923304,-1.3077856233834961,-5.362627622875288,False,False
no commission,vol,26.069321533923304,0.14701254874140807,-3.9218135414671464,True,False
lifetime plan + stop-limit,vol,26.069321533923304,-0.5638663545335342,-4.624301990312032,False,False
frictionless,vol,26.069321533923304,0.49221437661650325,-3.5626276228752873,True,False
full cost today,sqz,25.951327433628318,-2.7686011666337955,-4.544356731377983,False,False
no exit slippage,sqz,25.951327433628318,-2.445104926032292,-4.208501085277866,False,False
no commission,sqz,25.951327433628318,-0.968601166633796,-2.7443567313779833,False,False
lifetime plan + stop-limit,sqz,25.951327433628318,-1.6925034222728925,-3.460843343717912,False,False
frictionless,sqz,25.951327433628318,-0.6451049260322923,-2.4085010852778668,False,False
full cost today,orb,1.2389380530973453,-5.893703748665965,-2.732224673744431,False,False
no exit slippage,orb,1.2389380530973453,-5.488941843904059,-2.35127229279205,False,False
no commission,orb,1.2389380530973453,-4.093703748665967,-0.9322246737444315,False,False
lifetime plan + stop-limit,orb,1.2389380530973453,-4.768846605808826,-1.6216532451730017,False,False
