mkt,split,mech,n,tr,ho
YM,0.8,cal,46,7.941038480832453,-4.967888602198718
YM,0.8,gap,5,2.8542840541154124,-6.911947021382711
YM,0.8,imp,118,3.4591932250947446,-10.159358089584938
YM,0.8,orb,43,9.139444533172687,-14.966015927938058
YM,0.8,rev,113,2.7295432986869073,-6.469531730223849
YM,0.8,rnd,118,8.637679843504017,-2.817533845392687
YM,0.8,sqz,54,5.9464983694379425,-3.115047657924441
YM,0.8,vwr,111,2.130714699666968,-9.268201739530289
CL,0.5,cal,47,4.644021244647141,-9.522593719249489
CL,0.5,gap,10,5.6420142725829345,-14.388984147994028
CL,0.5,imp,118,1.9812954144138673,-4.511326676518869
CL,0.5,orb,62,11.062625885959902,2.7341553555079927
CL,0.5,rev,112,3.9249155468838692,-3.189187356783907
CL,0.5,rnd,120,5.995196395329356,-5.365505918362516
CL,0.5,sqz,51,3.5466408232268107,9.194359146673959
CL,0.5,vwr,111,3.838126146633935,-3.5163997230823107
CL,0.6,cal,47,3.3737916730724162,-7.324854963648357
CL,0.6,gap,10,4.396575885976139,6.1821059723324465
CL,0.6,imp,118,0.9223828707297974,-2.037887359229714
CL,0.6,orb,55,9.100076395765253,-0.26021820772189014
CL,0.6,rev,111,3.672676823200155,-5.8210155658877225
CL,0.6,rnd,120,7.436243205196437,-9.63226981146041
CL,0.6,sqz,51,3.9761492977913684,7.077182483283436
CL,0.6,vwr,111,3.9025747824971333,-3.8859530258891795
CL,0.7,cal,47,3.2186531922318102,-13.922298550583077
CL,0.7,gap,9,1.9554402351555753,-8.868600473872336
CL,0.7,imp,117,1.221050972265543,4.838428987519542
CL,0.7,orb,43,7.092385537210038,-5.999102657712797
CL,0.7,rev,110,3.259316041805252,5.214927957306117
CL,0.7,rnd,120,7.21229783653535,-19.185680145070787
CL,0.7,sqz,47,2.1652752264619983,-10.18975314078116
CL,0.7,vwr,110,2.380459384815947,2.273240333135399
CL,0.8,cal,47,2.836920253771241,-21.552836866537806
CL,0.8,gap,6,0.574314637204416,12.817534624928177
CL,0.8,imp,115,1.2118318985614207,2.9178182961558607
CL,0.8,orb,23,6.50313478057333,-15.587229914256731
CL,0.8,rev,109,1.8719130332314056,-6.514417929381662
CL,0.8,rnd,117,8.719845861863805,-38.23875513792393
CL,0.8,sqz,45,4.544757357237442,-21.853046810193828
CL,0.8,vwr,109,2.6033481759281125,-0.7441958823572868
HG,0.5,cal,47,5.017615087401398,-12.204417007811566
HG,0.5,gap,9,7.53022018593114,6.60976424662239
HG,0.5,imp,116,6.482235758561157,-19.996569612792893
HG,0.5,orb,29,10.132540258664875,-0.44384479384575465
HG,0.5,rev,110,8.713802585621394,-18.61210686971408
HG,0.5,rnd,120,12.837314281700946,1.194096336387483
HG,0.5,sqz,46,6.719504651731246,-3.7049852573817303
HG,0.5,vwr,110,10.94990026059774,-19.25431448239409
HG,0.6,cal,47,2.5903901820378175,-1.138391396490108
HG,0.6,gap,9,6.345402996871715,6.991140429573682
HG,0.6,imp,116,5.929657796878087,-20.343088104488086
HG,0.6,orb,30,13.200774078224091,0.45918619673572075
HG,0.6,rev,110,7.137216738828172,-21.6413361437612
HG,0.6,rnd,120,11.82120098160182,3.167994180824992
HG,0.6,sqz,48,7.1739903560750475,-7.1757232550311985
HG,0.6,vwr,109,6.678715371978198,-1.8199168106655683
HG,0.7,cal,47,2.921273122375292,-3.2873823925124572
HG,0.7,gap,9,13.207007377283515,7.237232937451684
HG,0.7,imp,116,3.3079507034401248,-10.829126418330372
HG,0.7,orb,22,10.312894996208271,-10.04298263931387
HG,0.7,rev,109,5.112754195703004,-18.093486234881198
HG,0.7,rnd,120,13.854276384719425,-2.0367900468268676
HG,0.7,sqz,45,6.308064511338316,-6.612704228932917
HG,0.7,vwr,109,7.404091433529871,-2.8348357491525555
HG,0.8,cal,46,3.31493810033351,-6.140315531922778
HG,0.8,gap,7,10.340580905981914,-2.9672051479715424
HG,0.8,imp,113,3.88693979396676,-12.967105786561666
HG,0.8,orb,14,2.498247229696141,1.6374180444509907
HG,0.8,rev,108,3.1849068113739096,0.8911828212548236
HG,0.8,rnd,113,13.139330213405282,-19.23173207138275
HG,0.8,sqz,43,6.913103050615632,-10.241021029323752
HG,0.8,vwr,106,9.868442640191384,-15.419524719983716
ES,0.5,cal,47,11.30169604591426,1.3086173353575845
ES,0.5,gap,10,2.835635266321003,-14.885546884775286
ES,0.5,imp,118,6.40991083319337,5.5273725894904455
ES,0.5,orb,66,25.271820302871486,24.956451047376248
ES,0.5,rev,114,4.924478988392936,-2.7230558645922587
ES,0.5,rnd,120,20.487167889880503,3.5435966199411193
ES,0.5,sqz,64,16.04687314928548,2.9150430435962473
ES,0.5,vwr,111,7.518766958592948,-3.7093103613291722
ES,0.6,cal,47,8.849700793656,1.545377440404277
ES,0.6,gap,11,10.740433246794057,-33.445252867206456
ES,0.6,imp,118,9.841450600483284,3.360496292676209
ES,0.6,orb,63,15.291757281295931,20.99953729596557
ES,0.6,rev,114,4.532652032366434,-3.6805389272968534
ES,0.6,rnd,120,21.032571572446464,2.162551518471467
ES,0.6,sqz,62,16.871140757460953,-4.169029803275586
ES,0.6,vwr,111,8.607488853790189,-1.7341157449966011
ES,0.7,cal,47,8.40592762076494,-0.014803726045116742
ES,0.7,gap,10,6.5945281051866,-36.878252049313204
ES,0.7,imp,118,8.822377375147166,2.6312518378621457
ES,0.7,orb,56,15.286924217629377,17.718088211711507
ES,0.7,rev,114,4.394554737745479,-7.362736862385843
ES,0.7,rnd,120,19.818981269004308,-4.224232781326378
ES,0.7,sqz,61,9.535146743357243,2.8817902689912036
ES,0.7,vwr,111,8.071506543755785,-4.338498564388254
ES,0.8,cal,46,8.336352943719879,-3.1374499394525786
ES,0.8,gap,5,-1.5155010907426145,3.8350554826336745
ES,0.8,imp,118,8.36670883973532,1.4586965544358965
ES,0.8,orb,28,11.8115127823784,1.2432584334434853
ES,0.8,rev,112,4.149643710863235,-6.409893128622452
ES,0.8,rnd,118,18.514442893950143,-1.801238729099095
ES,0.8,sqz,51,4.5550415610683705,-5.594603596723469
ES,0.8,vwr,110,7.64746488569732,-1.6323039220131008
NG,0.5,cal,47,7.999464949963664,-4.131148867408321
NG,0.5,gap,11,-3.1760523557265254,-7.957783951402482
NG,0.5,imp,117,5.2686350785144835,0.9195417261169325
NG,0.5,orb,71,27.386124102491433,8.893031713357582
NG,0.5,rev,112,9.96635414166646,4.578368194117651
NG,0.5,rnd,120,17.77690111085392,-0.6214116127540635
NG,0.5,sqz,57,19.330424313030225,41.52989402649341
NG,0.5,vwr,112,6.401093078938783,-3.537728383215061
NG,0.6,cal,47,3.974129400910336,-4.627944011879671
