20250611 164300;6095.5;6096.5;6095;6095.75;26
20250611 164400;6095.75;6098.25;6095.75;6098.25;31
20250611 164500;6098.75;6099;6098;6098;51
20250611 164600;6098.25;6098.75;6096.75;6098.25;36
20250611 164700;6098.25;6100.75;6098.25;6100.25;37
20250611 164800;6100.5;6102.25;6100.5;6102.25;47
20250611 164900;6102.25;6103.25;6102;6102;43
20250611 165000;6101.75;6102.25;6101.75;6101.75;5
20250611 165100;6103.25;6103.25;6102.5;6102.5;11
20250611 165200;6102.25;6103;6102.25;6102.75;15
20250611 165300;6103;6103.25;6100.75;6100.75;33
20250611 165400;6100.5;6101.25;6099.25;6101.25;14
20250611 165500;6101.5;6101.5;6100;6100.5;42
20250611 165600;6100.75;6101;6100;6100;26
20250611 165700;6100.75;6101;6100.5;6100.5;15
20250611 165800;6101;6101;6100;6100.75;19
20250611 165900;6100.75;6102;6100.75;6102;7
20250611 170000;6102.25;6102.5;6102;6102;17
20250611 170100;6102;6102.25;6100.5;6100.5;19
20250611 170200;6101;6101;6100.5;6101;11
20250611 170300;6102.5;6105.75;6102.5;6105.75;53
20250611 170400;6105.5;6106.75;6104.5;6106.25;47
20250611 170500;6106.5;6108.75;6106.5;6108;62
20250611 170600;6107.5;6107.75;6106;6106.5;49
20250611 170700;6107;6107.75;6106.5;6106.5;34
20250611 170800;6107;6108.75;6107;6108.5;46
20250611 170900;6108.5;6109.5;6108.5;6109.25;34
20250611 171000;6109.25;6110.25;6109;6110;49
20250611 171100;6109.75;6110.75;6109.5;6109.5;66
20250611 171200;6108.5;6109.75;6108.5;6109.75;12
20250611 171300;6109.5;6110;6108.75;6108.75;60
20250611 171400;6108.75;6108.75;6107;6107.25;56
20250611 171500;6107.5;6107.75;6106.75;6107.25;42
20250611 171600;6107.25;6107.75;6105.5;6106.75;89
20250611 171700;6106.5;6108.25;6106.25;6108.25;59
20250611 171800;6108.25;6109;6108;6108.5;58
20250611 171900;6108.5;6108.5;6108.5;6108.5;1
20250611 172000;6108.5;6108.5;6107.5;6107.5;13
20250611 172100;6107.75;6108.5;6107.25;6108.5;32
20250611 172200;6108.75;6109;6108.5;6109;8
20250611 172300;6108.75;6108.75;6108;6108.5;28
20250611 172400;6108.75;6109.75;6108.75;6109.5;15
20250611 172500;6110;6110.25;6109.25;6109.75;15
20250611 172600;6110.5;6112;6110.5;6112;38
20250611 172700;6111.5;6111.5;6110.5;6110.5;7
20250611 172800;6111.5;6111.5;6111.25;6111.5;10
20250611 172900;6111.25;6111.25;6111;6111;12
20250611 173000;6110.75;6111.25;6110.75;6111;11
20250611 173100;6111.25;6111.75;6110.5;6111.75;22
20250611 173200;6112;6112.25;6110.75;6110.75;27
20250611 173300;6110.75;6110.75;6108.25;6108.25;25
20250611 173400;6108.75;6109;6107.25;6107.25;17
20250611 173500;6107.25;6108;6107.25;6108;5
20250611 173600;6107.25;6107.25;6106.75;6107.25;16
20250611 173700;6107.5;6107.5;6104.25;6105.25;20
20250611 173800;6105;6106.75;6105;6106.75;16
20250611 173900;6106.5;6106.75;6105.75;6106.25;12
20250611 174000;6106.5;6106.5;6106.25;6106.5;4
20250611 174100;6106.5;6108.5;6106.5;6108;33
20250611 174200;6108.25;6108.5;6106;6106;10
20250611 174300;6106.75;6106.75;6105.75;6106.25;10
20250611 174400;6106;6106;6100;6100;62
20250611 174500;6099.75;6104.5;6099.25;6104.25;71
20250611 174600;6104.75;6104.75;6102;6103.5;56
20250611 174700;6103.5;6103.75;6101.75;6101.75;36
20250611 174800;6102;6102.5;6099.5;6100.75;70
20250611 174900;6100.25;6101.75;6099;6100.5;52
20250611 175000;6100.5;6100.5;6098.5;6098.5;85
20250611 175100;6099;6100.25;6096.25;6100;53
20250611 175200;6099.25;6099.75;6097.75;6099.25;48
20250611 175300;6099;6099.25;6097.5;6098.5;60
20250611 175400;6098.75;6099.25;6098.5;6099;14
20250611 175500;6098.75;6099.5;6098.5;6099;37
20250611 175600;6099;6100.75;6096.5;6097.25;100
20250611 175700;6097.75;6098;6096;6096.75;18
20250611 175800;6096.25;6096.75;6095.25;6095.25;47
20250611 175900;6095;6096.25;6093;6093.5;40
20250611 180000;6093.5;6093.5;6091.5;6092.75;46
20250611 180100;6092.75;6095;6091;6094.25;71
20250611 180200;6094.25;6094.25;6087.5;6088.5;133
20250611 180300;6088.5;6088.75;6081.25;6085;237
20250611 180400;6084.75;6085;6077.75;6078.5;253
20250611 180500;6078.25;6078.25;6071;6078;310
20250611 180600;6077;6081;6076.25;6081;169
20250611 180700;6081.25;6085.25;6080.75;6083.5;106
20250611 180800;6083.75;6085;6079;6081.75;172
20250611 180900;6082;6085.5;6082;6084.25;73
20250611 181000;6084.25;6086.25;6083.5;6083.75;101
20250611 181100;6083.5;6084;6079;6082.5;224
20250611 181200;6081.75;6083.5;6078.75;6078.75;147
