n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
33683,43.0,37.7,-151.0,-3.51,118343.0,-9.27,-290.1,13,0,FADE5w3_s14.5-21.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
46100,58.6,32.4,-222.7,-3.8,175402.0,-16.44,-359.5,13,0,FADE5w3_s14.5-21.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
32976,42.0,27.1,-124.1,-2.96,98572.0,-7.78,-254.3,13,0,FADE5w3_s14.5-21.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
26130,33.3,35.3,-78.0,-2.34,62064.0,-4.49,-188.2,13,1,FADE5w3_s14.5-21.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
40723,51.9,33.8,-192.4,-3.71,151253.0,-12.97,-324.0,13,0,FADE5w3_s14.5-21.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
34035,43.5,36.7,-151.7,-3.49,118976.0,-9.47,-275.3,13,0,FADE5w3_s14.5-21.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
27832,35.5,42.4,-82.4,-2.33,66306.0,-4.76,-160.6,13,0,FADE5w3_s14.5-21.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
23379,29.8,45.4,-79.8,-2.68,64207.0,-4.24,-179.2,13,1,FADE5w3_s14.5-21.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
23260,30.1,29.0,-119.3,-3.96,92136.0,-18.89,-153.1,13,0,FADE5w3_s14.5-16.0_trailS30.0T0.0B0.0tr8.0,imp,trail
15714,20.4,33.3,-72.7,-3.57,56324.0,-8.11,-146.4,13,0,FADE5w3_s14.5-16.0_trailS30.0T0.0B0.0tr15.0,imp,trail
12509,16.2,35.8,-56.0,-3.46,43321.0,-5.28,-102.5,13,0,FADE5w3_s14.5-16.0_trailS40.0T0.0B0.0tr20.0,imp,trail
18601,24.1,31.4,-92.7,-3.85,71584.0,-11.4,-157.9,13,0,FADE5w3_s14.5-16.0_trailS30.0T60.0B0.0tr12.0,imp,trail
12449,16.1,22.5,-52.1,-3.23,40812.0,-5.21,-114.8,13,1,FADE5w3_s14.5-16.0_beS20.0T40.0B10.0tr0.0,imp,be
9034,11.7,30.2,-31.7,-2.71,24934.0,-2.83,-81.2,13,1,FADE5w3_s14.5-16.0_beS30.0T60.0B15.0tr0.0,imp,be
15806,20.5,32.7,-72.5,-3.54,56151.0,-8.19,-146.5,13,0,FADE5w3_s14.5-16.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
12678,16.4,34.9,-53.2,-3.24,41132.0,-5.02,-93.2,13,0,FADE5w3_s14.5-16.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
9810,12.7,39.3,-35.6,-2.8,29086.0,-3.4,-83.1,13,0,FADE5w3_s14.5-16.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
7588,9.8,43.8,-25.8,-2.63,20347.0,-2.18,-56.7,13,2,FADE5w3_s14.5-16.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
11625,15.1,29.7,-57.9,-3.84,44851.0,-13.41,-88.3,13,0,FADE5w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
9431,12.2,33.6,-45.1,-3.69,34950.0,-6.48,-89.7,13,0,FADE5w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
8089,10.5,36.1,-32.3,-3.07,25255.0,-3.93,-88.4,13,0,FADE5w3_s14.5-16.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
10378,13.5,32.1,-48.8,-3.63,37730.0,-8.09,-101.3,13,0,FADE5w3_s14.5-16.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
7738,10.0,24.3,-22.2,-2.22,18044.0,-2.86,-63.5,13,1,FADE5w3_s14.5-16.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
6201,8.0,31.7,-10.8,-1.35,10332.0,-1.17,-45.8,13,3,FADE5w3_s14.5-16.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
9448,12.3,33.0,-44.6,-3.64,34543.0,-6.47,-90.6,13,0,FADE5w3_s14.5-16.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
8151,10.6,35.0,-32.8,-3.1,25519.0,-4.06,-76.1,13,0,FADE5w3_s14.5-16.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
6485,8.4,40.8,-16.0,-1.9,14691.0,-1.8,-66.0,13,1,FADE5w3_s14.5-16.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
5433,7.0,45.2,-4.9,-0.69,8273.0,-0.5,-55.5,13,4,FADE5w3_s14.5-16.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
16087,20.8,29.1,-80.4,-3.86,62148.0,-15.73,-113.9,13,0,FADE5w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
12336,16.0,33.0,-63.2,-3.95,49041.0,-7.95,-112.5,13,1,FADE5w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
10288,13.3,35.6,-50.6,-3.8,39404.0,-5.47,-110.5,13,0,FADE5w3_s14.5-16.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
13894,18.0,31.2,-72.3,-4.02,55964.0,-10.51,-131.0,13,0,FADE5w3_s14.5-16.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
10030,13.0,22.7,-41.9,-3.23,33188.0,-4.68,-76.3,13,1,FADE5w3_s14.5-16.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
7660,9.9,30.0,-32.7,-3.3,26465.0,-3.24,-104.3,13,2,FADE5w3_s14.5-16.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
12395,16.1,32.3,-63.0,-3.92,48939.0,-7.94,-116.3,13,1,FADE5w3_s14.5-16.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
10408,13.5,34.1,-52.2,-3.87,40598.0,-5.69,-112.3,13,0,FADE5w3_s14.5-16.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
8257,10.7,39.5,-31.5,-2.95,24997.0,-3.16,-77.8,13,1,FADE5w3_s14.5-16.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
6603,8.6,43.0,-33.7,-3.95,27477.0,-3.07,-88.4,13,1,FADE5w3_s14.5-16.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
139096,148.4,30.2,-554.3,-3.73,519491.0,-19.04,-907.7,13,0,FADE8w3_trailS30.0T0.0B0.0tr8.0,imp,trail
97862,104.4,36.4,-348.8,-3.34,327454.0,-13.16,-636.3,13,0,FADE8w3_trailS30.0T0.0B0.0tr15.0,imp,trail
81411,86.9,39.6,-255.1,-2.94,239772.0,-9.8,-489.9,13,0,FADE8w3_trailS40.0T0.0B0.0tr20.0,imp,trail
112710,120.3,33.9,-429.9,-3.57,403654.0,-15.45,-692.2,13,0,FADE8w3_trailS30.0T60.0B0.0tr12.0,imp,trail
81104,86.6,30.3,-226.6,-2.62,213545.0,-9.17,-420.9,13,0,FADE8w3_beS20.0T40.0B10.0tr0.0,imp,be
65281,69.7,37.7,-166.0,-2.38,156468.0,-6.84,-333.2,13,0,FADE8w3_beS30.0T60.0B15.0tr0.0,imp,be
98359,105.0,35.7,-349.5,-3.33,328214.0,-13.04,-629.0,13,0,FADE8w3_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
82264,87.8,38.6,-256.5,-2.92,241022.0,-9.73,-489.6,13,0,FADE8w3_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
69448,74.1,43.3,-171.9,-2.32,161783.0,-6.73,-387.5,13,0,FADE8w3_fixedS20.0T40.0B0.0tr0.0,imp,fixed
59483,63.5,46.2,-138.7,-2.19,131306.0,-5.22,-315.7,13,0,FADE8w3_fixedS30.0T60.0B0.0tr0.0,imp,fixed
63676,69.7,30.0,-263.9,-3.79,241456.0,-17.91,-415.0,13,0,FADE8w3_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
53283,58.3,36.2,-200.5,-3.44,183799.0,-11.9,-332.7,13,0,FADE8w3_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
