phase,name,n,tr_per_day,wr,per_day,per_trade,dd,sharpe,n_emit,n_filt
PHASE4_HYPER,HS_008_imp40_b3_pp500_s6t18_TRD_cd20,1525,101.67,0.2544,-439.96,-4.328,6633.54,-1.455,0,0
PHASE4_HYPER,HS_010_imp40_b5_pp236_s5t15_INV_cd20,2225,148.33,0.2661,-457.50,-3.084,7061.22,-1.322,0,0
PHASE4_HYPER,HS_007_imp40_b5_pp118_s4t8_INV_cd5,2980,198.67,0.3477,-475.16,-2.392,7197.92,-1.505,0,0
PHASE4_HYPER,HS_020_imp50_b5_pp236_s5t12_INV_cd5,2235,149.00,0.2917,-476.16,-3.196,7315.94,-1.496,0,0
PHASE4_HYPER,HS_002_imp40_b5_pp118_s10t20_TRD_cd30,1715,114.33,0.3481,-511.79,-4.476,7676.86,-1.430,0,0
PHASE4_HYPER,HS_033_imp30_b4_pp118_s4t6_INV_cd10,3421,228.07,0.4110,-530.98,-2.328,8047.12,-1.574,0,0
PHASE4_HYPER,HS_006_imp30_b4_pp118_s10t25_TRD_cd20,1768,117.87,0.3235,-593.28,-5.033,8944.65,-1.374,0,0
PHASE4_HYPER,HS_009_imp40_b4_pp382_s5t12_TRD_cd5,1980,132.00,0.2525,-618.85,-4.688,9326.87,-1.767,0,0
PHASE4_HYPER,HS_039_imp30_b5_pp236_s8t12_TRD_cd10,2106,140.40,0.3504,-658.12,-4.687,9875.05,-1.552,0,0
PHASE4_HYPER,HS_003_imp40_b4_pp382_s4t8_TRD_cd30,2227,148.47,0.2506,-716.26,-4.824,10772.01,-1.930,0,0
