,0
2026-06-16,-620.0
2026-06-17,-248.0
2026-06-29,147.5
2026-06-30,-217.5
2026-07-01,-13.0
2026-07-02,-750.0
2026-07-03,147.0
2026-07-07,-992.0
2026-07-08,-232.5
2026-07-09,631.5
2026-07-10,156.5
2026-07-13,70.5
2026-07-14,39.5
2026-07-15,-104.0
