usd_wk,pos_wk,worst_day,p5_day,worst_wk,tr_wk,name
1074.0,76,-1864.0,-554.0,-1856.0,110.4,a1.5_123_fv-cap1_ds0_dis60
1021.0,71,-2224.0,-841.0,-843.0,95.5,a1.5_123_fv-cap1_ds0_dis60_qg
358.0,59,-802.0,-602.0,-1440.0,79.1,a1.5_123_fv-cap1_ds-350_dis100
304.0,53,-855.0,-583.0,-1020.0,67.9,a1.5_123_fv-cap1_ds-350_dis100_qg
633.0,47,-616.0,-506.0,-1356.0,84.2,a1.5_123_fv-cap1_ds-350_dis60
160.0,53,-666.0,-581.0,-1206.0,67.9,a1.5_123_fv-cap1_ds-350_dis60_qg
851.0,65,-1986.0,-475.0,-536.0,92.6,a1.5_123_fv-skip_ds0_dis100
882.0,76,-2218.0,-769.0,-753.0,81.8,a1.5_123_fv-skip_ds0_dis100_qg
1048.0,71,-1860.0,-550.0,-340.0,98.8,a1.5_123_fv-skip_ds0_dis60
945.0,65,-2224.0,-842.0,-1279.0,86.7,a1.5_123_fv-skip_ds0_dis60_qg
286.0,53,-802.0,-603.0,-867.0,72.4,a1.5_123_fv-skip_ds-350_dis100
301.0,59,-855.0,-584.0,-912.0,64.0,a1.5_123_fv-skip_ds-350_dis100_qg
511.0,53,-616.0,-506.0,-780.0,75.9,a1.5_123_fv-skip_ds-350_dis60
236.0,47,-666.0,-581.0,-1206.0,64.1,a1.5_123_fv-skip_ds-350_dis60_qg
777.0,71,-1538.0,-578.0,-1757.0,103.1,a1.5_122_fv-none_ds0_dis100
850.0,82,-1866.0,-736.0,-500.0,89.5,a1.5_122_fv-none_ds0_dis100_qg
916.0,71,-1494.0,-537.0,-1825.0,110.4,a1.5_122_fv-none_ds0_dis60
795.0,76,-1855.0,-833.0,-1120.0,95.5,a1.5_122_fv-none_ds0_dis60_qg
271.0,53,-682.0,-561.0,-1318.0,78.5,a1.5_122_fv-none_ds-350_dis100
285.0,53,-656.0,-554.0,-1054.0,67.6,a1.5_122_fv-none_ds-350_dis100_qg
501.0,59,-591.0,-483.0,-1438.0,83.8,a1.5_122_fv-none_ds-350_dis60
8.0,47,-590.0,-525.0,-1176.0,66.6,a1.5_122_fv-none_ds-350_dis60_qg
795.0,71,-1538.0,-547.0,-1620.0,103.1,a1.5_122_fv-cap1_ds0_dis100
822.0,88,-1814.0,-733.0,-429.0,89.5,a1.5_122_fv-cap1_ds0_dis100_qg
917.0,76,-1494.0,-483.0,-1748.0,110.4,a1.5_122_fv-cap1_ds0_dis60
793.0,71,-1854.0,-686.0,-737.0,95.3,a1.5_122_fv-cap1_ds0_dis60_qg
277.0,53,-682.0,-561.0,-1331.0,78.5,a1.5_122_fv-cap1_ds-350_dis100
235.0,41,-656.0,-532.0,-1054.0,67.8,a1.5_122_fv-cap1_ds-350_dis100_qg
471.0,53,-591.0,-457.0,-1272.0,83.8,a1.5_122_fv-cap1_ds-350_dis60
48.0,35,-590.0,-525.0,-1189.0,68.6,a1.5_122_fv-cap1_ds-350_dis60_qg
755.0,71,-1534.0,-456.0,-582.0,92.6,a1.5_122_fv-skip_ds0_dis100
740.0,76,-1814.0,-658.0,-596.0,81.5,a1.5_122_fv-skip_ds0_dis100_qg
894.0,71,-1490.0,-460.0,-665.0,98.8,a1.5_122_fv-skip_ds0_dis60
706.0,65,-1854.0,-719.0,-1296.0,86.2,a1.5_122_fv-skip_ds0_dis60_qg
209.0,65,-682.0,-561.0,-680.0,72.0,a1.5_122_fv-skip_ds-350_dis100
239.0,41,-656.0,-538.0,-1054.0,63.9,a1.5_122_fv-skip_ds-350_dis100_qg
378.0,47,-591.0,-457.0,-1037.0,77.1,a1.5_122_fv-skip_ds-350_dis60
112.0,41,-583.0,-511.0,-1096.0,63.8,a1.5_122_fv-skip_ds-350_dis60_qg
633.0,82,-1436.0,-513.0,-1600.0,103.1,a1.5_cap2_fv-none_ds0_dis100
688.0,88,-1594.0,-542.0,-424.0,88.5,a1.5_cap2_fv-none_ds0_dis100_qg
808.0,71,-1310.0,-500.0,-2082.0,110.4,a1.5_cap2_fv-none_ds0_dis60
725.0,76,-1316.0,-587.0,-1047.0,95.1,a1.5_cap2_fv-none_ds0_dis60_qg
253.0,59,-619.0,-526.0,-1285.0,80.9,a1.5_cap2_fv-none_ds-350_dis100
266.0,53,-651.0,-483.0,-1018.0,73.1,a1.5_cap2_fv-none_ds-350_dis100_qg
531.0,59,-484.0,-418.0,-1151.0,85.8,a1.5_cap2_fv-none_ds-350_dis60
187.0,59,-572.0,-487.0,-1034.0,74.2,a1.5_cap2_fv-none_ds-350_dis60_qg
653.0,82,-1436.0,-510.0,-1658.0,103.1,a1.5_cap2_fv-cap1_ds0_dis100
646.0,76,-1377.0,-532.0,-443.0,88.4,a1.5_cap2_fv-cap1_ds0_dis100_qg
819.0,71,-1205.0,-473.0,-1786.0,110.4,a1.5_cap2_fv-cap1_ds0_dis60
732.0,76,-1282.0,-589.0,-610.0,95.0,a1.5_cap2_fv-cap1_ds0_dis60_qg
291.0,53,-619.0,-526.0,-1312.0,80.9,a1.5_cap2_fv-cap1_ds-350_dis100
275.0,53,-651.0,-485.0,-984.0,73.2,a1.5_cap2_fv-cap1_ds-350_dis100_qg
487.0,53,-484.0,-418.0,-1254.0,85.8,a1.5_cap2_fv-cap1_ds-350_dis60
173.0,59,-572.0,-481.0,-996.0,74.4,a1.5_cap2_fv-cap1_ds-350_dis60_qg
610.0,71,-1432.0,-433.0,-572.0,92.6,a1.5_cap2_fv-skip_ds0_dis100
554.0,76,-1295.0,-562.0,-833.0,80.1,a1.5_cap2_fv-skip_ds0_dis100_qg
791.0,65,-1200.0,-375.0,-522.0,98.8,a1.5_cap2_fv-skip_ds0_dis60
666.0,76,-1281.0,-554.0,-802.0,86.2,a1.5_cap2_fv-skip_ds0_dis60_qg
206.0,59,-619.0,-529.0,-578.0,73.9,a1.5_cap2_fv-skip_ds-350_dis100
291.0,65,-651.0,-485.0,-796.0,69.5,a1.5_cap2_fv-skip_ds-350_dis100_qg
391.0,47,-484.0,-419.0,-801.0,78.9,a1.5_cap2_fv-skip_ds-350_dis60
181.0,53,-572.0,-482.0,-940.0,69.7,a1.5_cap2_fv-skip_ds-350_dis60_qg
