name,sel_usd_wk,sel_tr_wk,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
k15_a2.0_pm_t15,176.0,52.8,543.0,48.8,11.14,-290.0,75
k10_a2.0_am_t15_tgt8,173.0,107.6,-55.0,133.0,-0.41,-305.0,50
k10_a2.0_skip30_t20,172.0,70.2,119.0,66.5,1.8,-950.0,50
k10_a1.5_skip30_t20,169.0,80.1,58.0,76.5,0.75,-1348.0,50
k10_a1.2_skip30_t20,168.0,85.0,218.0,81.2,2.68,-1456.0,50
k15_a2.0_none_t20,163.0,81.3,978.0,77.8,12.58,-1335.0,75
k15_a2.0_hivol_t10,151.0,109.1,420.0,121.5,3.46,-1062.0,50
k15_a1.5_am_t15,136.0,54.7,292.0,54.2,5.38,-1471.0,75
k15_a2.0_am_t10,122.0,63.6,-137.0,63.5,-2.16,-1280.0,75
k10_a1.5_am_t15_tgt8,119.0,139.0,-324.0,171.8,-1.89,-1414.0,25
k10_a1.2_none_t15,117.0,116.6,1196.0,110.5,10.82,-974.0,75
k15_a2.0_am_t15,112.0,48.2,295.0,47.0,6.27,-714.0,50
k10_a2.0_hivol_t10,111.0,97.2,-148.0,109.8,-1.35,-972.0,25
k15_a1.2_pm_t15,92.0,62.8,445.0,59.0,7.54,-1342.0,75
k10_a1.5_am_t10,88.0,72.8,-276.0,71.5,-3.86,-1202.0,25
k10_a1.2_am_t15,86.0,56.8,459.0,54.8,8.39,-462.0,50
k15_a1.2_hivol_t10,85.0,137.4,532.0,150.5,3.53,-1514.0,50
k10_a2.0_am_t15,79.0,45.4,-6.0,43.2,-0.13,-1337.0,75
k15_a1.5_hivol_t10,79.0,127.9,933.0,141.5,6.59,-1904.0,50
k15_a2.0_pm_t20,70.0,43.1,308.0,40.0,7.71,-676.0,50
k15_a1.5_skip30_t20,60.0,83.2,46.0,79.5,0.58,-1114.0,25
k10_a2.0_pm_t20,58.0,39.8,312.0,38.2,8.16,-1049.0,75
k10_a1.5_lovol_t15,50.0,21.3,240.0,8.3,28.84,118.0,100
k10_a2.0_none_t20,42.0,76.3,516.0,71.8,7.2,-890.0,50
k15_a2.0_am_t20,38.0,39.8,675.0,38.8,17.43,-286.0,75
k15_a2.0_lovol_t15,35.0,20.1,306.0,8.0,38.23,126.0,100
k15_a1.5_lovol_t15,28.0,21.9,393.0,8.3,47.18,121.0,100
k10_a1.5_hivol_t10,28.0,120.1,208.0,135.8,1.53,-820.0,75
k10_a1.2_am_t10,25.0,79.1,-712.0,76.0,-9.38,-2686.0,25
k10_a1.2_none_t20,10.0,90.9,-527.0,87.0,-6.06,-1740.0,25
k10_a1.2_lovol_t15,8.0,22.3,139.0,9.3,14.88,78.0,100
k10_a2.0_am_t15_tgt5,-5.0,130.7,-325.0,152.0,-2.14,-719.0,25
k10_a1.2_am_t15_tgt8,-7.0,156.3,-423.0,186.8,-2.26,-1412.0,50
k10_a2.0_skip30_t15,-9.0,84.3,269.0,82.0,3.28,-270.0,50
k10_a1.5_pm_t20,-16.0,44.9,275.0,42.0,6.55,-890.0,75
k15_a2.0_none_t10,-18.0,133.4,530.0,128.0,4.14,-1154.0,50
k15_a1.5_hivol_t15_tgt8,-20.0,209.1,-631.0,297.8,-2.12,-1228.0,25
k15_a1.5_am_t15_tgt8,-23.0,144.1,-531.0,168.5,-3.15,-1140.0,0
k15_a2.0_am_t15_tgt5,-23.0,143.1,-6.0,184.5,-0.03,-272.0,25
k10_a1.5_pm_t15,-24.0,56.4,708.0,52.2,13.55,-371.0,50
k15_a1.2_lovol_t15,-30.0,23.1,444.0,9.7,45.95,270.0,100
k15_a1.2_am_t10,-31.0,81.7,67.0,78.0,0.86,-736.0,50
k15_a1.2_am_t15,-32.0,58.4,125.0,57.5,2.18,-1381.0,50
k15_a1.2_am_t15_tgt8,-35.0,162.4,-274.0,197.0,-1.39,-804.0,25
k15_a2.0_hivol_t15_tgt8,-45.0,165.7,-171.0,251.5,-0.68,-1505.0,50
k15_a1.2_none_t15,-49.0,119.1,818.0,114.8,7.13,-2070.0,50
k15_a1.5_pm_t10,-53.0,81.9,991.0,77.8,12.75,-610.0,75
k15_a1.2_none_t20,-67.0,93.4,558.0,89.8,6.22,-2118.0,50
k15_a1.2_skip30_t15,-69.0,111.2,30.0,107.0,0.28,-1830.0,50
k15_a2.0_skip30_t10,-71.0,124.4,834.0,117.8,7.08,-1345.0,75
k10_a1.5_am_t20,-73.0,43.3,310.0,41.2,7.52,-348.0,50
k15_a1.2_none_t10,-76.0,167.3,599.0,159.2,3.76,-1674.0,50
k15_a1.2_am_t20,-78.0,45.9,80.0,44.8,1.79,-1332.0,25
k10_a2.0_none_t15,-79.0,91.9,831.0,89.0,9.34,-976.0,75
k15_a2.0_am_t15_tgt8,-80.0,111.1,-140.0,148.8,-0.94,-793.0,25
k10_a1.5_none_t20,-89.0,86.6,629.0,82.0,7.67,-829.0,75
k15_a1.2_skip30_t10,-91.0,155.7,348.0,147.8,2.35,-1388.0,75
k10_a2.0_none_t10,-91.0,119.4,-188.0,115.8,-1.62,-769.0,25
k15_a1.2_hivol_t15_tgt8,-92.0,231.4,-289.0,337.8,-0.86,-858.0,25
k15_a1.2_skip30_t20,-93.0,86.7,824.0,83.2,9.89,-780.0,50
k10_a2.0_hivol_t15_tgt8,-96.0,151.4,256.0,232.2,1.1,-298.0,50
k10_a1.2_hivol_t10,-97.0,132.7,-490.0,147.2,-3.33,-3264.0,75
k10_a2.0_lovol_t10,-103.0,23.4,-10.0,8.7,-1.21,-302.0,67
k10_a1.5_am_t15_tgt5,-103.0,172.3,-471.0,206.8,-2.28,-1440.0,25
k10_a2.0_lovol_t15,-113.0,18.2,232.0,7.3,31.64,124.0,100
k15_a1.5_skip30_t15_tgt8,-117.0,232.4,-645.0,283.8,-2.27,-1339.0,25
k15_a2.0_lovol_t10,-119.0,25.7,165.0,9.7,17.09,3.0,100
k15_a2.0_hivol_t15_tgt5,-120.0,209.8,-143.0,322.2,-0.44,-1010.0,50
k15_a1.5_none_t20,-121.0,89.1,576.0,86.0,6.7,-618.0,25
k15_a1.2_pm_t10,-129.0,87.7,1054.0,82.5,12.77,-659.0,75
k10_a2.0_lovol_t15_tgt5,-130.0,48.2,-79.0,20.7,-3.84,-240.0,33
k10_a2.0_lovol_t15_tgt8,-130.0,38.8,-149.0,15.7,-9.51,-284.0,33
k15_a1.5_am_t15_tgt5,-133.0,181.7,-375.0,211.0,-1.78,-690.0,0
k15_a1.5_lovol_t10,-134.0,29.8,206.0,11.0,18.71,-123.0,67
k15_a1.2_lovol_t10,-138.0,31.9,149.0,12.7,11.78,-142.0,67
k10_a1.2_am_t20,-142.0,44.8,-146.0,43.8,-3.33,-722.0,25
k10_a2.0_skip30_t15_tgt8,-144.0,167.9,100.0,215.2,0.47,-425.0,50
k10_a1.5_lovol_t15_tgt8,-145.0,48.2,-92.0,22.7,-4.07,-313.0,33
k10_a1.2_pm_t15,-146.0,61.3,896.0,57.2,15.66,-515.0,75
k10_a1.5_hivol_t15_tgt8,-148.0,192.4,-532.0,286.2,-1.86,-1678.0,25
k15_a1.2_lovol_t15_tgt8,-159.0,55.6,-21.0,26.0,-0.79,-228.0,33
k10_a1.2_hivol_t15_tgt8,-160.0,223.2,-695.0,319.5,-2.18,-1476.0,25
k15_a1.5_lovol_t15_tgt8,-163.0,51.7,-56.0,21.0,-2.64,-184.0,33
k10_a2.0_skip30_t10,-164.0,109.8,-230.0,106.2,-2.17,-1358.0,50
