name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
VCT3_1min_time40_all,1min,21.3,100.7,122.0,8030,51.4,46.7,-5.5,3738.0,-416.0,50.3
VCT3_1min_time40_rth,1min,20.6,33.3,53.9,2647,17.0,50.3,-10.7,4026.0,-818.0,51.3
VCT3_1min_trail2.0_all,1min,-187.0,135.8,-51.2,10816,69.3,-146.9,-229.1,-11749.0,-17443.0,36.3
VCT3_1min_trail2.0_rth,1min,-88.1,43.7,-44.4,3481,22.3,-75.2,-101.7,-6013.0,-7741.0,36.2
VEXPR_1min_time5_all,1min,13.1,69.8,82.9,5557,35.6,17.5,8.5,1399.0,650.0,52.2
VEXPR_1min_time5_rth,1min,-2.9,19.4,16.5,1543,9.9,0.6,-6.6,47.0,-503.0,51.2
VEXPR_1min_time15_all,1min,-11.4,67.2,55.8,5351,34.3,7.3,-31.2,588.0,-2374.0,51.7
VEXPR_1min_time15_rth,1min,-18.5,19.0,0.5,1507,9.7,9.3,-47.8,742.0,-3637.0,50.8
VEXPR_1min_time40_all,1min,-15.6,61.0,45.4,4849,31.1,4.3,-36.6,348.0,-2784.0,52.1
VEXPR_1min_time40_rth,1min,-37.9,17.6,-20.3,1413,9.0,-32.5,-43.5,-2598.0,-3312.0,50.7
VEXPR_1min_trail2.0_all,1min,-205.9,75.1,-130.8,5976,38.3,-150.6,-263.9,-12047.0,-20096.0,31.6
VEXPR_1min_trail2.0_rth,1min,-116.6,22.0,-94.6,1753,11.2,-90.3,-144.1,-7225.0,-10975.0,30.2
RIBB_1min_time5_all,1min,60.0,698.7,758.7,55671,356.5,67.8,51.8,5428.0,3945.0,49.3
RIBB_1min_time5_rth,1min,27.6,231.9,259.5,18479,118.3,25.9,29.4,2070.0,2235.0,50.1
RIBB_1min_time15_all,1min,39.3,449.2,488.5,35781,229.2,177.8,-106.2,14222.0,-8088.0,49.5
RIBB_1min_time15_rth,1min,10.8,148.2,159.0,11804,75.6,108.3,-91.7,8665.0,-6980.0,50.1
RIBB_1min_time40_all,1min,57.6,243.8,301.4,19418,124.4,128.5,-17.1,10284.0,-1300.0,49.4
RIBB_1min_time40_rth,1min,84.8,82.3,167.1,6555,42.0,107.1,61.4,8565.0,4676.0,49.9
RIBB_1min_trail2.0_all,1min,-695.9,607.6,-88.3,48411,310.0,-478.5,-923.9,-38283.0,-70349.0,36.2
RIBB_1min_trail2.0_rth,1min,-333.3,191.9,-141.4,15280,97.9,-217.6,-454.7,-17409.0,-34625.0,35.9
EMAX_1min_time5_all,1min,-44.6,460.2,415.6,36665,234.8,-40.4,-49.1,-3228.0,-3738.0,48.8
EMAX_1min_time5_rth,1min,13.2,145.4,158.6,11579,74.2,28.8,-3.1,2306.0,-238.0,49.1
EMAX_1min_time15_all,1min,-53.9,339.3,285.4,27035,173.1,-73.5,-33.2,-5877.0,-2530.0,48.9
EMAX_1min_time15_rth,1min,29.7,108.0,137.7,8605,55.1,1.9,58.8,149.0,4480.0,49.8
EMAX_1min_time40_all,1min,-0.3,207.4,207.1,16524,105.8,-25.7,26.3,-2053.0,2006.0,49.9
EMAX_1min_time40_rth,1min,22.6,68.6,91.2,5463,35.0,35.6,9.0,2848.0,682.0,50.7
EMAX_1min_trail2.0_all,1min,-649.2,476.9,-172.3,37992,243.3,-510.1,-795.1,-40808.0,-60539.0,35.7
EMAX_1min_trail2.0_rth,1min,-315.8,148.6,-167.2,11835,75.8,-237.8,-397.7,-19020.0,-30282.0,35.9
SMAX_1min_time5_all,1min,36.5,280.7,317.2,22363,143.2,2.9,71.7,232.0,5463.0,48.7
SMAX_1min_time5_rth,1min,9.4,89.0,98.4,7088,45.4,-14.7,34.7,-1178.0,2642.0,49.1
SMAX_1min_time15_all,1min,-12.7,248.1,235.4,19774,126.6,-22.0,-2.8,-1762.0,-214.0,49.7
SMAX_1min_time15_rth,1min,-36.9,79.2,42.3,6311,40.4,-37.6,-36.2,-3010.0,-2753.0,49.4
SMAX_1min_time40_all,1min,-52.3,171.3,119.0,13647,87.4,-100.4,-1.7,-8032.0,-127.0,49.2
SMAX_1min_time40_rth,1min,-7.8,56.1,48.3,4464,28.6,-37.6,23.4,-3006.0,1784.0,49.3
SMAX_1min_trail2.0_all,1min,-360.1,281.7,-78.4,22442,143.7,-286.9,-436.7,-22956.0,-33251.0,36.0
SMAX_1min_trail2.0_rth,1min,-186.9,89.2,-97.7,7098,45.5,-145.3,-230.5,-11620.0,-17550.0,35.4
DIVG_1min_time5_all,1min,63.3,464.1,527.4,36976,236.8,4.1,125.4,328.0,9550.0,50.5
DIVG_1min_time5_rth,1min,43.0,158.4,201.4,12611,80.8,8.7,79.1,694.0,6022.0,50.0
DIVG_1min_time15_all,1min,17.6,354.6,372.2,28240,180.9,-123.9,166.3,-9910.0,12664.0,50.3
DIVG_1min_time15_rth,1min,40.1,119.2,159.3,9493,60.8,-93.6,180.6,-7490.0,13752.0,49.7
DIVG_1min_time40_all,1min,65.0,212.1,277.1,16893,108.2,-15.1,149.0,-1206.0,11348.0,50.2
DIVG_1min_time40_rth,1min,62.4,71.7,134.1,5713,36.6,-43.9,174.1,-3516.0,13253.0,50.1
DIVG_1min_trail2.0_all,1min,-410.5,427.9,17.4,34084,218.3,-395.0,-426.6,-31604.0,-32480.0,36.6
DIVG_1min_trail2.0_rth,1min,-198.1,141.9,-56.2,11307,72.4,-223.3,-171.6,-17866.0,-13064.0,36.0
ZF_1min_time5_all,1min,102.5,434.3,536.8,34596,221.6,57.9,149.2,4633.0,11360.0,51.4
ZF_1min_time5_rth,1min,42.9,134.8,177.7,10740,68.8,29.0,57.4,2323.0,4369.0,51.6
ZF_1min_time15_all,1min,105.1,362.2,467.3,28855,184.8,49.1,163.8,3930.0,12470.0,51.3
ZF_1min_time15_rth,1min,11.3,114.1,125.4,9090,58.2,6.0,16.8,483.0,1282.0,50.6
ZF_1min_time40_all,1min,79.9,217.6,297.5,17330,111.0,35.8,126.2,2862.0,9610.0,51.3
ZF_1min_time40_rth,1min,-33.1,71.5,38.4,5706,36.5,-133.9,72.9,-10714.0,5548.0,50.4
ZF_1min_trail2.0_all,1min,-602.6,476.9,-125.7,37995,243.3,-471.8,-739.7,-37743.0,-56320.0,34.9
ZF_1min_trail2.0_rth,1min,-289.9,145.2,-144.7,11568,74.1,-257.5,-323.7,-20602.0,-24647.0,34.6
ZJ_1min_time5_all,1min,-79.7,790.9,711.2,63009,403.5,-112.4,-45.2,-8992.0,-3444.0,48.4
ZJ_1min_time5_rth,1min,-59.0,250.3,191.3,19947,127.7,-44.9,-73.8,-3589.0,-5620.0,48.9
ZJ_1min_time15_all,1min,-122.4,498.0,375.6,39672,254.1,-131.7,-112.6,-10539.0,-8574.0,49.5
ZJ_1min_time15_rth,1min,-5.8,159.9,154.1,12735,81.6,-43.0,33.4,-3441.0,2541.0,50.4
ZJ_1min_time40_all,1min,80.4,257.0,337.4,20470,131.1,33.6,129.6,2688.0,9865.0,49.9
ZJ_1min_time40_rth,1min,122.0,85.1,207.1,6781,43.4,71.3,175.2,5704.0,13340.0,50.6
ZJ_1min_trail2.0_all,1min,-850.1,718.9,-131.2,57274,366.8,-761.0,-943.3,-60877.0,-71822.0,35.7
ZJ_1min_trail2.0_rth,1min,-422.9,218.9,-204.0,17438,111.7,-381.5,-466.1,-30524.0,-35488.0,35.4
RPMR_1min_time5_all,1min,86.0,852.8,938.8,67942,435.1,86.0,85.9,6881.0,6538.0,50.9
RPMR_1min_time5_rth,1min,31.9,280.7,312.6,22362,143.2,22.4,41.9,1790.0,3194.0,50.2
RPMR_1min_time15_all,1min,102.4,509.8,612.2,40607,260.1,70.1,136.3,5610.0,10376.0,51.2
RPMR_1min_time15_rth,1min,36.1,167.2,203.3,13326,85.3,32.2,40.1,2576.0,3055.0,50.5
RPMR_1min_time40_all,1min,56.8,261.7,318.5,20844,133.5,1.6,114.8,126.0,8738.0,50.6
RPMR_1min_time40_rth,1min,20.9,87.6,108.5,6974,44.7,-45.6,90.8,-3646.0,6916.0,50.3
RPMR_1min_trail2.0_all,1min,-952.9,814.4,-138.5,64873,415.5,-709.9,-1207.7,-56791.0,-91958.0,35.4
RPMR_1min_trail2.0_rth,1min,-468.7,254.2,-214.5,20256,129.7,-368.4,-573.7,-29474.0,-43685.0,35.3
RPMO_1min_time5_all,1min,-86.0,852.8,766.8,67942,435.1,-86.0,-85.9,-6881.0,-6538.0,47.7
RPMO_1min_time5_rth,1min,-31.9,280.7,248.8,22362,143.2,-22.4,-41.9,-1790.0,-3194.0,49.0
RPMO_1min_time15_all,1min,-102.4,509.8,407.4,40607,260.1,-70.1,-136.3,-5610.0,-10376.0,48.1
RPMO_1min_time15_rth,1min,-36.1,167.2,131.1,13326,85.3,-32.2,-40.1,-2576.0,-3055.0,49.1
RPMO_1min_time40_all,1min,-56.8,261.7,204.9,20844,133.5,-1.6,-114.8,-126.0,-8738.0,48.9
RPMO_1min_time40_rth,1min,-20.9,87.6,66.7,6974,44.7,45.6,-90.8,3646.0,-6916.0,49.4
RPMO_1min_trail2.0_all,1min,-1142.6,687.2,-455.4,54749,350.6,-896.7,-1400.3,-71735.0,-106623.0,34.4
RPMO_1min_trail2.0_rth,1min,-519.8,207.8,-312.0,16556,106.0,-408.7,-636.2,-32700.0,-48442.0,34.6
CHOPB_1min_time5_all,1min,-17.1,86.8,69.7,6920,44.3,-24.5,-9.3,-1958.0,-711.0,46.3
CHOPB_1min_time5_rth,1min,-5.6,26.3,20.7,2092,13.4,-7.3,-3.8,-581.0,-288.0,48.4
CHOPB_1min_time15_all,1min,28.7,69.6,98.3,5546,35.5,-6.6,65.9,-530.0,5017.0,47.8
CHOPB_1min_time15_rth,1min,15.8,21.0,36.8,1664,10.7,-4.7,37.4,-376.0,2847.0,49.2
CHOPB_1min_time40_all,1min,11.2,56.3,67.5,4476,28.7,-28.4,52.7,-2270.0,4016.0,48.4
CHOPB_1min_time40_rth,1min,16.2,17.2,33.4,1367,8.8,-13.5,47.3,-1082.0,3604.0,49.2
CHOPB_1min_trail2.0_all,1min,-138.7,76.8,-61.9,6126,39.2,-118.0,-160.3,-9441.0,-12203.0,34.5
CHOPB_1min_trail2.0_rth,1min,-61.5,21.8,-39.7,1738,11.1,-47.7,-75.9,-3816.0,-5781.0,35.8
DIX_1min_time5_all,1min,-6.0,735.4,729.4,58578,375.2,-61.8,52.6,-4946.0,4006.0,49.0
DIX_1min_time5_rth,1min,7.5,235.2,242.7,18741,120.0,3.9,11.4,309.0,866.0,49.9
DIX_1min_time15_all,1min,-71.6,479.8,408.2,38226,244.8,-6.2,-140.4,-495.0,-10688.0,49.5
DIX_1min_time15_rth,1min,0.9,154.8,155.7,12329,79.0,20.7,-19.8,1653.0,-1511.0,50.1
DIX_1min_time40_all,1min,-19.4,252.1,232.7,20084,128.6,24.3,-65.2,1942.0,-4967.0,49.9
DIX_1min_time40_rth,1min,49.4,83.7,133.1,6674,42.7,52.7,45.8,4216.0,3488.0,50.7
DIX_1min_trail2.0_all,1min,-782.1,680.5,-101.6,54205,347.2,-698.2,-869.7,-55859.0,-66220.0,36.1
DIX_1min_trail2.0_rth,1min,-367.9,208.7,-159.2,16631,106.5,-319.0,-419.1,-25520.0,-31915.0,36.0
HRMOM_1min_time5_all,1min,-1.8,144.5,142.7,11501,73.7,56.0,-62.6,4481.0,-4764.0,48.8
HRMOM_1min_time5_rth,1min,-16.2,59.8,43.6,4756,30.5,33.5,-68.4,2676.0,-5208.0,48.4
HRMOM_1min_time15_all,1min,34.1,144.3,178.4,11496,73.6,101.8,-37.2,8147.0,-2830.0,49.7
HRMOM_1min_time15_rth,1min,4.6,59.8,64.4,4755,30.5,65.7,-59.7,5258.0,-4544.0,50.4
HRMOM_1min_time40_all,1min,74.0,144.1,218.1,11481,73.5,168.1,-25.0,13452.0,-1906.0,50.0
HRMOM_1min_time40_rth,1min,45.8,59.8,105.6,4755,30.5,137.4,-50.5,10996.0,-3846.0,50.3
HRMOM_1min_trail2.0_all,1min,-332.2,154.8,-177.4,12336,79.0,-176.1,-496.1,-14087.0,-37774.0,35.3
HRMOM_1min_trail2.0_rth,1min,-180.1,62.9,-117.2,5013,32.1,-110.7,-253.0,-8856.0,-19264.0,35.9
M30F_1min_time5_all,1min,-8.5,643.3,634.8,51248,328.2,-55.1,40.5,-4406.0,3080.0,48.9
M30F_1min_time5_rth,1min,17.4,205.0,222.4,16327,104.6,13.8,21.3,1100.0,1623.0,49.4
