tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HOLD_SESSION_22to14_LONG,LONG,2024-10-03 22:06:00+00:00,2024-10-04 14:00:00+00:00,19751.817,19881.135,,,timeout,954,129.3179999999993,257.8959999999986
HOLD_SESSION_22to14_LONG,LONG,2024-10-06 22:05:00+00:00,2024-10-07 14:00:00+00:00,20049.484,19930.734,,,timeout,955,-118.75,-238.24
HOLD_SESSION_22to14_LONG,LONG,2024-10-07 22:07:00+00:00,2024-10-08 14:00:00+00:00,19827.45,19999.15,,,timeout,953,171.70000000000073,342.66000000000145
HOLD_SESSION_22to14_LONG,LONG,2024-10-08 22:06:00+00:00,2024-10-09 14:00:00+00:00,20096.051,20080.55,,,timeout,954,-15.501000000000204,-31.742000000000406
HOLD_SESSION_22to14_LONG,LONG,2024-10-09 22:05:00+00:00,2024-10-10 15:05:00+00:00,20250.105,20199.056,,,timeout,955,-51.04899999999907,-102.83799999999813
HOLD_SESSION_22to14_LONG,LONG,2024-10-10 22:06:00+00:00,2024-10-11 14:00:00+00:00,20250.089,20162.884,,,timeout,954,-87.20500000000175,-175.1500000000035
HOLD_SESSION_22to14_LONG,LONG,2024-10-13 22:07:00+00:00,2024-10-14 14:00:00+00:00,20238.317,20487.773,,,timeout,953,249.45600000000195,498.1720000000039
HOLD_SESSION_22to14_LONG,LONG,2024-10-14 22:03:00+00:00,2024-10-15 14:00:00+00:00,20460.995,20452.318,,,timeout,957,-8.67699999999968,-18.093999999999358
HOLD_SESSION_22to14_LONG,LONG,2024-10-15 22:06:00+00:00,2024-10-16 14:00:00+00:00,20146.528,20045.34,,,timeout,954,-101.18799999999828,-203.11599999999657
HOLD_SESSION_22to14_LONG,LONG,2024-10-16 22:07:00+00:00,2024-10-17 14:00:00+00:00,20155.817,20262.552,,,timeout,953,106.73500000000058,212.73000000000116
HOLD_SESSION_22to14_LONG,LONG,2024-10-17 22:04:00+00:00,2024-10-18 14:00:00+00:00,20219.316,20328.957,,,timeout,956,109.64099999999962,218.54199999999923
