name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
H17_LONG_10min_10_20,3154,0.3642993024730501,-9554.907000000316,-15.411140322581154,-3.0294568801522876,620,-10002.920999999838,-145.15399999999266,191.0200000000157,5.087096774193548,-0.2529957935115915
H20_SHORT_5min_8_16,2858,0.3344996501049685,-10039.515999999847,-15.662271450857796,-3.5127767669698553,641,-10069.289999999346,-222.4580000000159,187.5440000000084,4.458658346333853,-0.31667387888327964
H19_LONG_10min_10_20,3108,0.3584298584298584,-10156.551999999876,-16.650085245901437,-3.267873873873834,610,-10466.92599999961,-144.7719999999876,223.5640000000081,5.0950819672131145,-0.2685308070356471
H05_SHORT_10min_10_20,2420,0.3512396694214876,-10222.976999999923,-16.150042654028315,-4.224370661156993,633,-10216.434999999494,-161.25399999999848,120.03200000000359,3.8230647709320693,-0.42083141623591364
H06_LONG_10min_10_20,2538,0.3877068557919622,-10420.294000000147,-16.461759873617925,-4.105710795902343,633,-10508.241999999682,-160.3500000000035,207.51799999999872,4.009478672985782,-0.39551025281712027
H20_SHORT_5min_RR1,2990,0.4662207357859532,-10877.439999999822,-16.94305295950128,-3.6379397993310443,642,-10895.213999999269,-229.4580000000159,112.12399999999764,4.657320872274143,-0.3721185952506315
H22_LONG_5min_RR1,2377,0.4299537231804796,-10988.521999999854,-26.932651960783954,-4.622853176272551,408,-11018.023999999441,-204.4099999999895,111.776000000012,5.825980392156863,-0.5919369864764501
H22_LONG_5min_8_16,2326,0.3486672398968186,-11355.994999999879,-27.833321078431077,-4.882199054170197,408,-11389.18499999949,-193.4099999999895,178.776000000012,5.700980392156863,-0.56903723207679
H15_SHORT_10min_10_20,3517,0.3340915553028149,-12415.829999999756,-19.614265402843216,-3.5302331532555464,633,-12464.129999999095,-142.49999999999767,209.07800000000367,5.55608214849921,-0.3105994726682063
H02_SHORT_10min_10_20,2450,0.3448979591836735,-12734.437999999867,-20.085864353312093,-5.197729795918313,634,-12749.732999999433,-151.6399999999898,165.27999999998863,3.864353312302839,-0.5596671295538904
H18_SHORT_10min_10_20,3114,0.3413615928066795,-13249.402000000113,-21.54374308943108,-4.254785484906908,615,-13341.941999999563,-149.1260000000015,169.98999999998574,5.0634146341463415,-0.36917974425977423
H00_LONG_10min_10_20,2709,0.3595422665190107,-13944.026999999931,-22.028478672985674,-5.14729678848281,633,-13938.364999999434,-161.3659999999922,165.2119999999946,4.279620853080568,-0.45490159527879453
H07_LONG_10min_10_20,2768,0.3619942196531792,-14092.354,-22.26280252764613,-5.091168352601156,633,-14101.7329999995,-157.86200000000593,124.27200000000157,4.372827804107425,-0.4687745927303976
H14_LONG_10min_10_20,3501,0.3159097400742645,-17528.931000000157,-27.735650316455946,-5.006835475578451,632,-17860.998000000352,-156.49199999999604,167.66200000000623,5.5395569620253164,-0.4156876030431882
H05_SHORT_5min_RR1,3772,0.3987274655355249,-18039.062000000067,-28.452779179810832,-4.782360021208926,634,-18050.522000000372,-253.7619999999905,123.52000000001078,5.9495268138801265,-0.666327252172727
H05_SHORT_5min_8_16,3747,0.33146517213771015,-18369.7639999998,-28.974391167192113,-4.902525753936429,634,-18391.52800000013,-213.41999999999678,117.48199999998208,5.910094637223975,-0.6366368047264256
H17_LONG_5min_8_16,5647,0.33770143438994155,-18951.04800000014,-30.56620645161313,-3.355949707809481,620,-19008.424000000785,-231.59800000000803,176.86000000001457,9.108064516129032,-0.4399452622414946
H02_SHORT_5min_8_16,3824,0.3310669456066946,-19279.245999999803,-30.408905362775712,-5.041643828451831,634,-19309.036000000837,-228.69399999998188,108.06799999998623,6.031545741324921,-0.6876940663807606
H02_SHORT_5min_RR1,3795,0.3857707509881423,-19802.07900000004,-31.233563091482715,-5.217939130434794,634,-19826.207000001,-222.09800000000192,132.6059999999826,5.985804416403785,-0.7254958348247618
H06_LONG_5min_8_16,4029,0.3469843633655994,-20398.584999999723,-32.22525276461251,-5.0629399354677895,633,-20443.374000001513,-211.24000000000376,137.63199999998994,6.3649289099526065,-0.6643958255806237
H06_LONG_5min_RR1,4094,0.4225696140693698,-20528.3080000001,-32.43018641390221,-5.01424230581341,633,-20581.2780000017,-230.7300000000131,160.63199999998994,6.467614533965245,-0.6611156446998813
H19_LONG_5min_8_16,5543,0.32635756810391486,-20908.3369999996,-34.275962295081314,-3.772025437488652,610,-20904.197000001004,-228.94999999999243,295.88599999999803,9.08688524590164,-0.48203618419689326
H18_SHORT_5min_8_16,5525,0.3279638009049774,-21098.159999999858,-34.25025974025951,-3.8186714932126438,616,-21141.024000001642,-224.68000000001018,201.84400000000926,8.969155844155845,-0.5325373266487039
H17_LONG_5min_RR1,5973,0.46877615938389416,-21802.963000000178,-35.166069354838996,-3.650253306546154,620,-21816.72300000184,-278.42000000000087,134.2900000000201,9.633870967741936,-0.5523585630033023
H19_LONG_5min_RR1,5823,0.4609307916881333,-22815.354999999676,-37.402221311474875,-3.9181444272711103,610,-22814.683000002264,-222.34399999999061,171.88599999999803,9.545901639344262,-0.5789440745414016
H18_SHORT_5min_RR1,5784,0.45677731673582295,-23430.1259999998,-38.09776585365821,-4.050851659751003,615,-23540.67200000263,-237.6100000000032,134.1879999999993,9.404878048780487,-0.6250775923788432
H15_SHORT_5min_8_16,6572,0.3199939135727328,-23996.110999999502,-37.90854818325356,-3.6512646074253654,633,-24092.70900000293,-219.84200000002136,231.1479999999932,10.382306477093207,-0.5329183882267872
H17_18_LONG_5min_10_20,7459,0.3582249631317871,-24053.402000000053,-38.485443200000084,-3.22474889395362,625,-24108.718000002784,-352.7160000000152,235.02400000001478,11.9344,-0.4095238405317096
H00_LONG_5min_RR1,4420,0.4110859728506787,-24865.158999999872,-39.28145181674545,-5.625601583710378,633,-24881.9230000028,-281.94600000000617,103.02800000001328,6.9826224328594,-0.6924941438141669
H00_LONG_5min_8_16,4366,0.3222629409070087,-24883.366000000024,-39.310214849921046,-5.6993508932661525,633,-24879.550000002848,-242.94600000000614,115.13000000000206,6.897314375987362,-0.6721470501658118
H07_LONG_5min_8_16,4540,0.33524229074889866,-24934.428000000007,-39.39088151658769,-5.4921647577092525,633,-25007.683000003057,-259.645999999996,144.49800000002085,7.172195892575039,-0.664255921609204
H17_LONG_2min_10_20,7869,0.3511246664125048,-25313.440999999875,-40.82813064516109,-3.216856144363944,620,-25433.03600000288,-412.1079999999961,435.5799999999843,12.691935483870967,-0.3870020288052358
H07_LONG_5min_RR1,4663,0.4304096075487883,-25540.116000000027,-40.34773459715644,-5.4771855028951375,633,-25652.621000003324,-307.645999999996,155.61799999999437,7.36650868878357,-0.6995682830173074
H15_SHORT_5min_RR1,6823,0.4668034588890517,-25981.768999999575,-41.04544865718732,-3.807968488934424,633,-26065.845000003163,-237.117999999983,160.85799999999233,10.778830963665087,-0.6276063451187622
