,pnl
2026-04-10 14:55:00.098196603+00:00,49.0
2026-04-10 15:56:00.289530203+00:00,-39.0
2026-04-10 16:12:00.091169249+00:00,46.5
2026-04-10 16:40:00.108817291+00:00,-85.5
2026-04-10 19:08:00.259346199+00:00,35.5
2026-04-10 19:25:00.213259083+00:00,33.5
2026-04-10 19:45:00.085167511+00:00,-37.5
2026-04-13 13:53:00.093528545+00:00,100.0
2026-04-13 14:15:00.100803805+00:00,-52.5
2026-04-13 14:51:00.083933533+00:00,-20.0
2026-04-13 15:10:00.129320387+00:00,-1.5
2026-04-13 15:53:00.132658139+00:00,-35.5
2026-04-13 16:37:00.069168247+00:00,87.5
2026-04-13 16:53:00.209841043+00:00,35.5
2026-04-13 17:09:00.289242571+00:00,9.5
2026-04-13 20:04:01.025288093+00:00,156.0
2026-04-14 13:52:00.081166953+00:00,-38.5
2026-04-14 18:06:00.221358729+00:00,14.5
2026-04-14 18:41:00.183381773+00:00,-65.0
2026-04-14 19:58:00.066641267+00:00,31.5
2026-04-15 13:52:00.324614251+00:00,47.0
2026-04-15 14:09:00.094238005+00:00,-21.5
2026-04-15 14:31:00.105096361+00:00,71.0
2026-04-15 17:04:00.084750681+00:00,-35.5
2026-04-15 20:25:00.132402255+00:00,15.5
2026-04-16 13:52:00.074124715+00:00,-67.0
2026-04-16 14:22:00.335857737+00:00,-12.0
2026-04-16 16:55:00.821888751+00:00,-53.0
2026-04-16 20:18:01.999287109+00:00,10.5
2026-04-17 13:52:00.065210205+00:00,-91.0
2026-04-17 15:11:00.189322029+00:00,68.5
2026-04-17 16:14:00.215253781+00:00,68.0
2026-04-17 17:37:00.136087637+00:00,-53.0
2026-04-17 17:55:00.111329215+00:00,-56.5
2026-04-17 18:11:00.119998441+00:00,93.5
2026-04-17 18:30:00.066639879+00:00,-36.0
2026-04-20 13:53:00.133583449+00:00,-58.0
2026-04-20 15:21:00.126154221+00:00,78.0
2026-04-20 18:05:00.358260343+00:00,19.5
2026-04-21 13:57:00.116670775+00:00,-147.0
2026-04-21 14:24:00.072821407+00:00,76.0
2026-04-21 15:16:00.071532111+00:00,79.5
2026-04-21 17:00:00.112724267+00:00,19.5
2026-04-21 17:28:00.121468939+00:00,10.5
2026-04-21 17:57:00.399705229+00:00,78.0
2026-04-21 19:57:00.235880935+00:00,-118.0
2026-04-21 20:13:00.670645703+00:00,305.5
2026-04-22 13:53:00.156857935+00:00,5.0
2026-04-22 14:31:00.097334661+00:00,81.0
2026-04-22 18:08:00.175316733+00:00,20.0
2026-04-22 18:39:01.468168789+00:00,37.5
2026-04-22 19:21:00.283593869+00:00,102.0
2026-04-22 20:16:00.421988741+00:00,58.5
2026-04-23 13:55:00.067903121+00:00,21.5
2026-04-23 14:13:00.113223865+00:00,-77.0
2026-04-23 17:28:00.081080155+00:00,-63.0
2026-04-23 17:44:00.102225633+00:00,-221.0
2026-04-23 18:01:00.083701807+00:00,273.5
2026-04-23 19:49:00.217301895+00:00,-62.5
2026-04-23 20:08:00.202638161+00:00,141.5
2026-04-24 13:59:00.134554347+00:00,-67.0
2026-04-24 14:23:00.066434989+00:00,76.5
2026-04-24 14:43:00.112838543+00:00,64.0
2026-04-24 19:13:00.097534649+00:00,77.0
2026-04-24 20:26:01.149400049+00:00,18.0
2026-04-24 20:43:00.550021087+00:00,26.5
2026-04-27 14:01:00.073536323+00:00,-84.5
2026-04-27 14:17:00.471507551+00:00,-59.5
2026-04-27 14:49:00.135271723+00:00,-55.5
2026-04-27 15:24:00.123519077+00:00,-74.0
2026-04-27 17:12:00.215208417+00:00,-40.5
2026-04-27 20:08:00.581857467+00:00,-35.5
2026-04-28 13:52:00.107453545+00:00,-110.5
2026-04-28 14:08:00.274180887+00:00,-42.5
2026-04-28 14:53:00.068405295+00:00,-52.5
2026-04-28 15:10:00.071835977+00:00,49.0
2026-04-28 15:39:00.077126311+00:00,-39.5
2026-04-28 15:55:00.067569825+00:00,-9.0
2026-04-28 16:11:00.122358731+00:00,55.0
2026-04-28 16:27:00.825239927+00:00,4.5
2026-04-28 16:43:00.511872575+00:00,-71.0
2026-04-28 17:10:00.088087615+00:00,41.0
2026-04-28 17:40:00.560772363+00:00,86.0
2026-04-28 20:16:00.779802771+00:00,68.5
2026-04-29 13:58:00.148258069+00:00,-58.5
2026-04-29 16:49:00.110124025+00:00,-77.5
2026-04-29 18:21:00.090397301+00:00,-63.0
2026-04-29 18:47:00.305004897+00:00,-39.5
2026-04-29 20:21:00.218512965+00:00,-258.0
2026-04-29 20:37:00.275704515+00:00,127.5
2026-04-30 13:52:00.069110673+00:00,155.5
2026-04-30 14:10:00.074890837+00:00,-41.5
2026-04-30 14:32:00.204217913+00:00,169.5
2026-04-30 19:12:00.076309485+00:00,53.5
2026-04-30 20:46:00.104077107+00:00,7.0
2026-05-01 13:53:00.111387731+00:00,-92.5
2026-05-01 14:39:00.076454083+00:00,-200.0
2026-05-01 19:09:00.131944417+00:00,60.0
2026-05-01 20:28:02.005656465+00:00,-55.0
2026-05-04 13:54:00.082387091+00:00,105.5
2026-05-04 14:11:00.115445533+00:00,27.0
2026-05-04 14:47:00.143547091+00:00,76.5
2026-05-04 15:42:00.076132917+00:00,84.5
2026-05-04 16:04:00.452715849+00:00,-44.5
2026-05-04 16:23:00.129841445+00:00,143.0
2026-05-04 18:03:00.089097633+00:00,-65.5
2026-05-04 18:23:00.126262931+00:00,52.0
2026-05-04 18:43:00.108343805+00:00,13.0
2026-05-04 19:00:00.065491131+00:00,62.0
2026-05-04 19:18:00.078225711+00:00,60.5
2026-05-04 20:07:01.886636687+00:00,-23.5
2026-05-04 20:23:00.746466219+00:00,-25.5
2026-05-04 20:39:01.405430591+00:00,-0.5
2026-05-05 14:01:00.069588927+00:00,-51.5
2026-05-05 19:20:00.400137443+00:00,23.5
2026-05-05 19:37:00.079692245+00:00,-23.0
2026-05-05 19:58:00.067234657+00:00,-46.0
2026-05-05 20:16:00.171432811+00:00,-12.0
2026-05-05 20:32:00.239431235+00:00,208.5
2026-05-06 13:53:00.067857487+00:00,124.5
2026-05-06 14:18:00.081992597+00:00,-7.5
2026-05-06 14:34:00.069568261+00:00,93.5
2026-05-06 20:07:00.109233523+00:00,97.5
2026-05-06 20:54:00.119731575+00:00,46.0
2026-05-07 13:52:00.081047349+00:00,55.0
2026-05-07 16:08:00.073551131+00:00,-202.5
2026-05-07 16:31:00.072115115+00:00,149.0
2026-05-07 17:33:00.066443035+00:00,-22.5
2026-05-07 17:49:00.094460525+00:00,39.0
2026-05-07 18:05:00.657621433+00:00,123.5
2026-05-07 18:25:00.144797953+00:00,-14.5
2026-05-07 18:41:00.083211539+00:00,10.5
2026-05-07 18:57:00.113136303+00:00,-28.0
2026-05-07 19:18:00.096675333+00:00,-13.0
2026-05-07 19:34:00.133729149+00:00,52.5
2026-05-07 19:50:00.065882159+00:00,89.0
2026-05-08 14:15:00.068793561+00:00,-19.0
2026-05-08 14:35:00.069476659+00:00,-10.0
2026-05-08 16:39:00.149859573+00:00,-9.0
2026-05-08 16:56:00.227519793+00:00,-35.0
2026-05-11 13:57:00.108226097+00:00,-80.5
2026-05-11 14:13:00.236271631+00:00,115.0
2026-05-11 14:44:00.127778743+00:00,-118.0
2026-05-11 15:46:00.140783341+00:00,1.5
2026-05-11 17:28:00.108315367+00:00,-96.0
2026-05-11 19:25:00.228981341+00:00,-80.0
2026-05-11 20:50:00.123541407+00:00,13.0
2026-05-12 13:58:00.133674731+00:00,-229.0
2026-05-12 14:15:00.109834877+00:00,117.5
2026-05-12 14:44:00.195999083+00:00,10.5
2026-05-12 15:03:00.132201635+00:00,-144.5
2026-05-12 16:12:00.124708721+00:00,-3.0
2026-05-12 16:29:00.082293455+00:00,-98.0
2026-05-12 17:33:00.080230065+00:00,56.5
2026-05-12 17:49:00.090172757+00:00,-64.5
2026-05-12 18:05:00.155674609+00:00,78.0
2026-05-12 18:21:00.336026655+00:00,26.5
2026-05-12 18:37:00.114504919+00:00,81.0
2026-05-12 20:15:00.254012439+00:00,95.5
2026-05-13 13:54:00.087208385+00:00,5.5
2026-05-13 14:14:00.136550731+00:00,43.5
2026-05-14 14:02:00.164858227+00:00,-81.5
2026-05-14 14:29:00.167598833+00:00,-45.5
2026-05-14 17:32:00.616901145+00:00,-86.0
2026-05-14 17:59:00.121520869+00:00,98.5
2026-05-14 18:17:00.111029597+00:00,35.5
2026-05-14 20:17:00.253704773+00:00,55.5
2026-05-15 13:54:00.255717539+00:00,108.0
2026-05-15 14:11:00.073525799+00:00,47.0
2026-05-15 15:21:00.104321209+00:00,-134.5
2026-05-15 17:10:00.174282279+00:00,126.5
2026-05-15 18:46:00.068864817+00:00,-24.5
2026-05-15 19:23:00.204716811+00:00,-55.5
2026-05-15 20:10:00.662341731+00:00,-212.0
2026-05-15 20:26:00.583303347+00:00,85.5
2026-05-15 20:44:00.526404771+00:00,15.0
2026-05-18 13:52:00.146815597+00:00,-40.0
