pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15I3_95299_h30,30,-1,7.48,973,-8.52,1400,89.0,-153.0,11.9,17.9
F15I4_4574369_h30,30,-1,15.17,362,-15.24,544,67.0,-106.0,4.4,7.0
M1B4_324851_h30,30,1,9.85,542,-2.14,990,65.0,-27.0,6.6,12.7
M1B4_330561_h60,60,-1,13.61,370,-1.35,624,61.0,-11.0,4.5,8.0
F15I4_2145859_h30,30,-1,10.68,463,-12.74,728,60.0,-119.0,5.6,9.3
M1B4_324575_h60,60,1,8.08,554,-4.73,929,55.0,-56.0,6.8,11.9
F15I4_5303711_h30,30,-1,9.77,424,3.72,646,51.0,31.0,5.2,8.3
F05I4_5253023_h15,15,-1,6.0,701,-4.32,1163,51.0,-64.0,8.5,14.9
F05I3_104829_h15,15,-1,4.08,1004,-7.88,1720,50.0,-174.0,12.2,22.1
F05I4_5307261_h15,15,-1,7.63,537,-7.63,884,50.0,-86.0,6.5,11.3
M1B3_11507_h60,60,1,8.96,449,-20.7,382,49.0,-101.0,5.5,4.9
F15V4_10979711_h30,30,-1,5.88,678,-8.18,1008,49.0,-106.0,8.3,12.9
M1B4_137025_h60,60,-1,5.63,709,-7.89,997,49.0,-101.0,8.6,12.8
F15I3_104829_h15,15,-1,6.45,624,-4.45,1137,49.0,-65.0,7.6,14.6
M1B3_3117_h60,60,1,10.13,386,-5.17,266,48.0,-18.0,4.7,3.4
M1B4_74817_h60,60,1,18.67,210,-21.27,157,48.0,-43.0,2.6,2.0
M1B3_13475_h60,60,-1,7.75,486,-4.34,655,46.0,-36.0,5.9,8.4
F15I4_4575523_h30,30,-1,10.49,357,-6.07,526,46.0,-41.0,4.4,6.7
M1B4_302637_h60,60,-1,7.02,537,-5.31,737,46.0,-50.0,6.5,9.4
F05I4_2432997_h15,15,-1,2.66,1395,-2.86,2129,45.0,-78.0,17.0,27.3
M1B3_13423_h60,60,1,10.52,351,-10.21,257,45.0,-34.0,4.3,3.3
F15I4_5087133_h30,30,-1,11.86,313,-6.11,550,45.0,-43.0,3.8,7.1
F05I3_109437_h15,15,-1,2.2,1638,-3.22,2586,44.0,-107.0,20.0,33.2
M1B3_13773_h60,60,-1,6.53,554,-8.94,856,44.0,-98.0,6.8,11.0
M1B4_324851_h15,15,1,5.6,628,-1.37,1138,43.0,-20.0,7.7,14.6
M1B4_165599_h30,30,1,4.76,747,-5.8,1277,43.0,-95.0,9.1,16.4
F15I4_4575425_h30,30,-1,13.05,269,-5.59,415,43.0,-30.0,3.3,5.3
M1B4_137037_h60,60,-1,9.34,366,-3.74,577,42.0,-28.0,4.5,7.4
F05I4_2373095_h15,15,-1,5.65,610,-5.24,930,42.0,-62.0,7.4,11.9
M1B3_5407_h60,60,-1,9.42,361,-1.65,256,41.0,-5.0,4.4,3.3
M1B4_331725_h60,60,-1,11.86,284,-0.92,473,41.0,-6.0,3.5,6.1
M1B3_11135_h60,60,1,4.78,691,0.77,445,40.0,4.0,8.4,5.7
M1B4_330561_h30,30,-1,7.74,409,0.16,722,39.0,1.0,5.0,9.3
M1B4_324851_h60,60,1,6.8,470,-3.62,795,39.0,-37.0,5.7,10.2
F15V4_26839721_h30,30,-1,3.7,865,-9.29,1266,39.0,-151.0,10.5,16.2
F15I3_44831_h30,30,-1,5.3,596,-5.38,801,39.0,-55.0,7.3,10.3
M1B3_13805_h60,60,1,12.16,262,-0.81,176,39.0,-2.0,3.2,2.3
F15I4_1920065_h30,30,-1,6.26,506,-5.72,678,39.0,-50.0,6.2,8.7
M1B3_5419_h60,60,1,9.12,339,5.43,235,38.0,16.0,4.1,3.0
F15I3_110583_h30,30,1,5.05,610,-4.84,408,38.0,-25.0,7.4,5.2
F05I4_4635425_h15,15,-1,5.76,538,-3.52,848,38.0,-38.0,6.6,10.9
F15I4_2649503_h15,15,-1,8.67,352,-7.04,590,37.0,-53.0,4.3,7.6
F15I3_40221_h30,30,-1,5.41,565,0.61,886,37.0,7.0,6.9,11.4
F15I4_2141275_h30,30,-1,6.63,449,0.85,627,36.0,7.0,5.5,8.0
F05I4_2432901_h15,15,-1,3.93,730,0.2,1344,35.0,3.0,8.9,17.2
F15I4_2145859_h15,15,-1,5.69,498,-8.68,800,35.0,-89.0,6.1,10.3
M1B4_274075_h60,60,-1,7.85,364,2.66,188,35.0,6.0,4.4,2.4
F15I4_1976611_h30,30,-1,8.22,352,-14.99,520,35.0,-100.0,4.3,6.7
M1B4_129839_h30,30,-1,6.25,455,-0.68,760,35.0,-7.0,5.5,9.7
F15I3_96545_h15,15,-1,2.26,1229,-10.0,1759,34.0,-226.0,15.0,22.6
F15I4_2201153_h30,30,-1,5.19,540,-10.63,735,34.0,-100.0,6.6,9.4
M1B4_331725_h30,30,-1,9.04,306,2.04,529,34.0,14.0,3.7,6.8
F15V4_26870789_h30,30,-1,3.77,739,-4.08,1067,34.0,-56.0,9.0,13.7
M1B4_129837_h30,30,-1,3.13,893,-10.45,1283,34.0,-172.0,10.9,16.4
F15I4_4575523_h15,15,-1,7.07,383,-5.68,567,33.0,-41.0,4.7,7.3
M1B4_129837_h60,60,-1,3.83,716,-5.02,993,33.0,-64.0,8.7,12.7
F15I4_5303709_h15,15,-1,8.32,326,-1.62,554,33.0,-12.0,4.0,7.1
M1B3_3618_h60,60,1,2.94,883,-2.91,1223,32.0,-46.0,10.8,15.7
F15I4_2201155_h30,30,1,7.26,366,6.56,554,32.0,47.0,4.5,7.1
F15I3_96569_h30,30,-1,8.28,318,5.18,483,32.0,32.0,3.9,6.2
M1B4_130163_h60,60,-1,16.47,161,-1.33,274,32.0,-5.0,2.0,3.5
F05I4_5082597_h15,15,-1,3.79,668,-4.34,1278,31.0,-71.0,8.1,16.4
F05I4_1981123_h15,15,-1,4.99,504,-12.65,877,31.0,-142.0,6.1,11.2
F15I4_4796707_h30,30,-1,4.29,597,-11.12,824,31.0,-117.0,7.3,10.6
F15I3_50565_h30,30,-1,3.28,778,-1.38,1344,31.0,-24.0,9.5,17.2
F15I3_96451_h30,30,-1,3.91,649,-0.98,980,31.0,-12.0,7.9,12.6
M1B4_136749_h60,60,-1,4.38,576,-12.92,824,31.0,-136.0,7.0,10.6
M1B3_5693_h60,60,1,6.53,376,-0.83,292,30.0,-3.0,4.6,3.7
M1B3_4808_h60,60,1,6.55,371,-0.44,1205,30.0,-7.0,4.5,15.4
M1B4_165873_h60,60,-1,8.69,287,6.93,491,30.0,44.0,3.5,6.3
F15I4_2373117_h30,30,1,7.93,315,-10.53,614,30.0,-83.0,3.8,7.9
F15V3_183131_h30,30,1,3.53,701,-7.49,509,30.0,-49.0,8.5,6.5
M1B4_158963_h60,60,1,6.35,389,-10.05,691,30.0,-89.0,4.7,8.9
M1B4_165599_h60,60,1,3.98,621,-6.54,991,30.0,-83.0,7.6,12.7
F15I4_2201155_h15,15,1,6.01,391,9.68,594,29.0,74.0,4.8,7.6
M1B4_165873_h30,30,-1,7.73,312,-2.48,529,29.0,-17.0,3.8,6.8
F05I3_109243_h15,15,1,3.55,667,-8.1,1005,29.0,-104.0,8.1,12.9
F15I3_44705_h30,30,-1,1.46,1643,-9.75,2186,29.0,-273.0,20.0,28.0
F05I4_1925825_h15,15,-1,4.54,526,-0.88,932,29.0,-11.0,6.4,11.9
M1B3_2416_h60,60,1,2.91,825,-5.44,1016,29.0,-71.0,10.1,13.0
M1B3_5092_h60,60,1,18.52,123,2.74,415,28.0,15.0,1.5,5.3
M1B3_6611_h60,60,1,4.96,462,8.78,742,28.0,84.0,5.6,9.5
F15I3_45883_h30,30,-1,3.54,657,-4.43,995,28.0,-57.0,8.0,12.8
M1B3_4820_h60,60,1,10.64,215,1.78,938,28.0,21.0,2.6,12.0
F15I4_1920089_h30,30,-1,7.24,318,5.39,458,28.0,32.0,3.9,5.9
M1B4_276479_h60,60,1,8.83,258,-7.26,211,28.0,-20.0,3.1,2.7
F05I4_5082525_h5,5,-1,4.47,522,-2.47,1071,28.0,-34.0,6.4,13.7
F15V4_24537989_h30,30,1,3.55,631,-10.59,381,27.0,-52.0,7.7,4.9
F05I4_5082525_h15,15,-1,4.52,489,-7.17,955,27.0,-88.0,6.0,12.2
F15V4_19934597_h30,30,1,3.05,735,-8.4,438,27.0,-47.0,9.0,5.6
M1B4_165503_h30,30,-1,11.14,199,-10.07,199,27.0,-26.0,2.4,2.6
F15I3_105977_h30,30,-1,6.3,352,-14.65,504,27.0,-95.0,4.3,6.5
F15I3_42354_h30,30,1,10.51,213,-3.56,831,27.0,-38.0,2.6,10.7
F05I3_105883_h15,15,-1,3.48,633,-9.1,1058,27.0,-123.0,7.7,13.6
F15I3_55197_h15,15,-1,2.18,1011,-2.88,1566,27.0,-58.0,12.3,20.1
F15I4_2142403_h30,30,-1,7.77,288,-10.57,484,27.0,-66.0,3.5,6.2
M1B4_323375_h60,60,-1,13.73,160,22.24,249,27.0,71.0,2.0,3.2
M1B3_4591_h60,60,1,5.06,435,3.0,302,27.0,12.0,5.3,3.9
F05I3_105863_h15,15,-1,2.69,808,-3.32,1504,27.0,-64.0,9.9,19.3
F05V4_26656127_h15,15,-1,2.33,958,-5.64,1399,27.0,-101.0,11.7,17.9
F15V3_339119_h30,30,1,1.91,1132,-0.39,1453,26.0,-7.0,13.8,18.6
F05I4_5087207_h15,15,-1,3.82,564,-13.8,834,26.0,-148.0,6.9,10.7
F15I3_40221_h15,15,-1,3.47,626,-0.07,988,26.0,-1.0,7.6,12.7
F15I4_2649503_h30,30,-1,6.35,331,-3.59,535,26.0,-25.0,4.0,6.9
F15V4_10979711_h15,15,-1,2.81,766,-3.96,1159,26.0,-59.0,9.3,14.9
M1B3_4808_h30,30,1,5.0,431,-0.51,1582,26.0,-10.0,5.3,20.3
M1B4_115412_h60,60,1,19.67,110,6.65,563,26.0,48.0,1.3,7.2
F05I4_5307165_h15,15,-1,1.99,1068,-7.93,1652,26.0,-168.0,13.0,21.2
F15V3_149824_h30,30,1,10.4,208,2.47,414,26.0,13.0,2.5,5.3
F15V3_147232_h30,30,1,7.4,283,9.54,555,26.0,68.0,3.5,7.1
F05I3_55265_h15,15,-1,2.7,748,-3.52,1132,25.0,-51.0,9.1,14.5
M1B3_8214_h60,60,1,5.08,406,-1.88,453,25.0,-11.0,5.0,5.8
F15I4_4855387_h30,30,-1,6.12,339,-2.91,525,25.0,-20.0,4.1,6.7
M1B4_276191_h30,30,1,8.33,249,-13.29,223,25.0,-38.0,3.0,2.9
M1B4_323711_h60,60,1,13.67,152,-8.37,229,25.0,-25.0,1.9,2.9
F15V3_367954_h15,15,1,8.36,235,0.94,594,24.0,7.0,2.9,7.6
M1B3_13373_h30,30,1,8.18,241,6.71,154,24.0,13.0,2.9,2.0
M1B3_12621_h60,60,-1,3.38,573,-5.47,819,24.0,-57.0,7.0,10.5
F15V4_13185503_h30,30,1,4.5,433,-7.71,325,24.0,-32.0,5.3,4.2
F15V4_8957951_h30,30,1,2.26,885,-1.48,649,24.0,-12.0,10.8,8.3
F15V4_26624159_h30,30,1,3.86,520,-0.99,274,24.0,-3.0,6.3,3.5
M1B4_115400_h60,60,1,11.79,164,-3.9,668,24.0,-33.0,2.0,8.6
M1B4_165503_h60,60,-1,10.29,191,-13.67,187,24.0,-33.0,2.3,2.4
M1B4_115396_h60,60,1,15.19,129,-23.7,321,24.0,-98.0,1.6,4.1
F15I3_42354_h15,15,1,8.44,230,-2.72,925,24.0,-32.0,2.8,11.9
F15I3_96569_h15,15,-1,5.66,344,3.6,523,24.0,24.0,4.2,6.7
M1B3_13110_h60,60,1,8.42,235,-4.29,557,24.0,-31.0,2.9,7.1
M1B3_2203_h60,60,-1,6.28,309,8.77,166,24.0,19.0,3.8,2.1
F15I3_95395_h30,30,-1,1.9,1052,-7.56,1501,24.0,-145.0,12.8,19.2
M1B4_115400_h30,30,1,10.25,185,-4.51,812,23.0,-47.0,2.3,10.4
M1B3_12772_h60,60,1,13.77,139,3.58,293,23.0,13.0,1.7,3.8
F15V3_178774_h30,30,1,7.27,260,4.73,659,23.0,40.0,3.2,8.4
F05I4_2145955_h15,15,-1,2.71,696,-11.78,1177,23.0,-178.0,8.5,15.1
M1B3_4315_h60,60,1,5.78,327,-21.73,242,23.0,-67.0,4.0,3.1
F15I3_105883_h30,30,-1,5.37,356,-7.89,558,23.0,-56.0,4.3,7.2
M1B3_11035_h60,60,-1,7.51,256,-3.19,153,23.0,-6.0,3.1,2.0
F05I4_4578883_h15,15,-1,3.39,558,-7.06,894,23.0,-81.0,6.8,11.5
M1B3_5693_h30,30,1,4.52,411,-1.68,316,23.0,-7.0,5.0,4.1
F15I4_2432997_h30,30,1,4.07,445,-2.7,682,22.0,-24.0,5.4,8.7
F15I3_21203_h30,30,-1,2.42,752,-5.26,436,22.0,-29.0,9.2,5.6
F15I4_4855363_h30,30,1,4.23,423,3.99,554,22.0,28.0,5.2,7.1
F15I4_4578977_h30,30,-1,4.49,407,-6.09,633,22.0,-49.0,5.0,8.1
F05V4_26839727_h15,15,1,2.61,704,-9.07,1151,22.0,-134.0,8.6,14.8
M1B3_13727_h30,30,1,2.28,776,-1.75,619,22.0,-14.0,9.5,7.9
M1B3_2504_h60,60,1,5.79,309,-3.74,794,22.0,-38.0,3.8,10.2
M1B4_93462_h60,60,1,8.03,215,-8.79,306,21.0,-34.0,2.6,3.9
M1B4_129729_h60,60,1,7.05,242,2.57,199,21.0,7.0,3.0,2.6
F15V3_370169_h30,30,1,3.76,462,-8.13,263,21.0,-27.0,5.6,3.4
F15I3_100025_h15,15,-1,2.4,734,-6.56,1085,21.0,-91.0,9.0,13.9
M1B3_13523_h60,60,1,2.3,757,-5.54,1134,21.0,-81.0,9.2,14.5
F15V4_10979675_h30,30,-1,3.05,565,-4.04,854,21.0,-44.0,6.9,10.9
M1B3_12335_h60,60,1,4.54,377,15.75,540,21.0,109.0,4.6,6.9
M1B4_331725_h15,15,-1,5.49,312,1.29,561,21.0,9.0,3.8,7.2
F15I4_1980067_h30,30,-1,2.78,614,-9.49,888,21.0,-108.0,7.5,11.4
M1B4_302913_h60,60,-1,3.2,547,-4.63,800,21.0,-47.0,6.7,10.3
F15I3_105977_h15,15,-1,4.75,366,-11.54,537,21.0,-79.0,4.5,6.9
M1B4_115300_h60,60,1,12.59,128,-7.04,268,20.0,-24.0,1.6,3.4
F15V3_74498_h30,30,1,6.87,243,-3.54,598,20.0,-27.0,3.0,7.7
F15V3_121787_h30,30,1,2.28,720,-8.27,497,20.0,-53.0,8.8,6.4
F15V3_310997_h15,15,1,1.67,965,-8.15,523,20.0,-55.0,11.8,6.7
M1B3_4810_h30,30,1,16.45,101,-3.04,574,20.0,-22.0,1.2,7.4
F15I4_2594205_h30,30,-1,5.82,275,1.83,515,20.0,12.0,3.4,6.6
M1B4_112996_h60,60,1,9.48,172,-15.09,283,20.0,-55.0,2.1,3.6
M1B4_330273_h60,60,1,3.77,431,0.12,609,20.0,1.0,5.3,7.8
F15I4_1981121_h30,30,-1,5.56,295,-4.97,444,20.0,-28.0,3.6,5.7
F15V4_24416633_h30,30,1,4.54,362,-0.71,512,20.0,-5.0,4.4,6.6
M1B3_4608_h60,60,1,8.88,181,7.5,217,20.0,21.0,2.2,2.8
F15I4_4795457_h30,30,-1,2.13,779,0.05,966,20.0,1.0,9.5,12.4
M1B3_12008_h60,60,1,5.91,275,-5.61,1086,20.0,-78.0,3.4,13.9
M1B4_273791_h60,60,1,6.64,249,-4.25,140,20.0,-8.0,3.0,1.8
F15I3_101083_h30,30,-1,3.45,473,-3.65,717,20.0,-34.0,5.8,9.2
M1B4_330561_h15,15,-1,3.68,447,1.89,786,20.0,19.0,5.5,10.1
F05I3_104805_h15,15,-1,1.64,979,-6.61,1694,20.0,-144.0,11.9,21.7
M1B3_11620_h60,60,1,6.39,262,-3.24,575,20.0,-24.0,3.2,7.4
M1B4_296001_h60,60,-1,2.06,786,-11.86,1033,20.0,-157.0,9.6,13.2
M1B3_4708_h60,60,1,3.41,479,-5.75,886,20.0,-65.0,5.8,11.4
M1B3_5411_h60,60,-1,2.51,668,-4.69,931,20.0,-56.0,8.1,11.9
M1B3_11507_h30,30,1,3.33,495,-9.14,410,20.0,-48.0,6.0,5.3
F15I3_105863_h15,15,-1,2.99,540,3.4,937,20.0,41.0,6.6,12.0
F15I4_5303781_h30,30,1,5.71,288,-3.02,482,20.0,-19.0,3.5,6.2
F15I3_21561_h30,30,-1,3.19,506,7.3,340,20.0,32.0,6.2,4.4
M1B4_323709_h15,15,-1,9.96,163,-3.06,247,20.0,-10.0,2.0,3.2
M1B3_6897_h60,60,-1,4.54,366,-0.83,551,20.0,-6.0,4.5,7.1
F15I4_2202403_h30,30,-1,5.79,284,-6.17,446,20.0,-35.0,3.5,5.7
F15I3_45785_h30,30,-1,4.77,345,-11.91,607,20.0,-93.0,4.2,7.8
F15I3_43504_h30,30,1,6.91,234,0.71,919,20.0,8.0,2.9,11.8
M1B3_3009_h60,60,1,3.11,512,5.07,327,19.0,21.0,6.2,4.2
M1B4_276191_h60,60,1,6.47,236,-28.17,218,19.0,-79.0,2.9,2.8
M1B4_138177_h15,15,-1,4.22,370,-2.77,514,19.0,-18.0,4.5,6.6
F15I3_40293_h30,30,-1,4.14,382,-0.95,559,19.0,-7.0,4.7,7.2
F15I3_44611_h30,30,-1,1.15,1334,-8.16,1805,19.0,-189.0,16.3,23.1
F15I3_50657_h30,30,-1,3.14,494,3.48,679,19.0,30.0,6.0,8.7
F15I4_5303781_h15,15,1,5.05,303,-5.33,518,19.0,-35.0,3.7,6.6
F05I4_1981123_h5,5,-1,2.82,548,-5.29,958,19.0,-65.0,6.7,12.3
F15V3_152879_h30,30,1,2.25,675,-0.57,426,19.0,-3.0,8.2,5.5
F15I4_4796707_h15,15,-1,2.31,658,-7.14,900,19.0,-82.0,8.0,11.5
F15I4_2432925_h15,15,-1,3.8,400,-9.1,715,19.0,-83.0,4.9,9.2
M1B4_137025_h30,30,-1,1.78,872,-7.8,1267,19.0,-127.0,10.6,16.2
F15I4_2428413_h30,30,1,3.51,447,4.63,697,19.0,41.0,5.5,8.9
M1B4_158687_h60,60,1,3.51,421,8.19,702,18.0,74.0,5.1,9.0
F15V4_26656121_h30,30,-1,3.21,461,5.72,617,18.0,45.0,5.6,7.9
M1B3_601_h60,60,1,6.64,226,-9.19,83,18.0,-10.0,2.8,1.1
F15I4_2649503_h5,5,-1,3.89,369,-6.13,624,18.0,-49.0,4.5,8.0
F15V4_13249439_h30,30,1,3.42,424,2.96,311,18.0,12.0,5.2,4.0
F15I3_105979_h30,30,-1,2.61,563,-0.91,727,18.0,-8.0,6.9,9.3
F15I4_5303711_h5,5,-1,3.02,482,-4.95,758,18.0,-48.0,5.9,9.7
F15I4_1920091_h30,30,-1,3.11,463,-8.59,658,18.0,-72.0,5.6,8.4
M1B3_13427_h60,60,1,4.75,319,-6.41,246,18.0,-20.0,3.9,3.2
F15I4_4855387_h15,15,-1,4.08,357,-1.76,567,18.0,-13.0,4.4,7.3
M1B3_4411_h60,60,1,6.17,238,-16.79,124,18.0,-27.0,2.9,1.6
F15I4_2201153_h15,15,-1,2.54,579,-6.45,815,18.0,-67.0,7.1,10.4
F15V4_26656121_h15,15,-1,3.01,501,-2.46,678,18.0,-21.0,6.1,8.7
M1B4_330273_h15,15,1,2.95,511,1.39,773,18.0,14.0,6.2,9.9
M1B3_4820_h30,30,1,5.86,251,-0.85,1197,18.0,-13.0,3.1,15.3
M1B3_5359_h60,60,-1,5.69,253,-11.19,172,18.0,-25.0,3.1,2.2
F15I4_5081375_h30,30,1,4.83,310,-0.58,585,18.0,-4.0,3.8,7.5
F15I4_2377727_h30,30,-1,4.61,317,8.77,463,18.0,52.0,3.9,5.9
M1B4_324575_h30,30,1,2.12,663,-4.52,1178,17.0,-68.0,8.1,15.1
F15V4_24412709_h30,30,1,1.55,887,-3.05,551,17.0,-22.0,10.8,7.1
F15V3_261242_h30,30,1,6.6,206,-5.56,535,17.0,-38.0,2.5,6.9
M1B4_130161_h30,30,-1,4.46,309,-4.05,473,17.0,-25.0,3.8,6.1
M1B4_296013_h60,60,-1,2.85,479,-12.78,724,17.0,-119.0,5.8,9.3
F05I4_5303709_h15,15,-1,2.55,552,-6.95,1020,17.0,-91.0,6.7,13.1
F05I4_5248413_h15,15,-1,1.44,975,-0.95,1679,17.0,-20.0,11.9,21.5
F05I4_2431869_h15,15,-1,2.34,597,-7.09,1042,17.0,-95.0,7.3,13.4
M1B4_331425_h30,30,-1,5.99,235,-10.37,403,17.0,-54.0,2.9,5.2
M1B4_81441_h60,60,1,4.73,290,-2.16,218,17.0,-6.0,3.5,2.8
M1B4_165791_h30,30,1,5.04,281,-3.17,244,17.0,-10.0,3.4,3.1
M1B3_13773_h15,15,-1,1.88,721,0.12,1168,17.0,2.0,8.8,15.0
M1B3_12333_h60,60,-1,1.42,989,-10.0,1272,17.0,-163.0,12.1,16.3
F15I3_85919_h30,30,1,2.82,497,-2.61,318,17.0,-11.0,6.1,4.1
F15I3_23440_h30,30,1,4.76,289,-1.45,506,17.0,-9.0,3.5,6.5
F05I3_96475_h5,5,-1,1.45,941,-3.72,1541,17.0,-73.0,11.5,19.8
F15V4_11010773_h30,30,-1,3.31,422,-0.01,610,17.0,-0.0,5.1,7.8
M1B3_613_h60,60,1,7.16,194,-14.76,70,17.0,-13.0,2.4,0.9
F15I4_5307263_h30,30,-1,3.57,399,-11.84,574,17.0,-87.0,4.9,7.4
F05I3_48238_h15,15,1,2.65,526,-0.11,2180,17.0,-3.0,6.4,27.9
F15I4_5253023_h15,15,-1,3.3,427,-5.47,643,17.0,-45.0,5.2,8.2
F15I3_41273_h30,30,-1,1.69,766,-11.46,1063,16.0,-156.0,9.3,13.6
F15I3_22721_h30,30,-1,3.15,420,-7.59,353,16.0,-34.0,5.1,4.5
F05I3_101081_h15,15,-1,2.11,606,-1.63,1010,16.0,-21.0,7.4,12.9
F15I4_2427167_h15,15,-1,3.53,375,-1.0,680,16.0,-9.0,4.6,8.7
F15I3_48308_h30,30,1,5.95,216,-0.49,928,16.0,-6.0,2.6,11.9
F15I4_2431871_h30,30,-1,3.16,417,2.68,624,16.0,21.0,5.1,8.0
M1B4_323661_h60,60,-1,8.62,156,-9.06,257,16.0,-30.0,1.9,3.3
M1B4_137903_h60,60,1,8.96,147,31.3,241,16.0,97.0,1.8,3.1
F15V4_26871215_h30,30,1,3.41,375,-13.7,317,16.0,-56.0,4.6,4.1
M1B4_295775_h15,15,-1,6.4,202,-2.54,332,16.0,-11.0,2.5,4.3
M1B4_331425_h60,60,-1,5.87,226,0.97,372,16.0,5.0,2.8,4.8
F15I3_50567_h5,5,-1,1.91,672,-2.27,1212,16.0,-35.0,8.2,15.5
M1B3_12922_h30,30,1,9.08,148,0.29,792,16.0,3.0,1.8,10.2
M1B3_5467_h30,30,-1,4.9,267,-10.19,218,16.0,-28.0,3.3,2.8
F05I4_2594277_h15,15,1,2.16,624,-9.36,1064,16.0,-128.0,7.6,13.6
F05I4_1980091_h15,15,-1,1.73,782,-1.57,1220,16.0,-25.0,9.5,15.6
F15V4_13058422_h30,30,1,6.37,209,5.67,599,16.0,44.0,2.5,7.7
M1B4_86838_h60,60,1,6.1,211,-4.86,312,16.0,-19.0,2.6,4.0
F15V4_22394843_h30,30,1,3.21,407,-2.86,344,16.0,-13.0,5.0,4.4
M1B3_2504_h30,30,1,3.89,342,-0.77,888,16.0,-9.0,4.2,11.4
M1B4_295715_h30,30,1,4.87,267,7.6,454,16.0,44.0,3.3,5.8
F15I4_5303711_h15,15,-1,2.99,450,-5.72,693,16.0,-51.0,5.5,8.9
F15I4_4575425_h15,15,-1,4.47,281,-5.07,441,15.0,-29.0,3.4,5.7
M1B4_331391_h30,30,-1,5.35,233,-7.74,236,15.0,-23.0,2.8,3.0
F05I4_5081375_h15,15,-1,1.76,688,-3.17,1303,15.0,-53.0,8.4,16.7
M1B4_281576_h60,60,1,8.82,140,4.56,628,15.0,37.0,1.7,8.1
F15I4_2373023_h30,30,1,2.56,478,-2.55,739,15.0,-24.0,5.8,9.5
F15I3_104711_h30,30,-1,3.17,384,-7.08,692,15.0,-63.0,4.7,8.9
F15I3_38512_h30,30,1,4.19,296,-7.46,821,15.0,-79.0,3.6,10.5
F15I3_44637_h30,30,-1,2.71,463,-3.13,632,15.0,-25.0,5.6,8.1
F15I4_5082527_h15,15,-1,2.61,466,-3.63,833,15.0,-39.0,5.7,10.7
F15I4_2142403_h15,15,-1,3.95,306,-5.94,525,15.0,-40.0,3.7,6.7
F05I3_95417_h15,15,-1,2.01,618,-8.33,1044,15.0,-111.0,7.5,13.4
F15V4_26839691_h30,30,1,3.55,355,-4.11,526,15.0,-28.0,4.3,6.7
F15V4_8957915_h30,30,1,2.34,531,-2.5,396,15.0,-13.0,6.5,5.1
F15V4_22208243_h30,30,1,2.41,503,-3.58,201,15.0,-9.0,6.1,2.6
F15V3_369305_h30,30,1,1.84,653,-4.55,263,15.0,-15.0,8.0,3.4
F15V3_90275_h30,30,1,1.74,710,0.55,260,15.0,2.0,8.7,3.3
F05I4_1924771_h15,15,-1,1.7,715,-7.07,1200,15.0,-109.0,8.7,15.4
F15I3_40029_h30,30,-1,2.25,553,-4.19,847,15.0,-45.0,6.7,10.9
F05V4_26842313_h15,15,-1,0.84,1323,-7.49,1921,14.0,-184.0,16.1,24.6
F15I4_2652959_h15,15,1,2.84,407,-0.25,582,14.0,-2.0,5.0,7.5
F15I4_2141275_h15,15,-1,2.34,493,4.97,679,14.0,43.0,6.0,8.7
M1B4_81441_h30,30,1,3.72,309,-11.2,234,14.0,-34.0,3.8,3.0
F05V3_144677_h15,15,-1,2.52,462,-4.59,1357,14.0,-80.0,5.6,17.4
M1B4_296013_h30,30,-1,2.03,547,-11.93,848,14.0,-130.0,6.7,10.9
M1B4_122600_h60,60,1,9.5,117,-0.28,591,14.0,-2.0,1.4,7.6
M1B4_302637_h30,30,-1,1.91,622,-2.94,883,14.0,-33.0,7.6,11.3
M1B4_130125_h30,30,-1,1.91,616,-4.73,972,14.0,-59.0,7.5,12.5
F15V3_152439_h30,30,-1,3.94,288,-4.25,465,14.0,-25.0,3.5,6.0
F15V4_6684329_h15,15,-1,2.28,520,0.58,316,14.0,2.0,6.3,4.1
F05I4_5251871_h15,15,-1,1.31,902,1.5,1406,14.0,27.0,11.0,18.0
M1B4_91170_h30,30,1,6.16,192,-2.13,212,14.0,-6.0,2.3,2.7
F15V4_24416597_h30,30,1,2.84,416,-1.37,561,14.0,-10.0,5.1,7.2
M1B4_323709_h30,30,-1,6.89,161,-0.59,238,14.0,-2.0,2.0,3.1
F15V4_10977119_h30,30,-1,0.96,1182,-5.56,1642,14.0,-117.0,14.4,21.1
F15I3_40007_h30,30,-1,2.49,448,-4.16,580,14.0,-31.0,5.5,7.4
M1B3_13110_h30,30,1,4.61,256,-5.24,598,14.0,-40.0,3.1,7.7
F05I4_4796635_h15,15,-1,1.69,679,1.33,981,14.0,17.0,8.3,12.6
F15I3_41465_h30,30,1,3.46,338,-4.25,498,14.0,-27.0,4.1,6.4
M1B4_317350_h15,15,1,9.06,129,3.28,678,14.0,29.0,1.6,8.7
F15I3_43504_h15,15,1,4.58,259,-0.83,1077,14.0,-11.0,3.2,13.8
F15V4_6621221_h30,30,1,2.36,489,-15.32,187,14.0,-37.0,6.0,2.4
F15I4_5087133_h5,5,-1,3.01,342,-4.45,628,13.0,-36.0,4.2,8.1
M1B3_13423_h30,30,1,2.87,384,-2.07,275,13.0,-7.0,4.7,3.5
F15I4_4795459_h5,5,-1,1.72,611,-5.04,817,13.0,-53.0,7.5,10.5
