pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15V4_26873417_h5,5,-1,-1.24,1143,-3.97,1710,-17.0,-87.0,13.9,21.9
F05V4_8771291_h5,5,1,-1.13,1235,-3.32,852,-17.0,-36.0,15.1,10.9
F15V3_154205_h5,5,1,-1.69,824,-3.32,329,-17.0,-14.0,10.0,4.2
F05I4_5082527_h2,2,-1,-1.36,1008,-3.33,2009,-17.0,-86.0,12.3,25.8
F15I3_49535_h5,5,-1,-1.44,1027,-4.69,1652,-18.0,-99.0,12.5,21.2
F05I4_5087135_h2,2,-1,-1.4,1078,-2.23,1851,-18.0,-53.0,13.1,23.7
F05V3_112989_h5,5,-1,-1.83,823,-1.71,1006,-18.0,-22.0,10.0,12.9
F05I3_110567_h15,15,-1,-0.72,2072,-7.23,2872,-18.0,-266.0,25.3,36.8
F05V3_311033_h15,15,1,-1.1,1363,-1.26,789,-18.0,-13.0,16.6,10.1
F05V4_24035068_h2,2,1,-1.72,876,-0.09,1883,-18.0,-2.0,10.7,24.1
F05I3_108951_h15,15,1,-0.79,1948,-4.74,1282,-19.0,-78.0,23.8,16.4
F05V3_338237_h15,15,-1,-0.89,1727,-1.82,730,-19.0,-17.0,21.1,9.4
F05V3_373229_h15,15,1,-0.95,1639,-4.56,924,-19.0,-54.0,20.0,11.8
F05V4_26656121_h5,5,-1,-1.37,1110,-5.73,1518,-19.0,-112.0,13.5,19.5
F05I3_99935_h5,5,1,-1.31,1246,-5.78,1851,-20.0,-137.0,15.2,23.7
F05V4_26839691_h2,2,1,-1.89,886,-5.99,1309,-20.0,-101.0,10.8,16.8
F05V4_13433435_h5,5,1,-1.61,1022,-5.17,760,-20.0,-50.0,12.5,9.7
F05I4_5027327_h5,5,-1,-1.2,1353,-3.42,2211,-20.0,-97.0,16.5,28.3
F15V4_26684603_h5,5,-1,-1.2,1397,-4.98,2504,-20.0,-160.0,17.0,32.1
F15I3_109437_h5,5,-1,-1.38,1218,-2.91,1892,-20.0,-71.0,14.9,24.3
F15V3_184019_h5,5,1,-1.59,1043,1.46,693,-20.0,13.0,12.7,8.9
F05V3_151481_h2,2,1,-2.17,747,-3.14,1164,-20.0,-47.0,9.1,14.9
F05I4_5302559_h2,2,-1,-1.5,1082,-3.77,1854,-20.0,-90.0,13.2,23.8
F05V3_3650_h15,15,1,-1.2,1413,-5.18,1630,-21.0,-108.0,17.2,20.9
F05V4_26839727_h2,2,1,-2.09,841,-5.63,1406,-21.0,-101.0,10.3,18.0
F15V3_90275_h5,5,1,-1.97,858,-4.44,301,-21.0,-17.0,10.5,3.9
F15V4_20121221_h5,5,1,-1.82,941,-3.25,536,-21.0,-22.0,11.5,6.9
F05I4_4796731_h2,2,1,-1.53,1120,0.06,1591,-21.0,1.0,13.7,20.4
F05V4_11163311_h5,5,1,-1.34,1313,-3.62,2032,-21.0,-94.0,16.0,26.1
F05V4_19871513_h15,15,1,-1.04,1623,-4.81,519,-21.0,-32.0,19.8,6.7
F05V4_10976669_h15,15,1,-1.07,1572,-2.73,1014,-21.0,-35.0,19.2,13.0
F05V4_26653499_h5,5,-1,-1.14,1539,-5.78,2326,-21.0,-172.0,18.8,29.8
F15V3_186575_h15,15,1,-1.06,1625,-5.09,1152,-21.0,-75.0,19.8,14.8
F05I4_2594303_h5,5,-1,-1.46,1211,-2.22,1824,-22.0,-52.0,14.8,23.4
F05I4_4855363_h5,5,1,-1.44,1238,-5.6,1822,-22.0,-131.0,15.1,23.4
F15V4_26655653_h5,5,1,-1.85,972,-0.59,1373,-22.0,-10.0,11.9,17.6
F05V3_151433_h2,2,1,-1.78,1018,-3.34,893,-22.0,-38.0,12.4,11.4
F05V3_365398_h2,2,1,-2.05,874,-3.82,2110,-22.0,-103.0,10.7,27.1
F05I4_5248511_h15,15,-1,-0.94,1906,-5.71,2727,-22.0,-200.0,23.2,35.0
F15V4_24600197_h30,30,-1,-0.79,2309,-7.05,2809,-22.0,-254.0,28.2,36.0
F05I3_40197_h5,5,-1,-0.94,1913,-4.73,2845,-22.0,-173.0,23.3,36.5
F15V3_151625_h15,15,-1,-1.38,1391,-2.02,871,-23.0,-23.0,17.0,11.2
F15V3_152927_h15,15,-1,-0.7,2641,-4.14,3480,-23.0,-185.0,32.2,44.6
F05I4_1979993_h2,2,-1,-1.74,1078,-3.65,1616,-23.0,-76.0,13.1,20.7
F05V3_124361_h15,15,1,-1.33,1398,-3.7,579,-23.0,-27.0,17.0,7.4
F05I3_105979_h5,5,1,-1.3,1448,-2.19,2172,-23.0,-61.0,17.7,27.8
F15I3_96545_h5,5,-1,-1.36,1415,-6.47,2053,-23.0,-170.0,17.3,26.3
F05V3_336412_h2,2,1,-2.01,995,-2.2,2042,-24.0,-58.0,12.1,26.2
F05I3_104829_h2,2,-1,-1.62,1212,-4.96,2233,-24.0,-142.0,14.8,28.6
F15V4_13436063_h5,5,1,-1.93,1039,-4.16,631,-24.0,-34.0,12.7,8.1
F05I3_50663_h15,15,-1,-0.96,2133,-4.95,3084,-25.0,-196.0,26.0,39.5
F05V3_154037_h2,2,1,-2.16,966,-2.56,1432,-25.0,-47.0,11.8,18.4
F15I3_110567_h5,5,1,-1.6,1272,-4.18,1839,-25.0,-99.0,15.5,23.6
F15V4_24416201_h15,15,-1,-1.28,1610,-5.1,2251,-25.0,-147.0,19.6,28.9
