tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HTF_60m_BR20_S100_T200,SHORT,2026-01-14 11:00:00+00:00,2026-01-14 15:00:00+00:00,25573.505,25373.505,25673.505,25373.505,target,4,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-01-14 15:00:00+00:00,2026-01-14 19:00:00+00:00,25421.516,25340.018,25521.516,25221.516,timeout,4,81.49799999999959,162.25599999999918
HTF_60m_BR20_S100_T200,SHORT,2026-01-14 16:00:00+00:00,2026-01-14 20:00:00+00:00,25332.069,25432.569,25432.069,25132.069,stop,4,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-01-14 17:00:00+00:00,2026-01-14 20:00:00+00:00,25300.135,25400.635,25400.135,25100.135,stop,3,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-15 10:00:00+00:00,2026-01-15 14:00:00+00:00,25653.239,25703.484,25553.239,25853.239,timeout,4,50.24499999999898,99.74999999999797
HTF_60m_BR20_S100_T200,LONG,2026-01-15 12:00:00+00:00,2026-01-15 16:00:00+00:00,25682.619,25759.851,25582.619,25882.619,timeout,4,77.23199999999997,153.72399999999993
HTF_60m_BR20_S100_T200,LONG,2026-01-15 14:00:00+00:00,2026-01-15 18:00:00+00:00,25734.753,25722.645,25634.753,25934.753,timeout,4,-12.108000000000175,-24.956000000000348
HTF_60m_BR20_S100_T200,SHORT,2026-01-19 00:00:00+00:00,2026-01-19 04:00:00+00:00,25308.651,25223.645,25408.651,25108.651,timeout,4,85.00600000000122,169.27200000000244
HTF_60m_BR20_S100_T200,SHORT,2026-01-19 08:00:00+00:00,2026-01-19 12:00:00+00:00,25195.635,25172.662,25295.635,24995.635,timeout,4,22.972999999998137,45.20599999999627
HTF_60m_BR20_S100_T200,SHORT,2026-01-19 10:00:00+00:00,2026-01-19 14:00:00+00:00,25123.434,25160.145,25223.434,24923.434,timeout,4,-36.71099999999933,-74.16199999999866
HTF_60m_BR20_S100_T200,SHORT,2026-01-20 09:00:00+00:00,2026-01-20 13:00:00+00:00,25048.984,25061.88,25148.984,24848.984,timeout,4,-12.89600000000064,-26.53200000000128
HTF_60m_BR20_S100_T200,SHORT,2026-01-20 10:00:00+00:00,2026-01-20 12:00:00+00:00,24982.734,25083.234,25082.734,24782.734,stop,2,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-01-21 12:00:00+00:00,2026-01-21 14:00:00+00:00,24903.84,25004.34,25003.84,24703.84,stop,2,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-21 16:00:00+00:00,2026-01-21 17:00:00+00:00,25327.419,25226.919,25227.419,25527.419,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-21 20:00:00+00:00,2026-01-21 21:00:00+00:00,25491.738,25391.238,25391.738,25691.738,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-22 09:00:00+00:00,2026-01-22 13:00:00+00:00,25542.836,25593.952,25442.836,25742.836,timeout,4,51.116000000001804,101.49200000000361
HTF_60m_BR20_S100_T200,LONG,2026-01-22 14:00:00+00:00,2026-01-22 15:00:00+00:00,25595.041,25494.541,25495.041,25795.041,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-23 16:00:00+00:00,2026-01-23 17:00:00+00:00,25692.374,25591.874,25592.374,25892.374,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-26 15:00:00+00:00,2026-01-26 19:00:00+00:00,25708.222,25747.982,25608.222,25908.222,timeout,4,39.7599999999984,78.7799999999968
HTF_60m_BR20_S100_T200,LONG,2026-01-26 16:00:00+00:00,2026-01-26 20:00:00+00:00,25749.932,25712.909,25649.932,25949.932,timeout,4,-37.02300000000105,-74.78600000000209
HTF_60m_BR20_S100_T200,LONG,2026-01-26 17:00:00+00:00,2026-01-26 21:00:00+00:00,25773.78,25723.367,25673.78,25973.78,timeout,4,-50.413000000000466,-101.56600000000093
HTF_60m_BR20_S100_T200,LONG,2026-01-27 03:00:00+00:00,2026-01-27 07:00:00+00:00,25843.135,25877.636,25743.135,26043.135,timeout,4,34.501000000000204,68.26200000000041
HTF_60m_BR20_S100_T200,LONG,2026-01-27 04:00:00+00:00,2026-01-27 08:00:00+00:00,25849.136,25856.136,25749.136,26049.136,timeout,4,7.0,13.26
HTF_60m_BR20_S100_T200,LONG,2026-01-27 05:00:00+00:00,2026-01-27 09:00:00+00:00,25862.397,25845.869,25762.397,26062.397,timeout,4,-16.528000000002066,-33.796000000004135
HTF_60m_BR20_S100_T200,LONG,2026-01-27 06:00:00+00:00,2026-01-27 10:00:00+00:00,25880.902,25877.722,25780.902,26080.902,timeout,4,-3.179999999996653,-7.099999999993306
HTF_60m_BR20_S100_T200,LONG,2026-01-27 12:00:00+00:00,2026-01-27 14:00:00+00:00,25902.489,25801.989,25802.489,26102.489,stop,2,-100.5,-201.74
HTF_60m_BR20_S100_T200,LONG,2026-01-27 15:00:00+00:00,2026-01-27 19:00:00+00:00,25925.989,25960.675,25825.989,26125.989,timeout,4,34.685999999997875,68.63199999999576
HTF_60m_BR20_S100_T200,LONG,2026-01-27 16:00:00+00:00,2026-01-27 20:00:00+00:00,25947.882,25943.587,25847.882,26147.882,timeout,4,-4.295000000001892,-9.330000000003784
HTF_60m_BR20_S100_T200,LONG,2026-01-28 00:00:00+00:00,2026-01-28 04:00:00+00:00,26010.217,26090.863,25910.217,26210.217,timeout,4,80.64600000000064,160.55200000000127
HTF_60m_BR20_S100_T200,LONG,2026-01-28 01:00:00+00:00,2026-01-28 05:00:00+00:00,26079.597,26116.408,25979.597,26279.597,timeout,4,36.810999999997875,72.88199999999576
HTF_60m_BR20_S100_T200,LONG,2026-01-28 06:00:00+00:00,2026-01-28 10:00:00+00:00,26134.624,26187.402,26034.624,26334.624,timeout,4,52.77799999999843,104.81599999999686
HTF_60m_BR20_S100_T200,LONG,2026-01-28 07:00:00+00:00,2026-01-28 11:00:00+00:00,26174.212,26189.391,26074.212,26374.212,timeout,4,15.179000000000087,29.618000000000176
HTF_60m_BR20_S100_T200,SHORT,2026-01-29 15:00:00+00:00,2026-01-29 16:00:00+00:00,25736.733,25536.733,25836.733,25536.733,target,1,200.0,399.26
HTF_60m_BR20_S100_T200,SHORT,2026-01-29 16:00:00+00:00,2026-01-29 17:00:00+00:00,25451.936,25552.436,25551.936,25251.936,stop,1,-100.5,-201.74
HTF_60m_BR20_S100_T200,SHORT,2026-02-02 00:00:00+00:00,2026-02-02 01:00:00+00:00,25418.49,25518.99,25518.49,25218.49,stop,1,-100.5,-201.74
