n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
9052,11.7,43.7,-27.0,-2.31,21421.0,-2.14,-57.7,13,1,TF120b8.0_s13.0-15.0_S30.0T60.0,tf
9188,11.9,38.2,-20.7,-1.74,16209.0,-2.5,-57.5,13,2,FADE5w3_s13.0-15.0_with50_S15.0T30.0,imp
7776,10.1,37.3,-21.7,-2.15,17126.0,-2.85,-53.2,13,1,FADE8w3_s13.0-15.0_with50_S15.0T30.0,imp
1164,1.8,38.7,-4.2,-2.28,3465.0,-1.33,-18.1,13,4,ZFADE20z2.0_s13.0-15.0_with50_S15.0T30.0,zs
11758,15.2,36.1,-50.3,-3.32,39322.0,-5.09,-75.4,13,0,MOM5w3_s13.0-15.0_with50_S15.0T30.0,imp
10624,13.7,35.5,-47.5,-3.47,37065.0,-5.14,-92.2,13,0,MOM8w3_s13.0-15.0_with50_S15.0T30.0,imp
4294,5.5,35.5,-19.3,-3.48,15248.0,-3.34,-38.4,13,0,ZMOM20z2.0_s13.0-15.0_with50_S15.0T30.0,zs
5184,6.7,35.2,-23.9,-3.57,18721.0,-3.6,-44.2,13,0,ZMOM60z2.0_s13.0-15.0_with50_S15.0T30.0,zs
1550,2.2,34.6,-7.2,-3.23,5716.0,-1.85,-23.3,13,1,ZMOM60z3.0_s13.0-15.0_with50_S15.0T30.0,zs
1916,2.7,38.0,-6.5,-2.44,5205.0,-1.64,-16.7,13,2,MA9x30_s13.0-15.0_with50_S15.0T30.0,ma
1292,1.9,39.5,-2.6,-1.36,2270.0,-0.75,-13.5,13,4,MA20x60_s13.0-15.0_with50_S15.0T30.0,ma
14374,18.5,36.0,-61.3,-3.31,47747.0,-5.61,-140.0,13,0,TF60b5.0_s13.0-15.0_with60_S15.0T30.0,tf
14038,18.1,36.2,-56.3,-3.11,44191.0,-5.11,-87.8,13,0,TF120b8.0_s13.0-15.0_with120_S15.0T30.0,tf
7984,10.3,40.1,-23.5,-2.28,18557.0,-2.58,-66.5,13,2,FADE5w3_s13.0-15.0_with50_S20.0T40.0,imp
6763,8.8,39.8,-20.1,-2.29,15784.0,-2.35,-63.6,13,3,FADE8w3_s13.0-15.0_with50_S20.0T40.0,imp
1110,1.8,40.9,-4.9,-2.76,3615.0,-1.27,-28.8,13,6,ZFADE20z2.0_s13.0-15.0_with50_S20.0T40.0,zs
9879,12.7,39.3,-36.0,-2.83,28295.0,-3.26,-67.5,13,1,MOM5w3_s13.0-15.0_with50_S20.0T40.0,imp
8979,11.6,38.6,-34.0,-2.93,26817.0,-3.2,-71.7,13,1,MOM8w3_s13.0-15.0_with50_S20.0T40.0,imp
3941,5.1,38.9,-13.1,-2.58,11017.0,-1.91,-41.5,13,1,ZMOM20z2.0_s13.0-15.0_with50_S20.0T40.0,zs
4411,5.7,38.2,-16.2,-2.85,12975.0,-2.19,-47.3,13,2,ZMOM60z2.0_s13.0-15.0_with50_S20.0T40.0,zs
1378,2.0,37.1,-6.1,-3.09,4793.0,-1.41,-20.5,13,3,ZMOM60z3.0_s13.0-15.0_with50_S20.0T40.0,zs
1897,2.6,40.5,-5.8,-2.18,5209.0,-1.24,-16.9,13,4,MA9x30_s13.0-15.0_with50_S20.0T40.0,ma
1284,1.9,41.7,-3.3,-1.78,3061.0,-0.82,-17.1,13,6,MA20x60_s13.0-15.0_with50_S20.0T40.0,ma
11635,15.0,39.2,-44.5,-2.97,34763.0,-3.66,-79.0,13,1,TF60b5.0_s13.0-15.0_with60_S20.0T40.0,tf
11362,14.6,39.4,-37.6,-2.57,29895.0,-3.19,-62.2,13,1,TF120b8.0_s13.0-15.0_with120_S20.0T40.0,tf
7600,9.8,38.3,-21.3,-2.17,17240.0,-2.18,-58.3,13,3,FADE5w3_s13.0-15.0_with50_S20.0T60.0,imp
6457,8.4,37.6,-21.6,-2.58,17060.0,-2.4,-67.3,13,3,FADE8w3_s13.0-15.0_with50_S20.0T60.0,imp
1108,1.8,39.5,-4.3,-2.45,3071.0,-1.04,-19.2,13,4,ZFADE20z2.0_s13.0-15.0_with50_S20.0T60.0,zs
9109,11.8,37.4,-29.2,-2.49,22979.0,-2.49,-70.7,13,1,MOM5w3_s13.0-15.0_with50_S20.0T60.0,imp
8275,10.7,36.6,-31.5,-2.95,24804.0,-2.86,-60.6,13,1,MOM8w3_s13.0-15.0_with50_S20.0T60.0,imp
3767,4.9,37.0,-13.2,-2.71,11107.0,-1.77,-39.3,13,1,ZMOM20z2.0_s13.0-15.0_with50_S20.0T60.0,zs
4000,5.2,36.6,-11.8,-2.29,10052.0,-1.48,-26.0,13,2,ZMOM60z2.0_s13.0-15.0_with50_S20.0T60.0,zs
