per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,sig,p,sess,exit,flip
-20.2,-15774.0,-1.33,16260.0,0,4,7015,-7862.0,3min,donch,"(6,)",rth,st30/60/0,False
-97.5,-75973.0,-5.21,76152.0,0,4,8126,-30505.0,3min,donch,"(6,)",rth,trail0/0/2.0,False
-28.3,-22043.0,-1.4,24337.0,0,4,4630,-9147.0,3min,donch,"(6,)",rth,trail0/0/3.0,False
12.1,9401.0,0.51,6853.0,3,4,2286,-1429.0,3min,donch,"(6,)",rth,trail0/0/5.0,False
24.4,18914.0,1.42,3789.0,4,4,774,118.0,3min,donch,"(6,)",morning,eod0/0/0,False
9.7,7533.0,0.91,2824.0,3,4,774,-137.0,3min,donch,"(6,)",morning,eod0/0/0,True
-37.8,-29233.0,-6.69,29483.0,0,4,8332,-10175.0,3min,donch,"(6,)",morning,st10/20/0,False
-26.4,-20423.0,-3.78,20958.0,0,4,6688,-7588.0,3min,donch,"(6,)",morning,st10/40/0,False
-20.5,-15923.0,-2.51,16461.0,0,4,5941,-6557.0,3min,donch,"(6,)",morning,st10/60/0,False
-38.4,-29766.0,-4.99,29908.0,0,4,7642,-13459.0,3min,donch,"(6,)",morning,st20/20/0,False
-20.9,-16202.0,-2.29,16439.0,0,4,5625,-8137.0,3min,donch,"(6,)",morning,st20/40/0,False
-19.1,-14792.0,-1.88,15314.0,0,4,4740,-8414.0,3min,donch,"(6,)",morning,st20/60/0,False
-31.6,-24525.0,-3.5,25540.0,0,4,7121,-12897.0,3min,donch,"(6,)",morning,st30/20/0,False
-14.0,-10864.0,-1.31,12438.0,2,4,4975,-6766.0,3min,donch,"(6,)",morning,st30/40/0,False
-12.9,-9977.0,-1.13,10822.0,1,4,4064,-5280.0,3min,donch,"(6,)",morning,st30/60/0,False
-49.3,-38238.0,-3.23,39421.0,0,4,4019,-18077.0,3min,donch,"(6,)",morning,trail0/0/2.0,False
-3.8,-2938.0,-0.24,9905.0,1,4,2419,-2729.0,3min,donch,"(6,)",morning,trail0/0/3.0,False
18.8,14588.0,1.1,3557.0,4,4,1352,490.0,3min,donch,"(6,)",morning,trail0/0/5.0,False
5.4,4076.0,0.39,5812.0,3,4,756,-2497.0,3min,donch,"(6,)",afternoon,eod0/0/0,False
1.4,1042.0,0.2,4413.0,3,4,756,-2608.0,3min,donch,"(6,)",afternoon,eod0/0/0,True
-37.9,-28709.0,-6.75,28909.0,0,4,7651,-10760.0,3min,donch,"(6,)",afternoon,st10/20/0,False
-30.4,-23016.0,-4.65,22963.0,0,4,6081,-8228.0,3min,donch,"(6,)",afternoon,st10/40/0,False
-26.3,-19956.0,-3.58,19939.0,0,4,5345,-7714.0,3min,donch,"(6,)",afternoon,st10/60/0,False
-32.5,-24668.0,-4.37,24801.0,0,4,6811,-11098.0,3min,donch,"(6,)",afternoon,st20/20/0,False
-21.9,-16589.0,-2.58,16779.0,0,4,4911,-5535.0,3min,donch,"(6,)",afternoon,st20/40/0,False
-16.0,-12129.0,-1.76,13239.0,0,4,4060,-6756.0,3min,donch,"(6,)",afternoon,st20/60/0,False
-25.6,-19410.0,-2.93,19354.0,0,4,6113,-9450.0,3min,donch,"(6,)",afternoon,st30/20/0,False
-13.2,-9978.0,-1.36,10539.0,0,4,4231,-3251.0,3min,donch,"(6,)",afternoon,st30/40/0,False
-6.5,-4945.0,-0.64,6635.0,0,4,3343,-1571.0,3min,donch,"(6,)",afternoon,st30/60/0,False
-48.8,-37003.0,-4.42,37219.0,0,4,4382,-12288.0,3min,donch,"(6,)",afternoon,trail0/0/2.0,False
-23.3,-17634.0,-1.79,17943.0,0,4,2658,-6919.0,3min,donch,"(6,)",afternoon,trail0/0/3.0,False
-1.1,-842.0,-0.09,5952.0,2,4,1452,-2293.0,3min,donch,"(6,)",afternoon,trail0/0/5.0,False
-22.8,-21379.0,-0.7,37474.0,2,4,937,-21102.0,3min,donch,"(6,)",full,eod0/0/0,False
-1.2,-1077.0,-0.27,2516.0,1,4,938,-1068.0,3min,donch,"(6,)",full,eod0/0/0,True
-150.4,-140938.0,-10.71,140858.0,0,4,42561,-52456.0,3min,donch,"(6,)",full,st10/20/0,False
-95.7,-88811.0,-6.26,88868.0,0,4,31489,-34865.0,3min,donch,"(6,)",full,st10/40/0,False
-72.7,-67818.0,-4.35,68220.0,0,4,26437,-28208.0,3min,donch,"(6,)",full,st10/60/0,False
-132.7,-124502.0,-7.73,124317.0,0,4,35142,-53915.0,3min,donch,"(6,)",full,st20/20/0,False
-66.0,-61524.0,-3.51,62290.0,0,4,23920,-28277.0,3min,donch,"(6,)",full,st20/40/0,False
-42.6,-39787.0,-2.2,40210.0,0,4,18934,-20557.0,3min,donch,"(6,)",full,st20/60/0,False
-100.7,-94426.0,-5.34,94560.0,0,4,30358,-44413.0,3min,donch,"(6,)",full,st30/20/0,False
-47.2,-44058.0,-2.26,46589.0,1,4,19828,-25997.0,3min,donch,"(6,)",full,st30/40/0,False
-35.0,-32577.0,-1.64,33468.0,0,4,15250,-14180.0,3min,donch,"(6,)",full,st30/60/0,False
-269.8,-253095.0,-11.1,252642.0,0,4,31930,-94268.0,3min,donch,"(6,)",full,trail0/0/2.0,False
-117.0,-109140.0,-4.31,109210.0,0,4,17667,-39936.0,3min,donch,"(6,)",full,trail0/0/3.0,False
-15.9,-14683.0,-0.52,22590.0,1,4,7395,-8183.0,3min,donch,"(6,)",full,trail0/0/5.0,False
46.0,35617.0,2.01,4100.0,4,4,774,2145.0,3min,donch,"(8,)",rth,eod0/0/0,False
11.0,8510.0,0.96,3558.0,3,4,774,-13.0,3min,donch,"(8,)",rth,eod0/0/0,True
-66.6,-51693.0,-8.65,51840.0,0,4,13870,-19472.0,3min,donch,"(8,)",rth,st10/20/0,False
-49.6,-38405.0,-5.38,39046.0,0,4,11122,-15276.0,3min,donch,"(8,)",rth,st10/40/0,False
-42.0,-32672.0,-3.96,33039.0,0,4,9778,-12485.0,3min,donch,"(8,)",rth,st10/60/0,False
-62.4,-48631.0,-5.97,48751.0,0,4,12648,-22113.0,3min,donch,"(8,)",rth,st20/20/0,False
-36.4,-28245.0,-2.98,28702.0,0,4,9238,-12980.0,3min,donch,"(8,)",rth,st20/40/0,False
-34.0,-26478.0,-2.58,26756.0,0,4,7603,-10416.0,3min,donch,"(8,)",rth,st20/60/0,False
-53.1,-41359.0,-4.27,41836.0,0,4,11698,-22195.0,3min,donch,"(8,)",rth,st30/20/0,False
-21.0,-16284.0,-1.46,18037.0,0,4,8120,-8867.0,3min,donch,"(8,)",rth,st30/40/0,False
-21.7,-16916.0,-1.48,17254.0,0,4,6463,-9261.0,3min,donch,"(8,)",rth,st30/60/0,False
-91.4,-71130.0,-5.2,70965.0,0,4,7293,-28727.0,3min,donch,"(8,)",rth,trail0/0/2.0,False
-28.1,-21892.0,-1.42,23918.0,0,4,4474,-9228.0,3min,donch,"(8,)",rth,trail0/0/3.0,False
12.0,9283.0,0.51,6569.0,3,4,2238,-1866.0,3min,donch,"(8,)",rth,trail0/0/5.0,False
27.6,21331.0,1.62,3591.0,4,4,774,624.0,3min,donch,"(8,)",morning,eod0/0/0,False
11.3,8748.0,0.98,3020.0,3,4,774,-82.0,3min,donch,"(8,)",morning,eod0/0/0,True
-34.3,-26510.0,-6.7,26629.0,0,4,7250,-9292.0,3min,donch,"(8,)",morning,st10/20/0,False
-23.3,-18095.0,-3.64,18617.0,0,4,5877,-7465.0,3min,donch,"(8,)",morning,st10/40/0,False
-19.7,-15252.0,-2.64,15649.0,0,4,5268,-5517.0,3min,donch,"(8,)",morning,st10/60/0,False
-34.5,-26721.0,-4.88,26926.0,0,4,6719,-12504.0,3min,donch,"(8,)",morning,st20/20/0,False
-19.4,-15047.0,-2.27,15213.0,1,4,5013,-8816.0,3min,donch,"(8,)",morning,st20/40/0,False
-17.0,-13182.0,-1.78,14061.0,0,4,4245,-7277.0,3min,donch,"(8,)",morning,st20/60/0,False
-29.2,-22612.0,-3.47,23395.0,0,4,6335,-12149.0,3min,donch,"(8,)",morning,st30/20/0,False
-11.0,-8542.0,-1.08,10420.0,2,4,4495,-6580.0,3min,donch,"(8,)",morning,st30/40/0,False
-12.7,-9868.0,-1.18,10490.0,0,4,3718,-6050.0,3min,donch,"(8,)",morning,st30/60/0,False
-43.3,-33548.0,-3.03,34465.0,0,4,3590,-15716.0,3min,donch,"(8,)",morning,trail0/0/2.0,False
-3.7,-2878.0,-0.24,9057.0,1,4,2324,-2157.0,3min,donch,"(8,)",morning,trail0/0/3.0,False
18.3,14190.0,1.08,3427.0,3,4,1327,-71.0,3min,donch,"(8,)",morning,trail0/0/5.0,False
2.1,1624.0,0.16,6465.0,3,4,756,-3108.0,3min,donch,"(8,)",afternoon,eod0/0/0,False
-2.5,-1883.0,-0.35,5012.0,3,4,756,-2766.0,3min,donch,"(8,)",afternoon,eod0/0/0,True
-33.9,-25668.0,-6.43,25868.0,0,4,6681,-9983.0,3min,donch,"(8,)",afternoon,st10/20/0,False
-28.7,-21682.0,-4.61,21807.0,0,4,5387,-7787.0,3min,donch,"(8,)",afternoon,st10/40/0,False
-24.7,-18735.0,-3.5,18847.0,0,4,4777,-7036.0,3min,donch,"(8,)",afternoon,st10/60/0,False
-28.8,-21797.0,-4.07,21980.0,0,4,6045,-9847.0,3min,donch,"(8,)",afternoon,st20/20/0,False
-18.8,-14234.0,-2.29,14500.0,0,4,4461,-5056.0,3min,donch,"(8,)",afternoon,st20/40/0,False
-16.0,-12162.0,-1.84,12811.0,0,4,3714,-5844.0,3min,donch,"(8,)",afternoon,st20/60/0,False
-24.4,-18473.0,-2.9,18679.0,0,4,5537,-9030.0,3min,donch,"(8,)",afternoon,st30/20/0,False
-13.2,-9959.0,-1.4,11044.0,0,4,3882,-3235.0,3min,donch,"(8,)",afternoon,st30/40/0,False
-9.9,-7496.0,-1.0,9366.0,0,4,3113,-2397.0,3min,donch,"(8,)",afternoon,st30/60/0,False
-48.6,-36814.0,-4.72,36770.0,0,4,3934,-12049.0,3min,donch,"(8,)",afternoon,trail0/0/2.0,False
-23.7,-17952.0,-1.86,18252.0,0,4,2561,-6477.0,3min,donch,"(8,)",afternoon,trail0/0/3.0,False
-0.7,-515.0,-0.05,6739.0,2,4,1419,-2462.0,3min,donch,"(8,)",afternoon,trail0/0/5.0,False
-22.0,-20548.0,-0.68,35622.0,1,4,936,-18226.0,3min,donch,"(8,)",full,eod0/0/0,False
-2.1,-1846.0,-0.44,3749.0,1,4,937,-1426.0,3min,donch,"(8,)",full,eod0/0/0,True
-132.6,-124266.0,-10.27,123977.0,0,4,37871,-46327.0,3min,donch,"(8,)",full,st10/20/0,False
-85.5,-79330.0,-5.81,79579.0,0,4,28354,-33483.0,3min,donch,"(8,)",full,st10/40/0,False
-70.4,-65727.0,-4.43,66241.0,0,4,24108,-28912.0,3min,donch,"(8,)",full,st10/60/0,False
-117.8,-110339.0,-7.16,110196.0,0,4,31883,-48579.0,3min,donch,"(8,)",full,st20/20/0,False
-56.7,-52825.0,-3.11,53366.0,0,4,21928,-25427.0,3min,donch,"(8,)",full,st20/40/0,False
-49.8,-46333.0,-2.64,47356.0,0,4,17591,-23974.0,3min,donch,"(8,)",full,st20/60/0,False
-99.0,-92479.0,-5.31,92600.0,0,4,27955,-43702.0,3min,donch,"(8,)",full,st30/20/0,False
-44.0,-40824.0,-2.07,43640.0,1,4,18485,-22875.0,3min,donch,"(8,)",full,st30/40/0,False
-35.2,-32594.0,-1.63,33653.0,0,4,14322,-18778.0,3min,donch,"(8,)",full,st30/60/0,False
-248.9,-233469.0,-10.65,233061.0,0,4,28619,-88749.0,3min,donch,"(8,)",full,trail0/0/2.0,False
-113.6,-105976.0,-4.28,106100.0,0,4,17044,-40262.0,3min,donch,"(8,)",full,trail0/0/3.0,False
-17.3,-15939.0,-0.57,23948.0,1,4,7330,-8760.0,3min,donch,"(8,)",full,trail0/0/5.0,False
37.2,28754.0,1.6,8956.0,4,4,774,2313.0,3min,donch,"(12,)",rth,eod0/0/0,False
16.8,12980.0,1.3,2348.0,4,4,774,435.0,3min,donch,"(12,)",rth,eod0/0/0,True
-54.1,-42013.0,-7.79,42165.0,0,4,11310,-16598.0,3min,donch,"(12,)",rth,st10/20/0,False
-41.3,-32044.0,-4.89,32966.0,0,4,9199,-12663.0,3min,donch,"(12,)",rth,st10/40/0,False
-34.5,-26842.0,-3.59,27474.0,0,4,8174,-11231.0,3min,donch,"(12,)",rth,st10/60/0,False
-50.1,-39054.0,-5.32,39402.0,0,4,10463,-18626.0,3min,donch,"(12,)",rth,st20/20/0,False
-33.1,-25721.0,-3.05,26659.0,0,4,7840,-10967.0,3min,donch,"(12,)",rth,st20/40/0,False
-24.7,-19251.0,-2.05,20605.0,0,4,6508,-7342.0,3min,donch,"(12,)",rth,st20/60/0,False
-46.2,-36019.0,-4.13,36549.0,0,4,9897,-18842.0,3min,donch,"(12,)",rth,st30/20/0,False
-21.6,-16749.0,-1.68,17393.0,0,4,7032,-8773.0,3min,donch,"(12,)",rth,st30/40/0,False
-23.1,-18019.0,-1.7,18831.0,0,4,5651,-8982.0,3min,donch,"(12,)",rth,st30/60/0,False
-74.4,-57898.0,-5.08,58315.0,0,4,5995,-22637.0,3min,donch,"(12,)",rth,trail0/0/2.0,False
-26.7,-20832.0,-1.36,22555.0,0,4,4059,-10336.0,3min,donch,"(12,)",rth,trail0/0/3.0,False
8.1,6250.0,0.35,7619.0,2,4,2146,-1948.0,3min,donch,"(12,)",rth,trail0/0/5.0,False
16.9,13095.0,0.98,6602.0,4,4,774,8.0,3min,donch,"(12,)",morning,eod0/0/0,False
16.1,12487.0,1.32,2279.0,4,4,774,122.0,3min,donch,"(12,)",morning,eod0/0/0,True
-28.2,-21794.0,-6.11,21929.0,0,4,5899,-8314.0,3min,donch,"(12,)",morning,st10/20/0,False
-19.8,-15380.0,-3.42,16105.0,0,4,4846,-6496.0,3min,donch,"(12,)",morning,st10/40/0,False
-15.9,-12301.0,-2.33,12861.0,0,4,4376,-4798.0,3min,donch,"(12,)",morning,st10/60/0,False
-29.0,-22506.0,-4.59,22681.0,0,4,5524,-11590.0,3min,donch,"(12,)",morning,st20/20/0,False
-17.3,-13440.0,-2.29,14095.0,0,4,4199,-7836.0,3min,donch,"(12,)",morning,st20/40/0,False
-12.9,-9990.0,-1.49,11038.0,0,4,3597,-5563.0,3min,donch,"(12,)",morning,st20/60/0,False
-26.6,-20611.0,-3.53,21046.0,0,4,5298,-11329.0,3min,donch,"(12,)",morning,st30/20/0,False
-11.6,-8990.0,-1.27,10063.0,1,4,3848,-5806.0,3min,donch,"(12,)",morning,st30/40/0,False
-11.9,-9198.0,-1.22,9942.0,0,4,3199,-5069.0,3min,donch,"(12,)",morning,st30/60/0,False
-33.3,-25812.0,-2.9,27058.0,0,4,2948,-11812.0,3min,donch,"(12,)",morning,trail0/0/2.0,False
-2.4,-1830.0,-0.15,8764.0,1,4,2108,-2920.0,3min,donch,"(12,)",morning,trail0/0/3.0,False
14.5,11212.0,0.86,3785.0,3,4,1287,-417.0,3min,donch,"(12,)",morning,trail0/0/5.0,False
9.9,7464.0,0.74,4386.0,3,4,756,-970.0,3min,donch,"(12,)",afternoon,eod0/0/0,False
-1.0,-725.0,-0.11,5932.0,2,4,756,-2711.0,3min,donch,"(12,)",afternoon,eod0/0/0,True
-27.4,-20760.0,-5.68,20877.0,0,4,5459,-7830.0,3min,donch,"(12,)",afternoon,st10/20/0,False
-22.6,-17056.0,-3.93,17363.0,0,4,4463,-5612.0,3min,donch,"(12,)",afternoon,st10/40/0,False
-19.0,-14373.0,-2.89,14672.0,0,4,4003,-5427.0,3min,donch,"(12,)",afternoon,st10/60/0,False
-23.1,-17491.0,-3.6,17784.0,0,4,5018,-7070.0,3min,donch,"(12,)",afternoon,st20/20/0,False
-16.8,-12708.0,-2.23,13045.0,0,4,3815,-5690.0,3min,donch,"(12,)",afternoon,st20/40/0,False
-13.6,-10315.0,-1.68,10890.0,0,4,3217,-5967.0,3min,donch,"(12,)",afternoon,st20/60/0,False
-19.1,-14511.0,-2.55,14891.0,0,4,4720,-6728.0,3min,donch,"(12,)",afternoon,st30/20/0,False
-12.3,-9312.0,-1.4,9910.0,0,4,3408,-3188.0,3min,donch,"(12,)",afternoon,st30/40/0,False
-11.2,-8463.0,-1.24,9613.0,0,4,2768,-3388.0,3min,donch,"(12,)",afternoon,st30/60/0,False
-42.0,-31852.0,-4.64,31946.0,0,4,3241,-10113.0,3min,donch,"(12,)",afternoon,trail0/0/2.0,False
-23.5,-17835.0,-1.89,18319.0,0,4,2303,-6144.0,3min,donch,"(12,)",afternoon,trail0/0/3.0,False
0.3,251.0,0.03,7882.0,3,4,1343,-2831.0,3min,donch,"(12,)",afternoon,trail0/0/5.0,False
-18.9,-17699.0,-0.58,36697.0,1,4,935,-17790.0,3min,donch,"(12,)",full,eod0/0/0,False
-3.3,-2819.0,-0.64,4783.0,1,4,936,-2046.0,3min,donch,"(12,)",full,eod0/0/0,True
-110.0,-102822.0,-9.59,102601.0,0,4,31744,-37838.0,3min,donch,"(12,)",full,st10/20/0,False
-73.5,-68158.0,-5.38,68863.0,0,4,24217,-28693.0,3min,donch,"(12,)",full,st10/40/0,False
-65.1,-60639.0,-4.36,61187.0,0,4,20958,-27393.0,3min,donch,"(12,)",full,st10/60/0,False
-97.7,-91441.0,-6.64,91395.0,0,4,27371,-40885.0,3min,donch,"(12,)",full,st20/20/0,False
-52.2,-48589.0,-3.14,49781.0,0,4,19220,-21194.0,3min,donch,"(12,)",full,st20/40/0,False
-41.5,-38480.0,-2.32,40435.0,0,4,15615,-19088.0,3min,donch,"(12,)",full,st20/60/0,False
-82.3,-76684.0,-4.86,76882.0,0,4,24563,-35923.0,3min,donch,"(12,)",full,st30/20/0,False
-40.4,-37429.0,-2.05,38011.0,0,4,16486,-20577.0,3min,donch,"(12,)",full,st30/40/0,False
-36.3,-33629.0,-1.76,35018.0,0,4,12936,-21144.0,3min,donch,"(12,)",full,st30/60/0,False
-213.6,-199719.0,-10.44,199449.0,0,4,23727,-74019.0,3min,donch,"(12,)",full,trail0/0/2.0,False
-110.9,-103111.0,-4.31,103250.0,0,4,15528,-40414.0,3min,donch,"(12,)",full,trail0/0/3.0,False
-14.3,-13040.0,-0.48,21964.0,0,4,7158,-8891.0,3min,donch,"(12,)",full,trail0/0/5.0,False
33.9,26214.0,1.47,10585.0,4,4,774,450.0,3min,donch,"(16,)",rth,eod0/0/0,False
22.1,17103.0,1.54,2950.0,3,4,774,-201.0,3min,donch,"(16,)",rth,eod0/0/0,True
-46.0,-35675.0,-7.05,35912.0,0,4,9747,-14525.0,3min,donch,"(16,)",rth,st10/20/0,False
-32.3,-25032.0,-4.06,25805.0,0,4,7951,-10087.0,3min,donch,"(16,)",rth,st10/40/0,False
-25.9,-20160.0,-2.87,20865.0,0,4,7101,-8038.0,3min,donch,"(16,)",rth,st10/60/0,False
-43.9,-34205.0,-4.96,34429.0,0,4,9091,-17546.0,3min,donch,"(16,)",rth,st20/20/0,False
-29.0,-22521.0,-2.81,23309.0,0,4,6872,-10742.0,3min,donch,"(16,)",rth,st20/40/0,False
-21.8,-17016.0,-1.94,18290.0,0,4,5777,-8262.0,3min,donch,"(16,)",rth,st20/60/0,False
-40.3,-31362.0,-3.83,31636.0,0,4,8699,-17184.0,3min,donch,"(16,)",rth,st30/20/0,False
-20.7,-16080.0,-1.71,16790.0,0,4,6251,-9034.0,3min,donch,"(16,)",rth,st30/40/0,False
-16.2,-12603.0,-1.25,14530.0,0,4,5058,-7109.0,3min,donch,"(16,)",rth,st30/60/0,False
-61.8,-48081.0,-4.6,48974.0,0,4,5123,-18272.0,3min,donch,"(16,)",rth,trail0/0/2.0,False
-17.2,-13393.0,-0.91,15530.0,0,4,3575,-5437.0,3min,donch,"(16,)",rth,trail0/0/3.0,False
