name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
SEASMF_3min_time20h12_rth,SEASMF,3min,457,2.9,2.2,-40.8,173.0,-3104.0,16.8
SEASMF_3min_time60h0_all,SEASMF,3min,291,1.9,-15.1,-19.2,-1212.0,-1460.0,45.4
SEASMF_3min_time60h0_rth,SEASMF,3min,291,1.9,-15.1,-19.2,-1212.0,-1460.0,45.4
SEASMF_3min_time60h12_all,SEASMF,3min,457,2.9,-0.1,-56.0,-11.0,-4266.0,9.4
SEASMF_3min_time60h12_rth,SEASMF,3min,457,2.9,-0.1,-56.0,-11.0,-4266.0,9.4
SEASMF_3min_time120h0_all,SEASMF,3min,291,1.9,-6.1,42.7,-486.0,3253.0,45.7
SEASMF_3min_time120h0_rth,SEASMF,3min,291,1.9,-6.1,42.7,-486.0,3253.0,45.7
SEASMF_3min_time120h12_all,SEASMF,3min,457,2.9,-11.2,-43.2,-894.0,-3292.0,7.0
SEASMF_3min_time120h12_rth,SEASMF,3min,457,2.9,-11.2,-43.2,-894.0,-3292.0,7.0
SEASMF_3min_trail2.0h0_all,SEASMF,3min,329,2.1,0.6,-38.9,47.0,-2960.0,33.4
SEASMF_3min_trail2.0h0_rth,SEASMF,3min,329,2.1,0.6,-38.9,47.0,-2960.0,33.4
SEASMF_3min_trail2.0h12_all,SEASMF,3min,467,3.0,-4.6,-37.6,-371.0,-2861.0,20.3
SEASMF_3min_trail2.0h12_rth,SEASMF,3min,467,3.0,-4.6,-37.6,-371.0,-2861.0,20.3
SEASMF_3min_trail3.5h0_all,SEASMF,3min,292,1.9,-0.1,-39.3,-8.0,-2993.0,34.9
SEASMF_3min_trail3.5h0_rth,SEASMF,3min,292,1.9,-0.1,-39.3,-8.0,-2993.0,34.9
SEASMF_3min_trail3.5h12_all,SEASMF,3min,457,2.9,6.8,-57.3,542.0,-4361.0,14.7
SEASMF_3min_trail3.5h12_rth,SEASMF,3min,457,2.9,6.8,-57.3,542.0,-4361.0,14.7
RETEST_5min_time20h0_all,RETEST,5min,1272,8.1,-30.8,48.3,-2462.0,3680.0,51.9
RETEST_5min_time20h0_rth,RETEST,5min,577,3.7,-21.3,32.5,-1705.0,2474.0,53.0
RETEST_5min_time20h12_all,RETEST,5min,2181,14.0,-33.2,-35.8,-2654.0,-2725.0,21.1
RETEST_5min_time20h12_rth,RETEST,5min,1126,7.2,-21.0,-11.9,-1683.0,-903.0,16.1
RETEST_5min_time60h0_all,RETEST,5min,816,5.2,8.9,50.7,713.0,3864.0,53.4
RETEST_5min_time60h0_rth,RETEST,5min,405,2.6,-26.3,24.9,-2106.0,1899.0,53.6
RETEST_5min_time60h12_all,RETEST,5min,2017,12.9,-33.5,-31.0,-2676.0,-2359.0,12.9
RETEST_5min_time60h12_rth,RETEST,5min,1098,7.0,-33.7,-10.5,-2693.0,-802.0,11.1
RETEST_5min_time120h0_all,RETEST,5min,598,3.8,47.1,96.0,3771.0,7311.0,54.8
RETEST_5min_time120h0_rth,RETEST,5min,356,2.3,15.6,56.5,1246.0,4299.0,52.8
RETEST_5min_time120h12_all,RETEST,5min,1918,12.3,-12.5,-31.2,-999.0,-2373.0,9.2
RETEST_5min_time120h12_rth,RETEST,5min,1095,7.0,-32.6,-12.4,-2612.0,-944.0,9.5
RETEST_5min_trail2.0h0_all,RETEST,5min,1898,12.2,-99.2,-100.8,-7939.0,-7677.0,33.7
RETEST_5min_trail2.0h0_rth,RETEST,5min,837,5.4,-52.6,-44.5,-4211.0,-3388.0,34.4
RETEST_5min_trail2.0h12_all,RETEST,5min,2376,15.2,-101.0,-107.5,-8083.0,-8184.0,22.6
RETEST_5min_trail2.0h12_rth,RETEST,5min,1163,7.4,-51.3,-51.4,-4103.0,-3913.0,18.6
RETEST_5min_trail3.5h0_all,RETEST,5min,1255,8.0,-79.0,8.0,-6323.0,608.0,36.7
RETEST_5min_trail3.5h0_rth,RETEST,5min,592,3.8,-65.3,22.2,-5224.0,1690.0,38.3
RETEST_5min_trail3.5h12_all,RETEST,5min,2135,13.7,-63.8,-61.5,-5102.0,-4679.0,17.4
RETEST_5min_trail3.5h12_rth,RETEST,5min,1121,7.2,-35.8,-21.6,-2861.0,-1641.0,14.3
SPIKEF_5min_time20h0_all,SPIKEF,5min,694,4.4,-70.7,-22.3,-5659.0,-1695.0,49.7
SPIKEF_5min_time20h0_rth,SPIKEF,5min,300,1.9,-73.4,-16.2,-5874.0,-1233.0,43.0
SPIKEF_5min_time20h12_all,SPIKEF,5min,851,5.5,-0.9,25.1,-68.0,1908.0,16.6
SPIKEF_5min_time20h12_rth,SPIKEF,5min,375,2.4,0.1,40.3,5.0,3071.0,11.7
SPIKEF_5min_time60h0_all,SPIKEF,5min,651,4.2,-57.1,53.9,-4571.0,4103.0,48.5
SPIKEF_5min_time60h0_rth,SPIKEF,5min,291,1.9,-74.5,-21.7,-5959.0,-1651.0,44.0
SPIKEF_5min_time60h12_all,SPIKEF,5min,839,5.4,-9.6,39.6,-770.0,3018.0,10.5
SPIKEF_5min_time60h12_rth,SPIKEF,5min,372,2.4,-7.2,31.5,-576.0,2397.0,8.3
SPIKEF_5min_time120h0_all,SPIKEF,5min,539,3.5,-84.4,130.9,-6754.0,9968.0,50.3
SPIKEF_5min_time120h0_rth,SPIKEF,5min,281,1.8,-68.1,-18.0,-5449.0,-1373.0,45.9
SPIKEF_5min_time120h12_all,SPIKEF,5min,822,5.3,-13.5,72.8,-1078.0,5540.0,8.4
SPIKEF_5min_time120h12_rth,SPIKEF,5min,372,2.4,-3.9,46.9,-312.0,3567.0,7.5
SPIKEF_5min_trail2.0h0_all,SPIKEF,5min,811,5.2,-82.4,-144.0,-6595.0,-10967.0,26.9
SPIKEF_5min_trail2.0h0_rth,SPIKEF,5min,364,2.3,-51.2,-102.0,-4097.0,-7764.0,25.3
SPIKEF_5min_trail2.0h12_all,SPIKEF,5min,869,5.6,-47.1,-78.1,-3772.0,-5946.0,16.7
SPIKEF_5min_trail2.0h12_rth,SPIKEF,5min,384,2.5,-22.2,-37.8,-1772.0,-2879.0,14.3
SPIKEF_5min_trail3.5h0_all,SPIKEF,5min,741,4.7,-67.7,-41.7,-5420.0,-3172.0,33.7
SPIKEF_5min_trail3.5h0_rth,SPIKEF,5min,330,2.1,-79.7,-46.8,-6376.0,-3563.0,31.2
SPIKEF_5min_trail3.5h12_all,SPIKEF,5min,854,5.5,-16.7,41.3,-1338.0,3146.0,14.1
SPIKEF_5min_trail3.5h12_rth,SPIKEF,5min,379,2.4,-17.6,31.5,-1409.0,2401.0,10.8
