name,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
BWEXP5min_k2.2_d20_all_tr2,5669,36.3,-402.3,-604.4,-32187.0,-46023.0,30.9
DON15min_lb8_std_t40,755,4.8,90.8,173.4,7268.0,13206.0,53.5
DON15min_lb8_std_t80,744,4.8,79.6,75.1,6372.0,5718.0,54.7
DON15min_lb8_std_t120,383,2.5,10.0,-117.4,802.0,-8942.0,52.5
DON15min_lb8_std_tr2,1469,9.4,-160.8,-179.7,-12863.0,-13684.0,36.1
DON15min_lb8_wide_t40,770,4.9,147.2,-98.1,11773.0,-7472.0,53.4
DON15min_lb8_wide_t80,760,4.9,157.5,-148.3,12602.0,-11290.0,53.8
DON15min_lb8_wide_t120,386,2.5,-6.3,-127.2,-504.0,-9682.0,51.6
DON15min_lb8_wide_tr2,1993,12.8,-215.4,-306.3,-17230.0,-23320.0,34.7
DON15min_lb8_late_t40,724,4.6,-47.8,-78.0,-3820.0,-5936.0,47.0
DON15min_lb8_late_t80,721,4.6,31.9,-33.0,2556.0,-2516.0,51.9
DON15min_lb8_late_t120,375,2.4,-24.9,4.2,-1988.0,324.0,50.7
DON15min_lb8_late_tr2,1042,6.7,-123.1,-95.6,-9847.0,-7277.0,37.5
DON15min_lb12_std_t40,725,4.6,110.7,171.1,8858.0,13028.0,53.9
DON15min_lb12_std_t80,698,4.5,80.1,41.2,6410.0,3134.0,54.3
DON15min_lb12_std_t120,377,2.4,23.9,126.7,1910.0,9648.0,55.4
DON15min_lb12_std_tr2,1278,8.2,-140.0,-145.6,-11200.0,-11086.0,36.5
DON15min_lb12_wide_t40,761,4.9,160.6,-117.9,12846.0,-8976.0,53.0
DON15min_lb12_wide_t80,742,4.8,153.1,-76.1,12252.0,-5793.0,53.4
DON15min_lb12_wide_t120,385,2.5,172.2,-25.8,13778.0,-1963.0,53.8
DON15min_lb12_wide_tr2,1756,11.2,-182.1,-269.2,-14570.0,-20498.0,35.0
DON15min_lb12_late_t40,646,4.1,-11.2,-31.0,-896.0,-2364.0,48.5
DON15min_lb12_late_t80,630,4.0,10.3,18.3,824.0,1394.0,51.1
DON15min_lb12_late_t120,353,2.3,-34.3,-158.9,-2742.0,-12100.0,49.0
