name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
DON20F_rth_t60_s15,-627.0,72.6,-8.64,22,-964.0,98.8,-9.76,-2606.0,25
MOMF_k30_a3.0_rth_t15_s15,-630.0,136.9,-4.61,11,-460.0,171.2,-2.69,-782.0,25
Z60R_all_t5_s0,-630.0,385.7,-1.63,22,158.0,248.0,0.64,-857.0,50
BBR_all_t5_s15,-632.0,287.4,-2.2,22,-609.0,196.8,-3.09,-2814.0,33
DON20R_all_t30_s0,-635.0,156.8,-4.05,33,292.0,108.8,2.68,-2138.0,67
MOMR_k5_a1.5_rth_t30_s15,-636.0,148.1,-4.3,11,-459.0,183.2,-2.5,-1828.0,50
MOMR_k30_a3.0_all_t15_s0,-637.0,281.9,-2.26,33,586.0,195.7,3.0,-1079.0,67
MOMF_k30_a3.0_all_t30_s0,-638.0,171.0,-3.73,22,-1076.0,116.8,-9.21,-2573.0,17
Z60R_all_t60_s0,-644.0,84.9,-7.59,22,-269.0,54.2,-4.96,-3233.0,33
RUNF_all_t30_s0,-644.0,184.4,-3.49,33,241.0,122.3,1.97,-936.0,67
MOMR_k15_a3.0_all_t60_s15,-645.0,226.8,-2.84,33,-903.0,203.0,-4.45,-2500.0,17
MOMR_k3_a1.5_all_t15_s0,-652.0,275.2,-2.37,11,-66.0,192.2,-0.35,-896.0,33
MOMF_k3_a1.5_rth_t30_s15,-652.0,110.8,-5.88,33,-1091.0,137.0,-7.97,-3253.0,50
RUNR_rth_t5_s0,-658.0,200.6,-3.28,33,-412.0,190.5,-2.16,-1232.0,25
DON60F_all_t15_s15,-658.0,163.7,-4.02,11,-1130.0,130.5,-8.66,-2184.0,17
MOMF_k5_a1.5_rth_t60_s15,-659.0,101.3,-6.5,22,-232.0,130.0,-1.78,-1322.0,50
MOMF_k15_a3.0_all_t60_s0,-660.0,90.2,-7.32,11,-51.0,62.2,-0.82,-2682.0,67
MOMF_k15_a3.0_all_t60_s15,-662.0,182.2,-3.63,33,-1610.0,166.5,-9.67,-3773.0,17
MOMF_k15_a3.0_all_t30_s15,-668.0,227.7,-2.94,11,-1908.0,200.5,-9.51,-3874.0,0
MOMF_k15_a1.5_rth_t30_s15,-674.0,141.4,-4.77,11,-575.0,174.5,-3.3,-1616.0,25
MOMF_k5_a1.5_all_t30_s0,-676.0,184.1,-3.67,22,-227.0,124.5,-1.82,-2532.0,33
DON20F_all_t30_s15,-677.0,234.9,-2.88,11,-1870.0,196.3,-9.52,-3439.0,0
BBF_rth_t60_s15,-677.0,53.6,-12.64,22,-142.0,56.0,-2.54,-1212.0,50
VSPKR_all_t30_s15,-679.0,124.0,-5.47,0,-549.0,69.0,-7.96,-2542.0,17
BBF_all_t5_s15,-690.0,230.9,-2.99,22,-888.0,151.8,-5.85,-2166.0,0
DON20F_all_t60_s15,-691.0,186.0,-3.71,33,-1540.0,164.2,-9.38,-2938.0,17
MOMF_k5_a3.0_all_t60_s15,-698.0,107.3,-6.5,22,-1150.0,89.2,-12.89,-2202.0,0
BBF_all_t30_s15,-700.0,172.8,-4.05,22,-1220.0,125.7,-9.71,-2140.0,0
MOMR_k5_a1.5_rth_t15_s15,-704.0,189.6,-3.71,33,-186.0,227.0,-0.82,-1633.0,25
DON20F_all_t60_s0,-706.0,91.7,-7.71,0,-348.0,63.5,-5.47,-3260.0,50
BBF_all_t15_s15,-723.0,207.3,-3.49,0,-1234.0,142.8,-8.64,-2154.0,0
MOMF_k3_a1.5_all_t15_s0,-724.0,275.2,-2.63,11,-894.0,192.2,-4.65,-2436.0,0
MOMR_k5_a3.0_all_t60_s0,-729.0,64.4,-11.31,33,-98.0,43.3,-2.26,-2392.0,33
MOMR_k3_a1.5_rth_t15_s15,-729.0,149.0,-4.9,11,406.0,166.5,2.44,-1134.0,75
MOMF_k15_a3.0_rth_t15_s0,-730.0,68.3,-10.68,0,-326.0,67.2,-4.85,-1448.0,50
RUNF_rth_t5_s15,-740.0,233.3,-3.17,11,-1158.0,242.2,-4.78,-1682.0,0
MOMF_k3_a1.5_rth_t5_s15,-745.0,171.4,-4.35,0,-713.0,188.2,-3.79,-1675.0,0
BBF_all_t5_s0,-749.0,220.1,-3.4,22,-191.0,138.8,-1.38,-2480.0,50
Z60F_all_t30_s15,-760.0,184.0,-4.13,11,-1185.0,151.0,-7.85,-2176.0,0
MOMF_k30_a3.0_all_t15_s0,-772.0,281.9,-2.74,22,-1565.0,195.7,-8.0,-3642.0,0
MOMR_k30_a1.5_rth_t15_s15,-783.0,233.2,-3.36,0,382.0,287.5,1.33,-526.0,25
MOMF_k30_a1.5_rth_t5_s0,-796.0,279.6,-2.85,22,-246.0,272.0,-0.9,-1332.0,50
MOMF_k30_a1.5_rth_t15_s15,-805.0,206.2,-3.9,11,-800.0,264.8,-3.02,-1894.0,0
DON20R_all_t5_s0,-810.0,365.6,-2.21,33,-986.0,269.5,-3.66,-3128.0,33
MOMR_k15_a1.5_rth_t15_s15,-819.0,230.9,-3.55,11,760.0,273.5,2.78,-1650.0,25
MOMR_k15_a1.5_all_t60_s0,-821.0,105.2,-7.8,11,633.0,70.8,8.93,-3052.0,50
Z60F_all_t15_s0,-828.0,209.0,-3.96,22,-834.0,133.2,-6.26,-2532.0,33
RUNF_all_t30_s15,-839.0,318.9,-2.63,11,-1654.0,268.5,-6.16,-3665.0,0
MOMF_k3_a1.5_all_t60_s15,-839.0,224.6,-3.74,33,-781.0,191.0,-4.09,-1868.0,33
MOMF_k30_a1.5_all_t15_s0,-840.0,374.0,-2.25,33,-1155.0,253.8,-4.55,-2968.0,17
DON20F_all_t15_s15,-848.0,291.3,-2.91,11,-1860.0,230.3,-8.08,-3350.0,0
MOMF_k5_a1.5_all_t60_s15,-849.0,242.4,-3.5,22,-600.0,205.8,-2.91,-1796.0,33
BBR_all_t60_s0,-849.0,83.0,-10.23,11,-660.0,55.2,-11.97,-2373.0,17
MOMF_k30_a3.0_rth_t5_s15,-856.0,225.4,-3.79,0,-1088.0,270.2,-4.03,-1558.0,0
MOMR_k15_a1.5_rth_t30_s15,-859.0,167.8,-5.12,0,316.0,206.8,1.53,-1051.0,75
BBR_all_t15_s15,-859.0,262.0,-3.28,11,-324.0,182.0,-1.78,-1962.0,33
MOMF_k3_a1.5_rth_t15_s15,-859.0,137.8,-6.23,0,-1050.0,158.5,-6.63,-2252.0,0
RUNR_rth_t5_s15,-867.0,271.1,-3.2,22,-130.0,295.2,-0.44,-648.0,25
MOMF_k15_a3.0_all_t15_s15,-872.0,274.3,-3.18,0,-1985.0,230.2,-8.62,-3532.0,0
MOMF_k30_a3.0_all_t30_s15,-890.0,263.6,-3.38,11,-1661.0,221.8,-7.49,-4024.0,0
MOMR_k5_a1.5_rth_t5_s15,-899.0,262.8,-3.42,22,-403.0,309.5,-1.3,-1926.0,50
Z60R_all_t15_s15,-905.0,337.0,-2.68,0,-326.0,263.8,-1.24,-2486.0,33
