name,imp,W,pull,stop,tgt,htf,n,tr_day,wr,to%,net,per_day,per_trade,maxDD,worst_month,months
i2.0_w4_p0.382_s5.0_t24.0_htf0,2.0,4,0.382,5.0,24.0,0,10799,156.5,29.9,15.1,-1843.0,-26.7,-0.17,9880.0,-175.0,"{'2025-12': 4.0, '2026-01': -175.0, '2026-02': 109.0}"
i2.0_w4_p0.382_s5.0_t24.0_htf30,2.0,4,0.382,5.0,24.0,30,7604,110.2,26.7,16.0,-17592.0,-255.0,-2.31,18705.0,-310.0,"{'2025-12': -310.0, '2026-01': -308.0, '2026-02': -154.0}"
i2.0_w4_p0.382_s5.0_t24.0_htf60,2.0,4,0.382,5.0,24.0,60,7934,115.0,27.4,16.1,-15109.0,-219.0,-1.9,16375.0,-296.0,"{'2025-12': -296.0, '2026-01': -236.0, '2026-02': -139.0}"
i2.0_w4_p0.382_s5.0_t40.0_htf0,2.0,4,0.382,5.0,40.0,0,10181,147.6,27.9,22.3,8089.0,117.2,0.79,7691.0,-97.0,"{'2025-12': 179.0, '2026-01': -97.0, '2026-02': 300.0}"
i2.0_w4_p0.382_s5.0_t40.0_htf30,2.0,4,0.382,5.0,40.0,30,7467,108.2,23.6,21.2,-20861.0,-302.3,-2.79,22546.0,-353.0,"{'2025-12': -353.0, '2026-01': -312.0, '2026-02': -253.0}"
i2.0_w4_p0.382_s5.0_t40.0_htf60,2.0,4,0.382,5.0,40.0,60,7788,112.9,24.3,21.3,-17791.0,-257.8,-2.28,19495.0,-364.0,"{'2025-12': -364.0, '2026-01': -255.0, '2026-02': -177.0}"
i2.0_w4_p0.382_s5.0_t60.0_htf0,2.0,4,0.382,5.0,60.0,0,9909,143.6,27.1,26.3,10719.0,155.4,1.08,6623.0,-53.0,"{'2025-12': 195.0, '2026-01': -53.0, '2026-02': 350.0}"
i2.0_w4_p0.382_s5.0_t60.0_htf30,2.0,4,0.382,5.0,60.0,30,7429,107.7,22.9,23.7,-20262.0,-293.7,-2.73,22411.0,-329.0,"{'2025-12': -315.0, '2026-01': -329.0, '2026-02': -239.0}"
i2.0_w4_p0.382_s5.0_t60.0_htf60,2.0,4,0.382,5.0,60.0,60,7751,112.3,23.5,23.8,-17487.0,-253.4,-2.26,19567.0,-354.0,"{'2025-12': -354.0, '2026-01': -246.0, '2026-02': -183.0}"
i2.0_w4_p0.382_s8.0_t24.0_htf0,2.0,4,0.382,8.0,24.0,0,10403,150.8,35.5,21.0,-6988.0,-101.3,-0.67,9744.0,-146.0,"{'2025-12': -88.0, '2026-01': -146.0, '2026-02': -63.0}"
i2.0_w4_p0.382_s8.0_t24.0_htf30,2.0,4,0.382,8.0,24.0,30,7178,104.0,33.0,23.5,-19683.0,-285.3,-2.74,20547.0,-343.0,"{'2025-12': -343.0, '2026-01': -329.0, '2026-02': -192.0}"
i2.0_w4_p0.382_s8.0_t24.0_htf60,2.0,4,0.382,8.0,24.0,60,7486,108.5,33.9,23.6,-17045.0,-247.0,-2.28,17660.0,-376.0,"{'2025-12': -376.0, '2026-01': -251.0, '2026-02': -141.0}"
i2.0_w4_p0.382_s8.0_t40.0_htf0,2.0,4,0.382,8.0,40.0,0,9783,141.8,32.7,29.5,-519.0,-7.5,-0.05,8556.0,-157.0,"{'2025-12': 79.0, '2026-01': -157.0, '2026-02': 86.0}"
