dt,S,ngp,flip,pin,flip_dist
2025-02-18,539.45,3904394.840913541,539.0,540.0,0.0008341829641302168
2025-02-19,539.5300000000001,3982361.027757962,539.0,540.0,0.0009823364780458665
2025-02-20,537.5300000000001,4830804.998918223,537.5,538.0,5.58108384649906e-05
2025-02-21,526.89,-7302047.214102909,,528.0,
2025-02-24,521.25,-7189176.8691437645,,522.0,
2025-02-25,514.73,18028120.234917745,514.0,515.0,0.0014182192605832536
2025-02-26,515.53,3083030.2302997285,517.5,517.0,-0.0038213101080442017
2025-02-27,501.24,-7736322.931255856,,500.0,
2025-02-28,507.99,10705883.010504331,507.5,508.0,0.000964585917045629
2025-03-03,498.47,-7584618.230498541,,500.0,
2025-03-04,498.12,-3848120.045135833,,499.0,
2025-03-05,502.02,1486632.233992879,504.0,503.0,-0.003944065973467229
2025-03-06,489.89000000000004,1292412.804211552,494.0,490.0,-0.008389638490273238
2025-03-07,491.60999999999996,7343121.957359952,491.0,492.0,0.0012408209759768045
2025-03-10,473.58000000000004,-2783413.6351745767,,474.0,
2025-03-11,472.98,4657125.555119406,472.0,473.0,0.002071969216457394
2025-03-12,476.87,9696964.606565397,476.0,477.0,0.0018243965860716852
2025-03-13,470.07,-168444.99839419866,,470.0,
2025-03-14,478.83000000000004,12992315.617848381,478.0,479.0,0.0017333918092016808
2025-03-17,482.93,-4918326.960440094,,483.0,
2025-03-18,475.18,-14854786.499921838,305.0,475.0,0.35813796876972936
2025-03-19,481.15000000000003,7412911.365604245,480.0,481.0,0.00239010703522817
2025-03-20,479.81,1232566.8099422357,480.0,480.0,-0.000395990079406427
2025-03-21,480.61,10181998.192256043,476.0,480.0,0.009591976862736967
2025-03-24,491.25,-2915178.538991063,,490.0,
2025-03-25,494.27,-1205888.1282198045,,495.0,
2025-03-26,485.05,7013187.200735435,484.0,485.0,0.002164725286053008
2025-03-27,482.88,-5833383.604265324,320.0,484.0,0.3373094764744864
2025-03-28,468.98999999999995,-6070922.149530287,,470.0,
2025-03-31,468.62,1864879.1465639644,469.0,469.0,-0.0008108915539242786
2025-04-01,473.04,-1945736.3267371466,,474.0,
2025-04-02,478.52,2261681.6259463737,479.0,479.0,-0.001003092869681556
2025-04-03,451.35999999999996,-8621932.389618823,,450.0,
2025-04-04,423.07,-7308887.573007447,,425.0,
2025-04-07,427.34999999999997,2870758.393354541,426.0,427.0,0.0031590031590030794
2025-04-08,416.48,-2669059.247226231,,415.0,
2025-04-09,465.84,2725562.2952935337,464.0,465.0,0.003949854027133727
2025-04-10,448.05,2779569.1969216205,449.0,450.0,-0.0021202990737640634
2025-04-11,454.68,8069513.889840976,454.0,455.0,0.0014955573150347648
2025-04-14,457.73,2504996.868222382,457.0,458.0,0.0015948266445284735
2025-04-15,458.5,-2514416.268003565,,459.0,
2025-04-16,445.05,-3402620.582185066,290.0,445.0,0.34838782159307946
2025-04-17,445.45,4644549.168874196,445.0,445.0,0.001010214389942729
2025-04-21,433.4,-275863.7643746125,,434.0,
2025-04-22,444.67,8147619.292691245,444.78,445.0,-0.00024737445746274045
2025-04-23,455.24,-2708362.4109056923,,455.0,
2025-04-24,468.37,2453082.620471977,468.0,467.0,0.0007899737387108579
2025-04-25,473.14,6052696.634824905,472.5,473.0,0.0013526651730988426
2025-04-28,472.32,-1525738.9842768093,,473.0,
2025-04-29,475.83000000000004,18754685.19446531,475.0,476.0,0.0017443204505811758
2025-04-30,478.52,3472999.524676123,476.0,480.0,0.005266237565827931
2025-05-01,479.85,-4430108.04490851,,480.0,
2025-05-02,489.59,9726218.738275982,489.78,490.0,-0.0003880798218917824
2025-05-05,486.25,-2195966.0129057616,,487.0,
2025-05-06,482.08,-6881138.750495343,,483.0,
2025-05-07,484.02,9338111.681584375,483.0,484.0,0.002107350935911702
2025-05-08,489.18,-2211246.3793519824,250.0,490.0,0.4889406762336972
2025-05-09,488.26,-8831446.338992534,,488.0,
2025-05-12,508.19,-1833143.4052287454,,507.0,
2025-05-13,515.6,-1644993.4054468018,,516.0,
2025-05-14,519.3000000000001,629018.2876352576,521.0,520.0,-0.003273637589062067
2025-05-15,519.79,-7088782.076374311,,519.0,
2025-05-16,521.74,9464618.279194115,521.0,522.0,0.0014183309694484017
2025-05-19,521.7199999999999,10929344.98686663,521.0,522.0,0.001380050601855236
2025-05-20,520.2099999999999,-1548628.956672223,,521.0,
2025-05-21,514.0999999999999,-4547208.877693987,,515.0,
2025-05-22,514.98,-3515730.7588059036,,516.0,
2025-05-23,509.69,6795010.233152461,509.78,510.0,-0.00017657791991205435
2025-05-27,521.62,-1602855.4683955603,,522.0,
2025-05-28,519.87,1849266.7408079554,522.5,521.0,-0.005058957046954037
2025-05-29,520.0400000000001,-5807553.543355336,,520.0,
2025-05-30,520.0699999999999,-2185050.124701557,,521.0,
2025-06-02,524.1,-1474959.3097850191,,525.0,
2025-06-03,527.13,5153051.902325483,526.0,527.0,0.0021436837212831664
2025-06-04,529.63,9538998.34680244,529.78,530.0,-0.0002832165851631842
2025-06-05,525.98,-2005124.920591463,,526.0,
2025-06-06,530.5,-2551472.820064507,,531.0,
2025-06-09,530.94,-5148402.89644229,,532.0,
2025-06-10,534.31,315929.5796392993,539.78,535.0,-0.01023750257341249
2025-06-11,532.65,-1767466.2267308,,533.0,
2025-06-12,533.95,-6663347.047550724,,533.0,
2025-06-13,527.48,-7865933.114164136,,528.0,
2025-06-16,534.3000000000001,-14105294.63193257,,534.0,
2025-06-17,529.24,-2848912.6744597997,330.0,529.0,0.3764643639936513
2025-06-18,529.41,-7452808.946118878,334.78,530.0,0.36763566989667745
2025-06-20,527.12,-60446.13712971366,335.0,527.0,0.36447108817726515
2025-06-23,532.0600000000001,-6356426.9628012655,,531.0,
2025-06-24,540.4499999999999,-5788320.0994165065,,540.0,
2025-06-25,541.5799999999999,752918.9890151586,544.0,542.0,-0.004468407252852899
2025-06-26,546.65,-754333.3136389029,,547.0,
2025-06-27,548.54,234771.48131732078,554.0,549.0,-0.009953695263791222
2025-06-30,552.1800000000001,-581034.4991849847,,551.0,
2025-07-01,547.7199999999999,21983835.906387873,547.5,548.0,0.00040166508434951
2025-07-02,551.35,-3314666.3148682844,,550.0,
2025-07-03,556.64,3023062.6246738876,556.0,557.0,0.0011497556769186302
2025-07-07,551.97,-8513949.24399663,,552.0,
2025-07-08,552.9300000000001,-9205192.62374069,,552.0,
2025-07-09,556.8,-5694968.126836075,,556.0,
2025-07-10,556.14,-2280978.719040696,330.0,555.0,0.40662423130866326
2025-07-11,554.73,-8156920.093624262,,554.0,
2025-07-14,556.51,-8087022.917790196,,556.0,
2025-07-15,557.51,5172117.2411201205,557.0,558.0,0.0009147817976359005
2025-07-16,557.9,-4810696.884919828,,557.0,
2025-07-17,562.4300000000001,-5099401.147828491,,563.0,
2025-07-18,561.7,-11885961.14306016,,561.0,
2025-07-21,564.96,-13129571.669525081,,565.0,
2025-07-22,561.49,3166301.0383911333,561.0,562.0,0.0008726780530374701
2025-07-23,565.66,4514981.697807979,564.0,565.0,0.0029346250397764883
2025-07-24,565.9200000000001,-7739843.914345105,,565.0,
2025-07-25,567.1,-8510984.423349546,,567.0,
2025-07-28,568.66,15636620.725245873,568.0,569.0,0.0011606232194984142
2025-07-29,567.9,-10389658.502104314,375.0,569.0,0.3396724775488642
2025-07-30,572.9799999999999,2696259.471882788,572.0,573.0,0.0017103563824215587
2025-07-31,565.91,1838296.6406161846,567.0,566.0,-0.0019261013235320667
2025-08-01,554.81,-10599831.385415507,,554.0,
2025-08-04,565.31,-3093597.441691763,,564.0,
2025-08-05,561.12,20414646.856311347,560.0,561.0,0.001996007984031944
2025-08-06,567.5799999999999,3077520.7385308603,567.0,568.0,0.0010218823778144531
2025-08-07,570.1899999999999,-7627228.9268780695,,570.0,
2025-08-08,575.74,1785825.848551308,575.0,576.0,0.0012853023934414998
2025-08-11,573.0,-9601396.517795809,300.0,573.0,0.47643979057591623
2025-08-12,580.52,-3424793.7318115556,,580.0,
2025-08-13,580.84,-8289876.494450045,,580.0,
2025-08-14,579.9599999999999,-4483522.329299913,,581.0,
2025-08-15,577.86,-9457923.791230703,,577.0,
2025-08-18,577.93,-3923254.6661643567,,577.0,
2025-08-19,570.17,-4460933.553830191,,571.0,
2025-08-20,566.53,6673573.1413563425,566.0,567.0,0.0009355197429967923
2025-08-21,563.69,-10419439.90377773,,563.0,
2025-08-22,572.7800000000001,-7046789.043781491,,572.0,
2025-08-25,572.16,-1505191.3229385146,,573.0,
2025-08-26,573.7099999999999,-3057715.5332390335,,571.0,
2025-08-27,574.39,3013479.0409917086,574.0,573.0,0.0006789811800344476
2025-08-28,578.23,-1704525.5387743562,,577.0,
2025-08-29,570.49,-4167759.098542025,,571.0,
2025-09-02,567.4499999999999,6619341.271758401,566.0,567.0,0.0025552912150849094
2025-09-03,570.46,-1307706.6166078735,,571.0,
2025-09-04,576.12,2256314.270949812,575.0,575.0,0.0019440394362285713
2025-09-05,576.0999999999999,-3234733.474277129,,577.0,
2025-09-08,579.21,-11433547.644976266,,579.0,
2025-09-09,580.92,-6913886.924334733,,580.0,
2025-09-10,581.12,-9086206.759099368,355.0,582.0,0.38911068281938327
2025-09-11,584.73,-10834552.78553364,,584.0,
2025-09-12,586.88,16988004.492945295,586.0,587.0,0.001499454743729545
2025-09-15,591.3000000000001,-15112584.15081092,,591.0,
2025-09-16,591.4599999999999,-3430204.5997786294,,591.0,
2025-09-17,590.77,5522218.682493146,590.0,591.0,0.0013033837195524178
2025-09-18,595.71,-11507238.598316442,410.0,596.0,0.3117456480502258
2025-09-19,599.56,17729504.131181203,597.0,599.0,0.004269797851757865
2025-09-22,602.92,-8479588.265076011,,602.0,
2025-09-23,598.77,-13013102.745673837,,600.0,
2025-09-24,596.73,-14538169.30884638,,597.0,
2025-09-25,594.18,-5653572.452128533,,595.0,
2025-09-26,596.57,3812043.443477177,596.0,597.0,0.0009554620580988818
2025-09-29,599.1999999999999,-3974245.5930204066,,600.0,
2025-09-30,600.24,-1428314.912337964,,601.0,
2025-10-01,603.56,-1469354.8464922411,,604.0,
2025-10-02,606.5799999999999,2871367.669864982,606.0,607.0,0.0009561805532657313
2025-10-03,603.65,-8927150.91427263,320.0,603.0,0.46989149341505837
2025-10-06,608.4,-2316876.691490035,,609.0,
2025-10-07,605.4200000000001,-6545626.406766232,435.0,606.0,0.2814905354960194
2025-10-08,611.92,-6012823.656438741,,611.0,
2025-10-09,611.1099999999999,-5225300.20074195,,610.0,
2025-10-10,591.4599999999999,-7524375.497855291,330.0,590.0,0.44205863456531286
2025-10-13,602.51,-1814816.3993335506,,603.0,
2025-10-14,598.21,-3899455.8132110923,,599.0,
2025-10-15,602.91,9845034.426531892,602.5,603.0,0.0006800351627937307
2025-10-16,599.57,-1251249.5153762293,,600.0,
2025-10-17,604.83,-4844717.248823531,,604.0,
2025-10-20,612.44,-9943939.819353938,,612.0,
2025-10-21,611.37,-3144363.450799948,,612.0,
2025-10-22,606.1099999999999,-10114006.294037139,,606.0,
2025-10-23,611.61,242072.89755134602,618.0,612.0,-0.010447834404277214
2025-10-24,617.92,-10639196.278927399,,617.0,
2025-10-27,628.76,590929.0668428242,632.0,629.0,-0.005152999554679065
2025-10-28,633.63,-9540494.207193032,,633.0,
2025-10-29,635.12,2752318.962257208,636.0,635.0,-0.001385564932611153
2025-10-30,629.36,-1538897.0567453755,445.0,630.0,0.2929325028600483
2025-10-31,629.97,-6916576.809381261,,630.0,
2025-11-03,632.97,20899372.966676895,632.0,633.0,0.0015324580943805034
2025-11-04,619.99,235539.67755410142,620.0,620.0,-1.6129292407927394e-05
2025-11-05,624.71,-2011173.6261019395,,626.0,
2025-11-06,613.63,-8241557.17310055,,615.0,
2025-11-07,610.68,3044293.028820295,610.0,611.0,0.0011135128053971803
2025-11-10,624.1,-3229278.9878022294,,625.0,
2025-11-11,622.6500000000001,-5716128.7108002165,,622.0,
2025-11-12,621.95,-439742.7958065978,,623.0,
2025-11-13,610.02,6689232.518924712,609.78,610.0,0.0003934297236156341
2025-11-14,610.0699999999999,-8115307.976231619,,610.0,
2025-11-17,604.6,-12691382.517977854,,605.0,
2025-11-18,596.73,-7024964.074615591,330.0,598.0,0.4469860741038661
2025-11-19,600.4200000000001,3413698.9361958713,601.0,600.0,-0.0009659904733352107
2025-11-20,587.12,-5073385.210730453,,590.0,
2025-11-21,590.63,-4803256.025652099,,591.0,
2025-11-24,606.42,-3250670.537027673,,607.0,
2025-11-25,609.54,1955233.2884203105,609.78,610.0,-0.00039373954129344935
2025-11-26,615.77,-8097870.964979707,,615.0,
2025-11-28,619.4699999999999,2325474.1740006963,619.0,620.0,0.0007587130934507138
2025-12-01,617.4699999999999,501628.37183957227,622.0,618.0,-0.00733638881241208
2025-12-02,623.04,-5805059.64585174,,622.0,
2025-12-03,624.27,523957.3420548073,626.0,625.0,-0.0027712368045877877
2025-12-04,623.39,-2997581.596417127,,623.0,
2025-12-05,626.07,-14631592.420730595,,626.0,
2025-12-08,624.42,-2876442.4492574916,,625.0,
2025-12-09,625.31,-7328848.638498162,,625.0,
2025-12-10,627.8499999999999,14175928.781673744,627.0,628.0,0.0013538265509276247
2025-12-11,626.4399999999999,5313759.239791304,624.0,625.0,0.003895025860417504
2025-12-12,613.8299999999999,5854200.519425763,613.0,614.0,0.001352165909127816
2025-12-15,610.8399999999999,-10195951.795056634,435.0,611.0,0.2878658895946564
2025-12-16,611.59,10317180.021898467,611.0,612.0,0.0009646985725731811
2025-12-17,601.89,4847296.558558458,603.0,601.0,-0.0018441907989832256
2025-12-18,608.72,-16649690.638083193,484.78,610.0,0.20360756998291504
2025-12-19,616.89,20163558.809353646,616.0,617.0,0.0014427207443790406
2025-12-22,619.97,-9954341.243773064,,620.0,
2025-12-23,622.77,-6141391.192985923,,622.0,
2025-12-24,624.4699999999999,-1670564.2474339036,,624.0,
2025-12-26,624.5600000000001,5629281.640432709,624.0,625.0,0.0008966312283848775
2025-12-29,621.51,-533978.5642594073,,622.0,
2025-12-30,620.4399999999999,5115318.441162897,620.0,621.0,0.0007091741344851088
2025-12-31,615.0999999999999,-2552602.8562723673,,616.0,
2026-01-02,613.75,13592066.209275274,613.0,614.0,0.0012219959266802445
2026-01-05,618.35,-1309321.3857865264,309.78,619.0,0.499021589714563
2026-01-06,624.0899999999999,-2734088.9272682876,,622.0,
2026-01-07,624.7900000000001,-9189635.190338438,,626.0,
2026-01-08,621.1700000000001,-4609810.056603164,,622.0,
2026-01-09,627.48,-3401446.0126355044,,628.0,
2026-01-12,627.75,-16468034.340231998,,628.0,
2026-01-13,626.6,707714.796777966,630.0,627.0,-0.005426109160548958
2026-01-14,619.96,-4772640.664981503,314.78,620.0,0.4922575650041939
2026-01-15,621.9899999999999,-11247945.00957906,,623.0,
2026-01-16,621.85,-10594593.924397446,,621.0,
2026-01-20,608.8399999999999,-4927507.172009388,,609.0,
2026-01-21,617.56,2535497.1326069213,618.0,618.0,-0.0007124813783277003
2026-01-22,621.32,-508115.7736743883,,622.0,
2026-01-23,622.79,-16315419.256221673,,622.0,
2026-01-26,626.18,-21336887.057945352,,626.0,
2026-01-27,631.63,-24293532.830940213,,631.0,
2026-01-28,633.9499999999999,847607.8767807217,638.0,634.0,-0.00638851644451466
2026-01-29,629.77,4743802.310999134,629.0,630.0,0.0012226685932959364
2026-01-30,621.6999999999999,-3161547.344621251,,622.0,
2026-02-02,627.3100000000001,-9031917.18592723,,628.0,
2026-02-03,616.5600000000001,2574741.6205834905,617.0,617.0,-0.0007136369534188738
2026-02-04,607.2099999999999,-1581260.9850287272,,607.0,
2026-02-05,596.76,-8274271.394246629,,597.0,
2026-02-06,609.73,14220531.740618557,609.0,610.0,0.0011972512423532025
2026-02-09,615.54,-1705511.8196883681,,616.0,
2026-02-10,612.4699999999999,-8284619.681493752,,613.0,
2026-02-11,614.0600000000001,-4099787.459995574,,615.0,
2026-02-12,601.9399999999999,-5234810.717055453,,602.0,
2026-02-13,602.02,-9395720.575193003,,602.0,
2026-02-17,601.7099999999999,7934319.486259957,601.0,602.0,0.0011799704176429222
2026-02-18,606.0400000000001,-12705626.122257695,,607.0,
2026-02-19,603.9,-8682076.45081104,,603.0,
2026-02-20,609.1899999999999,-5300398.279887083,,610.0,
2026-02-23,601.8100000000001,15463199.618115637,601.0,602.0,0.001345939748425681
2026-02-24,608.37,-5099094.850941398,,609.0,
2026-02-25,617.17,4520338.357663962,616.0,615.0,0.0018957499554417083
2026-02-26,609.5600000000001,2766904.1519848406,609.0,610.0,0.0009186954524576073
2026-02-27,607.53,502595.0183475705,612.0,608.0,-0.007357661350056832
2026-03-02,608.19,-9419670.977990163,,609.0,
2026-03-03,602.02,-5063007.026682298,,603.0,
2026-03-04,611.65,8193718.941014892,611.0,612.0,0.0010626992561104836
2026-03-05,609.23,-952777.7593867737,305.0,610.0,0.4993680547576449
2026-03-06,600.06,2634991.697551048,599.0,600.0,0.0017664900176648094
2026-03-09,607.27,3743698.760545528,607.5,607.0,-0.0003787442159171673
2026-03-10,608.8199999999999,389132.55800828326,616.0,609.0,-0.011793305081961934
2026-03-11,607.72,10141300.761692414,607.5,608.0,0.00036200881985129214
