name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
M_RSI_DIV_10_20,4220,0.33364928909952607,-17004.99200000001,-327.0190769230771,-4.029618957345974,52,-17061.524999999325,-1177.4030000000257,500.28799999996727,81.15384615384616,-0.9494900117254855
P_SWEEP_FOLLOW,4582,0.30401571366215624,-17409.13100000001,-334.79098076923094,-3.7994611523352266,52,-17481.7109999994,-1367.535999999971,289.00399999999064,88.11538461538461,-0.9134843839022472
D_INSIDE_10_20,5365,0.37073625349487416,-17938.769000000342,-344.9763269230835,-3.3436661696179577,52,-18084.404999999697,-1284.196000000004,188.46300000000278,103.17307692307692,-0.9781902492047808
J_EMA_PULL_10_20,5202,0.3504421376393695,-18141.41999999986,-348.87346153845886,-3.4873933102652557,52,-18164.694999999432,-1411.2309999999939,248.51299999995769,100.03846153846153,-1.019190524108805
C_RANGE_BR_15_10_20,4956,0.3399919289749798,-20026.049000000156,-385.1163269230799,-4.040768563357577,52,-20106.558999999903,-1689.782000000009,257.2140000000381,95.3076923076923,-0.8783304644101064
J_EMA_PULL_8_16,5852,0.33578263841421735,-20271.219999999965,-389.83115384615314,-3.4639815447710123,52,-20298.10800000013,-1564.362999999985,171.91399999999763,112.53846153846153,-1.1152410665729728
P_SWEEP_REV_10_20,5824,0.2918956043956044,-20806.57499999983,-400.12644230768905,-3.5725575206043665,52,-20879.76000000095,-1254.3430000000035,217.5620000000157,112.0,-1.2506966558695323
D_INSIDE_8_16,5956,0.34805238415043654,-22409.754000000437,-430.9568076923161,-3.7625510409671654,52,-22563.182000001307,-1449.9289999999976,125.18600000000094,114.53846153846153,-1.2828878442828622
A_CONT_PULL_12_24,8092,0.356401384083045,-24060.966000000022,-462.71088461538505,-2.973426347009395,52,-24132.55900000134,-2010.416000000056,646.5309999999323,155.6153846153846,-0.846647788393345
G_BB_REV_10_20,5221,0.33116261252633594,-24223.49099999997,-465.8363653846148,-4.639626699865921,52,-24282.999000002386,-1686.392000000007,174.20000000003407,100.40384615384616,-1.1659740740754339
C_RANGE_BR_10_10_20,6005,0.3385512073272273,-24931.532000000057,-479.4525384615396,-4.151795503746887,52,-24989.092000000586,-1935.439000000036,211.73699999997893,115.48076923076923,-0.9269270782867576
P_SWEEP_REV_8_16,6778,0.3111537326645028,-25901.444999999876,-498.1047115384591,-3.821399380348167,52,-25995.87100000356,-1404.2549999999871,343.8780000000149,130.34615384615384,-1.2166315885709285
A_CONT_PULL_10_20,9138,0.34241628365068943,-26221.265999999843,-504.2551153846124,-2.8694753775443034,52,-26273.159000001287,-2135.6199999999935,390.7539999999601,175.73076923076923,-0.8241650713384462
B_MOM3_FADE_10_20,7532,0.34492830589484863,-26602.86999999991,-511.59365384615216,-3.531979553903334,52,-26580.51400000429,-1352.3760000000582,128.71600000001635,144.84615384615384,-1.4020170403869923
B_MOM3_10_20,6744,0.340005931198102,-27080.872999999774,-520.7860192307649,-4.015550563463786,52,-27207.882000001093,-1845.2039999999772,492.2519999999935,129.69230769230768,-1.1291739436285306
C_RANGE_FADE_10_10_20,7119,0.3378283466779042,-28261.101999999948,-543.4827307692298,-3.969813456946193,52,-28346.255000005047,-1466.5729999999933,413.9629999999944,136.90384615384616,-1.2490118099133631
B_MOM3_8_16,7515,0.32548236859614105,-29773.782999999843,-572.572749999997,-3.961913905522268,52,-29898.524000002297,-1857.9059999999877,101.60499999994234,144.51923076923077,-1.2177388754866203
A_CONT_PULL_8_16,10669,0.3177429937201237,-34995.53299999976,-672.9910192307647,-3.2801136938794415,52,-35063.18700000405,-2418.289000000004,63.16300000005652,205.17307692307693,-1.0703117007602
X_TREND_FOLLOW_10_20,13105,0.3377336894315147,-45904.41400000014,-882.777192307695,-3.5028167874857035,52,-45907.8150000027,-4130.49600000017,411.7750000001322,252.01923076923077,-0.9708635637305046
