name,family,tf,session,trades,trades_wk,usd_wk,usd_total,win_pct,max_dd,pos_years,n_years,yearly
DON_3min_N12_s12t40_rth,don,3min,rth,9221,58.8,-259.4,-40691.0,21.1,41328.0,0,4,"{""2023"": -4695.0, ""2024"": -8783.0, ""2025"": -16707.0, ""2026"": -10505.0}"
DON_3min_N20_s4t8_all,don,3min,all,27102,172.8,-796.3,-124898.0,23.9,124892.0,0,4,"{""2023"": -18191.0, ""2024"": -36330.0, ""2025"": -44372.0, ""2026"": -26006.0}"
DON_3min_N20_s4t8_rth,don,3min,rth,9795,62.4,-355.2,-55710.0,19.5,55717.0,0,4,"{""2023"": -8903.0, ""2024"": -16931.0, ""2025"": -19813.0, ""2026"": -10063.0}"
DON_3min_N20_s6t12_all,don,3min,all,24684,157.4,-718.3,-112673.0,27.1,112690.0,0,4,"{""2023"": -15716.0, ""2024"": -32799.0, ""2025"": -40324.0, ""2026"": -23834.0}"
DON_3min_N20_s6t12_rth,don,3min,rth,9452,60.3,-338.2,-53054.0,24.2,53070.0,0,4,"{""2023"": -7214.0, ""2024"": -15904.0, ""2025"": -19610.0, ""2026"": -10326.0}"
DON_3min_N20_s8t16_all,don,3min,all,22346,142.5,-612.3,-96045.0,29.2,96122.0,0,4,"{""2023"": -12232.0, ""2024"": -26339.0, ""2025"": -36289.0, ""2026"": -21184.0}"
DON_3min_N20_s8t16_rth,don,3min,rth,8971,57.2,-292.0,-45810.0,27.5,46132.0,0,4,"{""2023"": -5555.0, ""2024"": -12854.0, ""2025"": -18161.0, ""2026"": -9239.0}"
DON_3min_N20_s10t20_all,don,3min,all,20346,129.7,-538.8,-84518.0,30.3,84625.0,0,4,"{""2023"": -10639.0, ""2024"": -23381.0, ""2025"": -32496.0, ""2026"": -18003.0}"
DON_3min_N20_s10t20_rth,don,3min,rth,8535,54.4,-260.9,-40930.0,29.2,41348.0,0,4,"{""2023"": -5019.0, ""2024"": -11985.0, ""2025"": -15543.0, ""2026"": -8383.0}"
DON_3min_N20_s10t30_all,don,3min,all,18315,116.8,-425.2,-66691.0,23.4,67577.0,0,4,"{""2023"": -8213.0, ""2024"": -17582.0, ""2025"": -26668.0, ""2026"": -14228.0}"
DON_3min_N20_s10t30_rth,don,3min,rth,8005,51.0,-211.5,-33170.0,22.8,33817.0,0,4,"{""2023"": -3755.0, ""2024"": -9059.0, ""2025"": -12259.0, ""2026"": -8097.0}"
DON_3min_N20_s12t40_all,don,3min,all,15916,101.5,-374.6,-58763.0,21.8,59146.0,0,4,"{""2023"": -6644.0, ""2024"": -13566.0, ""2025"": -27094.0, ""2026"": -11459.0}"
DON_3min_N20_s12t40_rth,don,3min,rth,7345,46.8,-188.8,-29610.0,21.5,30160.0,0,4,"{""2023"": -2629.0, ""2024"": -6900.0, ""2025"": -12379.0, ""2026"": -7702.0}"
DON_3min_N40_s4t8_all,don,3min,all,18915,120.6,-562.8,-88287.0,23.6,88280.0,0,4,"{""2023"": -12781.0, ""2024"": -25905.0, ""2025"": -30863.0, ""2026"": -18738.0}"
DON_3min_N40_s4t8_rth,don,3min,rth,7057,45.0,-262.9,-41231.0,18.8,41221.0,0,4,"{""2023"": -6560.0, ""2024"": -12927.0, ""2025"": -14527.0, ""2026"": -7218.0}"
DON_3min_N40_s6t12_all,don,3min,all,17384,110.8,-506.8,-79494.0,27.1,79488.0,0,4,"{""2023"": -10829.0, ""2024"": -24044.0, ""2025"": -27862.0, ""2026"": -16759.0}"
DON_3min_N40_s6t12_rth,don,3min,rth,6827,43.5,-254.7,-39953.0,23.6,39939.0,0,4,"{""2023"": -5173.0, ""2024"": -12307.0, ""2025"": -14971.0, ""2026"": -7503.0}"
DON_3min_N40_s8t16_all,don,3min,all,15891,101.3,-431.5,-67677.0,29.3,67832.0,0,4,"{""2023"": -8524.0, ""2024"": -19585.0, ""2025"": -24384.0, ""2026"": -15185.0}"
DON_3min_N40_s8t16_rth,don,3min,rth,6495,41.4,-224.5,-35217.0,26.9,35400.0,0,4,"{""2023"": -4430.0, ""2024"": -9811.0, ""2025"": -14159.0, ""2026"": -6816.0}"
DON_3min_N40_s10t20_all,don,3min,all,14623,93.2,-359.6,-56409.0,30.7,56648.0,0,4,"{""2023"": -6620.0, ""2024"": -16219.0, ""2025"": -21179.0, ""2026"": -12391.0}"
DON_3min_N40_s10t20_rth,don,3min,rth,6189,39.5,-196.9,-30891.0,28.9,31169.0,0,4,"{""2023"": -3725.0, ""2024"": -9199.0, ""2025"": -11860.0, ""2026"": -6107.0}"
DON_3min_N40_s10t30_all,don,3min,all,13365,85.2,-295.6,-46369.0,23.6,47062.0,0,4,"{""2023"": -5986.0, ""2024"": -12695.0, ""2025"": -18733.0, ""2026"": -8956.0}"
DON_3min_N40_s10t30_rth,don,3min,rth,5827,37.1,-160.5,-25178.0,22.5,25633.0,0,4,"{""2023"": -2940.0, ""2024"": -6715.0, ""2025"": -10013.0, ""2026"": -5510.0}"
DON_3min_N40_s12t40_all,don,3min,all,11880,75.7,-275.1,-43159.0,21.9,43493.0,0,4,"{""2023"": -4986.0, ""2024"": -11639.0, ""2025"": -19033.0, ""2026"": -7501.0}"
DON_3min_N40_s12t40_rth,don,3min,rth,5383,34.3,-138.6,-21737.0,21.5,22018.0,0,4,"{""2023"": -1807.0, ""2024"": -5201.0, ""2025"": -9789.0, ""2026"": -4941.0}"
FADE_3min_e20d8_s5t8_all,fade,3min,all,89478,570.4,-2638.7,-413891.0,29.6,413879.0,0,4,"{""2023"": -42559.0, ""2024"": -113028.0, ""2025"": -158357.0, ""2026"": -99948.0}"
FADE_3min_e20d8_s5t8_rth,fade,3min,rth,41663,265.6,-1475.0,-231357.0,26.1,231373.0,0,4,"{""2023"": -28444.0, ""2024"": -67901.0, ""2025"": -86122.0, ""2026"": -48890.0}"
FADE_3min_e20d8_s6t12_all,fade,3min,all,81590,520.2,-2182.0,-342262.0,28.1,342248.0,0,4,"{""2023"": -35044.0, ""2024"": -93178.0, ""2025"": -131749.0, ""2026"": -82291.0}"
FADE_3min_e20d8_s6t12_rth,fade,3min,rth,39297,250.5,-1237.5,-194110.0,26.1,194134.0,0,4,"{""2023"": -22906.0, ""2024"": -54961.0, ""2025"": -73448.0, ""2026"": -42795.0}"
FADE_3min_e20d8_s8t16_all,fade,3min,all,70873,451.8,-1807.5,-283514.0,29.8,283602.0,0,4,"{""2023"": -29325.0, ""2024"": -74356.0, ""2025"": -108438.0, ""2026"": -71395.0}"
FADE_3min_e20d8_s8t16_rth,fade,3min,rth,35588,226.9,-1062.6,-166683.0,28.4,166722.0,0,4,"{""2023"": -20515.0, ""2024"": -44529.0, ""2025"": -63187.0, ""2026"": -38452.0}"
FADE_3min_e20d8_s10t20_all,fade,3min,all,61154,389.9,-1546.5,-242584.0,30.6,242911.0,0,4,"{""2023"": -23155.0, ""2024"": -66857.0, ""2025"": -90732.0, ""2026"": -61840.0}"
FADE_3min_e20d8_s10t20_rth,fade,3min,rth,31815,202.8,-890.1,-139622.0,29.9,139877.0,0,4,"{""2023"": -16881.0, ""2024"": -39902.0, ""2025"": -49819.0, ""2026"": -33021.0}"
FADE_3min_e20d12_s5t8_all,fade,3min,all,70322,448.3,-2192.3,-343880.0,28.6,343882.0,0,4,"{""2023"": -32399.0, ""2024"": -89989.0, ""2025"": -132771.0, ""2026"": -88721.0}"
FADE_3min_e20d12_s5t8_rth,fade,3min,rth,35765,228.0,-1315.6,-206363.0,25.2,206379.0,0,4,"{""2023"": -23862.0, ""2024"": -59147.0, ""2025"": -77825.0, ""2026"": -45529.0}"
FADE_3min_e20d12_s6t12_all,fade,3min,all,65654,418.6,-1834.3,-287721.0,27.6,287737.0,0,4,"{""2023"": -26812.0, ""2024"": -74081.0, ""2025"": -112022.0, ""2026"": -74806.0}"
FADE_3min_e20d12_s6t12_rth,fade,3min,rth,34162,217.8,-1103.4,-173075.0,25.7,173082.0,0,4,"{""2023"": -19865.0, ""2024"": -47062.0, ""2025"": -66490.0, ""2026"": -39657.0}"
FADE_3min_e20d12_s8t16_all,fade,3min,all,59081,376.7,-1557.7,-244342.0,29.5,244353.0,0,4,"{""2023"": -23832.0, ""2024"": -58909.0, ""2025"": -95154.0, ""2026"": -66447.0}"
FADE_3min_e20d12_s8t16_rth,fade,3min,rth,31535,201.0,-943.9,-148061.0,28.4,148082.0,0,4,"{""2023"": -18344.0, ""2024"": -37054.0, ""2025"": -57166.0, ""2026"": -35498.0}"
FADE_3min_e20d12_s10t20_all,fade,3min,all,52756,336.3,-1329.6,-208558.0,30.6,208693.0,0,4,"{""2023"": -18432.0, ""2024"": -53089.0, ""2025"": -80524.0, ""2026"": -56512.0}"
FADE_3min_e20d12_s10t20_rth,fade,3min,rth,28668,182.8,-796.8,-124981.0,29.9,125332.0,0,4,"{""2023"": -14251.0, ""2024"": -33776.0, ""2025"": -48105.0, ""2026"": -28848.0}"
FADE_3min_e20d18_s5t8_all,fade,3min,all,49245,313.9,-1677.9,-263183.0,26.9,263171.0,0,4,"{""2023"": -22466.0, ""2024"": -63472.0, ""2025"": -104362.0, ""2026"": -72883.0}"
FADE_3min_e20d18_s5t8_rth,fade,3min,rth,27894,177.8,-1089.6,-170910.0,23.9,170926.0,0,4,"{""2023"": -18638.0, ""2024"": -46245.0, ""2025"": -66179.0, ""2026"": -39848.0}"
FADE_3min_e20d18_s6t12_all,fade,3min,all,46978,299.5,-1405.5,-220460.0,26.8,220462.0,0,4,"{""2023"": -18253.0, ""2024"": -51487.0, ""2025"": -89543.0, ""2026"": -61177.0}"
FADE_3min_e20d18_s6t12_rth,fade,3min,rth,26978,172.0,-921.4,-144530.0,24.9,144591.0,0,4,"{""2023"": -15050.0, ""2024"": -37388.0, ""2025"": -57439.0, ""2026"": -34653.0}"
FADE_3min_e20d18_s8t16_all,fade,3min,all,43397,276.7,-1216.9,-190882.0,29.0,190919.0,0,4,"{""2023"": -15847.0, ""2024"": -42968.0, ""2025"": -78347.0, ""2026"": -53720.0}"
FADE_3min_e20d18_s8t16_rth,fade,3min,rth,25309,161.4,-801.2,-125667.0,27.8,125713.0,0,4,"{""2023"": -13137.0, ""2024"": -30291.0, ""2025"": -50568.0, ""2026"": -31671.0}"
FADE_3min_e20d18_s10t20_all,fade,3min,all,39941,254.6,-1087.2,-170530.0,30.1,170774.0,0,4,"{""2023"": -15097.0, ""2024"": -40555.0, ""2025"": -69770.0, ""2026"": -45108.0}"
FADE_3min_e20d18_s10t20_rth,fade,3min,rth,23496,149.8,-714.9,-112135.0,29.2,112248.0,0,4,"{""2023"": -12225.0, ""2024"": -29642.0, ""2025"": -44816.0, ""2026"": -25452.0}"
FADE_3min_e20d25_s5t8_all,fade,3min,all,33403,213.0,-1237.5,-194105.0,25.1,194119.0,0,4,"{""2023"": -13917.0, ""2024"": -45110.0, ""2025"": -78564.0, ""2026"": -56514.0}"
FADE_3min_e20d25_s5t8_rth,fade,3min,rth,20611,131.4,-845.2,-132581.0,22.7,132597.0,0,4,"{""2023"": -12440.0, ""2024"": -35212.0, ""2025"": -53086.0, ""2026"": -31843.0}"
FADE_3min_e20d25_s6t12_all,fade,3min,all,32367,206.3,-1043.3,-163653.0,25.8,163688.0,0,4,"{""2023"": -11696.0, ""2024"": -36028.0, ""2025"": -67827.0, ""2026"": -48103.0}"
FADE_3min_e20d25_s6t12_rth,fade,3min,rth,20146,128.4,-727.9,-114177.0,24.1,114267.0,0,4,"{""2023"": -10446.0, ""2024"": -28919.0, ""2025"": -46627.0, ""2026"": -28185.0}"
FADE_3min_e20d25_s8t16_all,fade,3min,all,30588,195.0,-899.3,-141055.0,28.6,141250.0,0,4,"{""2023"": -9423.0, ""2024"": -30419.0, ""2025"": -59370.0, ""2026"": -41844.0}"
FADE_3min_e20d25_s8t16_rth,fade,3min,rth,19213,122.5,-629.5,-98737.0,27.5,98865.0,0,4,"{""2023"": -8607.0, ""2024"": -24000.0, ""2025"": -40856.0, ""2026"": -25274.0}"
FADE_3min_e20d25_s10t20_all,fade,3min,all,28658,182.7,-825.1,-129419.0,29.7,129594.0,0,4,"{""2023"": -10094.0, ""2024"": -30179.0, ""2025"": -53293.0, ""2026"": -35853.0}"
FADE_3min_e20d25_s10t20_rth,fade,3min,rth,18132,115.6,-570.6,-89499.0,29.0,89692.0,0,4,"{""2023"": -8890.0, ""2024"": -23437.0, ""2025"": -35886.0, ""2026"": -21286.0}"
FADE_3min_e50d8_s5t8_all,fade,3min,all,102985,656.6,-2941.0,-461322.0,30.1,461335.0,0,4,"{""2023"": -50252.0, ""2024"": -128381.0, ""2025"": -173748.0, ""2026"": -108941.0}"
FADE_3min_e50d8_s5t8_rth,fade,3min,rth,45396,289.4,-1548.3,-242864.0,26.8,242866.0,0,4,"{""2023"": -31200.0, ""2024"": -72685.0, ""2025"": -87514.0, ""2026"": -51465.0}"
FADE_3min_e50d8_s6t12_all,fade,3min,all,90604,577.6,-2385.6,-374201.0,28.3,374213.0,0,4,"{""2023"": -39884.0, ""2024"": -102880.0, ""2025"": -142851.0, ""2026"": -88586.0}"
FADE_3min_e50d8_s6t12_rth,fade,3min,rth,42184,268.9,-1266.7,-198699.0,26.7,198748.0,0,4,"{""2023"": -24501.0, ""2024"": -57448.0, ""2025"": -73637.0, ""2026"": -43113.0}"
FADE_3min_e50d8_s8t16_all,fade,3min,all,76063,484.9,-1908.5,-299368.0,29.9,299367.0,0,4,"{""2023"": -30742.0, ""2024"": -79112.0, ""2025"": -113263.0, ""2026"": -76252.0}"
FADE_3min_e50d8_s8t16_rth,fade,3min,rth,37569,239.5,-1044.1,-163767.0,29.1,163825.0,0,4,"{""2023"": -18992.0, ""2024"": -46116.0, ""2025"": -60179.0, ""2026"": -38480.0}"
FADE_3min_e50d8_s10t20_all,fade,3min,all,64107,408.7,-1569.8,-246241.0,30.8,246313.0,0,4,"{""2023"": -24674.0, ""2024"": -68079.0, ""2025"": -88367.0, ""2026"": -65121.0}"
FADE_3min_e50d8_s10t20_rth,fade,3min,rth,33035,210.6,-882.5,-138423.0,30.2,138650.0,0,4,"{""2023"": -15986.0, ""2024"": -41091.0, ""2025"": -47902.0, ""2026"": -33444.0}"
FADE_3min_e50d12_s5t8_all,fade,3min,all,89604,571.2,-2621.6,-411221.0,29.7,411226.0,0,4,"{""2023"": -42665.0, ""2024"": -109449.0, ""2025"": -157606.0, ""2026"": -101501.0}"
FADE_3min_e50d12_s5t8_rth,fade,3min,rth,41739,266.1,-1448.2,-227163.0,26.5,227165.0,0,4,"{""2023"": -28351.0, ""2024"": -66193.0, ""2025"": -83390.0, ""2026"": -49229.0}"
FADE_3min_e50d12_s6t12_all,fade,3min,all,80179,511.2,-2136.2,-335072.0,28.2,335073.0,0,4,"{""2023"": -34031.0, ""2024"": -89793.0, ""2025"": -130006.0, ""2026"": -81243.0}"
FADE_3min_e50d12_s6t12_rth,fade,3min,rth,39050,249.0,-1181.2,-185282.0,26.6,185309.0,0,4,"{""2023"": -21818.0, ""2024"": -52919.0, ""2025"": -69842.0, ""2026"": -40703.0}"
FADE_3min_e50d12_s8t16_all,fade,3min,all,68710,438.0,-1777.4,-278803.0,29.7,278784.0,0,4,"{""2023"": -27146.0, ""2024"": -71201.0, ""2025"": -108816.0, ""2026"": -71640.0}"
