per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,combo,logic,sess,exit
-77.8,-60641.0,-5.01,60961.0,0,4,6620,-24683.0,3min,"donch(6,)&donch(12,)",and,rth,trail0/0/2.0
-25.8,-20070.0,-1.27,22284.0,0,4,4283,-11082.0,3min,"donch(6,)&donch(12,)",and,rth,trail0/0/3.0
5.4,4196.0,0.23,8335.0,2,4,2216,-1975.0,3min,"donch(6,)&donch(12,)",and,rth,trail0/0/5.0
21.4,16559.0,1.25,4796.0,4,4,774,337.0,3min,"donch(6,)&donch(12,)",and,morning,eod0/0/0
-32.0,-24800.0,-6.48,25005.0,0,4,6594,-9410.0,3min,"donch(6,)&donch(12,)",and,morning,st10/20/0
-23.3,-18089.0,-3.78,18894.0,0,4,5385,-7478.0,3min,"donch(6,)&donch(12,)",and,morning,st10/40/0
-18.2,-14104.0,-2.51,15000.0,0,4,4854,-5889.0,3min,"donch(6,)&donch(12,)",and,morning,st10/60/0
-32.6,-25300.0,-4.82,25365.0,0,4,6130,-12502.0,3min,"donch(6,)&donch(12,)",and,morning,st20/20/0
-19.9,-15459.0,-2.47,15919.0,0,4,4611,-8264.0,3min,"donch(6,)&donch(12,)",and,morning,st20/40/0
-15.7,-12184.0,-1.73,13143.0,0,4,3953,-6360.0,3min,"donch(6,)&donch(12,)",and,morning,st20/60/0
-27.4,-21245.0,-3.4,21761.0,0,4,5842,-12044.0,3min,"donch(6,)&donch(12,)",and,morning,st30/20/0
-13.2,-10250.0,-1.36,10757.0,1,4,4192,-6255.0,3min,"donch(6,)&donch(12,)",and,morning,st30/40/0
-13.1,-10150.0,-1.26,10778.0,0,4,3471,-5440.0,3min,"donch(6,)&donch(12,)",and,morning,st30/60/0
-35.4,-27471.0,-2.89,28478.0,0,4,3243,-13532.0,3min,"donch(6,)&donch(12,)",and,morning,trail0/0/2.0
-3.0,-2313.0,-0.19,9179.0,2,4,2227,-4116.0,3min,"donch(6,)&donch(12,)",and,morning,trail0/0/3.0
13.4,10398.0,0.79,4708.0,3,4,1321,-504.0,3min,"donch(6,)&donch(12,)",and,morning,trail0/0/5.0
39.8,30769.0,1.72,3914.0,4,4,774,31.0,3min,"donch(6,)&donch(12,)",or,rth,eod0/0/0
-74.4,-57771.0,-8.86,58028.0,0,4,15915,-21362.0,3min,"donch(6,)&donch(12,)",or,rth,st10/20/0
-55.1,-42727.0,-5.6,43346.0,0,4,12622,-16148.0,3min,"donch(6,)&donch(12,)",or,rth,st10/40/0
-43.4,-33731.0,-3.87,34082.0,0,4,10968,-13797.0,3min,"donch(6,)&donch(12,)",or,rth,st10/60/0
-70.5,-54884.0,-6.36,54897.0,0,4,14318,-24329.0,3min,"donch(6,)&donch(12,)",or,rth,st20/20/0
-41.2,-32043.0,-3.22,32390.0,0,4,10280,-13948.0,3min,"donch(6,)&donch(12,)",or,rth,st20/40/0
-32.4,-25250.0,-2.34,25167.0,0,4,8416,-11001.0,3min,"donch(6,)&donch(12,)",or,rth,st20/60/0
-57.7,-44944.0,-4.43,45352.0,0,4,13038,-23266.0,3min,"donch(6,)&donch(12,)",or,rth,st30/20/0
-26.0,-20252.0,-1.77,21980.0,0,4,8911,-11234.0,3min,"donch(6,)&donch(12,)",or,rth,st30/40/0
-20.2,-15774.0,-1.33,16260.0,0,4,7015,-7862.0,3min,"donch(6,)&donch(12,)",or,rth,st30/60/0
-97.5,-75973.0,-5.21,76152.0,0,4,8126,-30505.0,3min,"donch(6,)&donch(12,)",or,rth,trail0/0/2.0
-28.3,-22043.0,-1.4,24337.0,0,4,4630,-9147.0,3min,"donch(6,)&donch(12,)",or,rth,trail0/0/3.0
12.1,9401.0,0.51,6853.0,3,4,2286,-1429.0,3min,"donch(6,)&donch(12,)",or,rth,trail0/0/5.0
24.4,18914.0,1.42,3789.0,4,4,774,118.0,3min,"donch(6,)&donch(12,)",or,morning,eod0/0/0
-37.8,-29233.0,-6.69,29483.0,0,4,8332,-10175.0,3min,"donch(6,)&donch(12,)",or,morning,st10/20/0
-26.4,-20423.0,-3.78,20958.0,0,4,6688,-7588.0,3min,"donch(6,)&donch(12,)",or,morning,st10/40/0
-20.5,-15923.0,-2.51,16461.0,0,4,5941,-6557.0,3min,"donch(6,)&donch(12,)",or,morning,st10/60/0
-38.4,-29766.0,-4.99,29908.0,0,4,7642,-13459.0,3min,"donch(6,)&donch(12,)",or,morning,st20/20/0
-20.9,-16202.0,-2.29,16439.0,0,4,5625,-8137.0,3min,"donch(6,)&donch(12,)",or,morning,st20/40/0
-19.1,-14792.0,-1.88,15314.0,0,4,4740,-8414.0,3min,"donch(6,)&donch(12,)",or,morning,st20/60/0
-31.6,-24525.0,-3.5,25540.0,0,4,7121,-12897.0,3min,"donch(6,)&donch(12,)",or,morning,st30/20/0
-14.0,-10864.0,-1.31,12438.0,2,4,4975,-6766.0,3min,"donch(6,)&donch(12,)",or,morning,st30/40/0
-12.9,-9977.0,-1.13,10822.0,1,4,4064,-5280.0,3min,"donch(6,)&donch(12,)",or,morning,st30/60/0
-49.3,-38238.0,-3.23,39421.0,0,4,4019,-18077.0,3min,"donch(6,)&donch(12,)",or,morning,trail0/0/2.0
-3.8,-2938.0,-0.24,9905.0,1,4,2419,-2729.0,3min,"donch(6,)&donch(12,)",or,morning,trail0/0/3.0
18.8,14588.0,1.1,3557.0,4,4,1352,490.0,3min,"donch(6,)&donch(12,)",or,morning,trail0/0/5.0
43.0,33259.0,1.87,4922.0,4,4,773,502.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,eod0/0/0
-68.8,-53251.0,-8.51,53551.0,0,4,14261,-19319.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st10/20/0
-52.5,-40564.0,-5.57,41254.0,0,4,11476,-14902.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st10/40/0
-41.1,-31864.0,-3.78,32351.0,0,4,10139,-13214.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st10/60/0
-66.4,-51572.0,-6.22,51642.0,0,4,13168,-23549.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st20/20/0
-38.9,-30166.0,-3.15,30484.0,0,4,9665,-13093.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st20/40/0
-31.8,-24692.0,-2.36,25049.0,0,4,8027,-11281.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st20/60/0
-56.5,-43897.0,-4.43,44250.0,0,4,12310,-21965.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st30/20/0
-28.6,-22206.0,-1.99,23500.0,0,4,8580,-11252.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st30/40/0
-23.1,-17936.0,-1.54,18673.0,0,4,6816,-8765.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,st30/60/0
-90.6,-70363.0,-4.87,70708.0,0,4,7050,-27299.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,trail0/0/2.0
-25.4,-19728.0,-1.27,22049.0,0,4,4238,-9367.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,trail0/0/3.0
10.4,8064.0,0.44,7743.0,3,4,2183,-1478.0,3min,"donch(6,)&mom(3, 0.001)",and,rth,trail0/0/5.0
23.1,17889.0,1.34,4676.0,3,4,773,-395.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,eod0/0/0
-36.6,-28273.0,-6.66,28550.0,0,4,7751,-9497.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st10/20/0
-25.7,-19831.0,-3.78,20334.0,0,4,6293,-7207.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st10/40/0
-20.6,-15951.0,-2.58,16497.0,0,4,5650,-6608.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st10/60/0
-37.9,-29348.0,-5.04,29485.0,0,4,7200,-13367.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st20/20/0
-20.0,-15505.0,-2.24,15840.0,0,4,5381,-7736.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st20/40/0
-17.9,-13830.0,-1.79,14500.0,0,4,4574,-8074.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st20/60/0
-30.4,-23504.0,-3.38,24391.0,0,4,6805,-12382.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st30/20/0
-13.9,-10773.0,-1.32,12600.0,2,4,4831,-6424.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st30/40/0
-13.5,-10471.0,-1.2,11403.0,0,4,3974,-5705.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,st30/60/0
-46.6,-36052.0,-3.05,37628.0,0,4,3667,-16776.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,trail0/0/2.0
-3.1,-2428.0,-0.2,9797.0,1,4,2307,-2765.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,trail0/0/3.0
19.0,14681.0,1.11,3690.0,4,4,1332,118.0,3min,"donch(6,)&mom(3, 0.001)",and,morning,trail0/0/5.0
27.8,21538.0,1.17,5622.0,4,4,774,1298.0,3min,"donch(6,)&mom(3, 0.001)",or,rth,eod0/0/0
