phase,name,n,tr_per_day,wr,per_day,per_trade,dd,sharpe,n_emit,n_filt
TRACK1_THR_SWEEP,T1_MLP_t455_CANON_236_s10t20,806,100.75,0.3933,7.65,0.076,1065.75,0.024,3859,2420
TRACK1_THR_SWEEP,T1_MLP_t460_CANON_236_s10t20,783,97.88,0.3870,-15.31,-0.156,928.74,-0.048,3730,2555
TRACK1_THR_SWEEP,T1_MLP_t465_CANON_236_s10t20,765,95.62,0.3908,-4.04,-0.042,985.98,-0.012,3590,2701
TRACK1_THR_SWEEP,T1_MLP_t470_CANON_236_s10t20,731,91.38,0.3748,-65.93,-0.722,1091.01,-0.241,3439,2860
TRACK1_THR_SWEEP,T1_MLP_t475_CANON_236_s10t20,707,88.38,0.3720,-103.61,-1.172,1306.70,-0.345,3272,3037
TRACK1_THR_SWEEP,T1_MLP_t480_CANON_236_s10t20,680,85.00,0.3838,-39.53,-0.465,818.67,-0.162,3100,3215
TRACK1_THR_SWEEP,T1_MLP_t485_CANON_236_s10t20,643,80.38,0.3810,-64.69,-0.805,668.99,-0.243,2912,3414
TRACK1_THR_SWEEP,T1_MLP_t490_CANON_236_s10t20,615,76.88,0.3919,-13.10,-0.170,654.47,-0.050,2721,3620
TRACK1_THR_SWEEP,T1_MLP_t495_CANON_236_s10t20,573,71.62,0.3787,-52.60,-0.734,587.69,-0.209,2487,3868
TRACK1_THR_SWEEP,T1_MLP_t500_CANON_236_s10t20,530,66.25,0.3925,-12.23,-0.185,493.87,-0.052,2271,4097
TRACK1_THR_SWEEP,T1_MLP_t505_CANON_236_s10t20,475,59.38,0.3874,-32.13,-0.541,651.13,-0.160,2076,4299
TRACK1_THR_SWEEP,T1_MLP_t510_CANON_236_s10t20,448,56.00,0.3795,-45.37,-0.810,727.12,-0.325,1892,4489
TRACK1_THR_SWEEP,T1_MLP_t515_CANON_236_s10t20,404,50.50,0.3812,-36.78,-0.728,629.67,-0.259,1702,4693
TRACK1_THR_SWEEP,T1_MLP_t520_CANON_236_s10t20,375,46.88,0.3867,-28.35,-0.605,630.89,-0.225,1564,4844
TRACK1_THR_SWEEP,T1_MLP_t525_CANON_236_s10t20,340,42.50,0.3765,-47.54,-1.119,558.62,-0.399,1437,4973
TRACK1_THR_SWEEP,T1_MLP_t530_CANON_236_s10t20,319,39.88,0.3762,-38.78,-0.973,653.60,-0.312,1313,5108
TRACK1_THR_SWEEP,T1_MLP_t535_CANON_236_s10t20,291,36.38,0.3711,-41.00,-1.127,599.17,-0.295,1200,5226
TRACK1_THR_SWEEP,T1_MLP_t540_CANON_236_s10t20,268,33.50,0.3881,-5.22,-0.156,359.76,-0.035,1095,5335
TRACK1_THR_SWEEP,T1_MLP_t545_CANON_236_s10t20,243,30.38,0.3745,-31.27,-1.029,425.88,-0.339,996,5441
TRACK1_THR_SWEEP,T1_MLP_t550_CANON_236_s10t20,216,27.00,0.3657,-44.61,-1.652,500.97,-0.389,904,5536
TRACK1_THR_SWEEP,T1_MLP_t555_CANON_236_s10t20,203,25.38,0.3842,-21.68,-0.855,332.24,-0.181,816,5630
TRACK1_THR_SWEEP,T1_MLP_t560_CANON_236_s10t20,192,24.00,0.3958,-5.18,-0.216,253.36,-0.039,741,5707
TRACK1_THR_SWEEP,T1_MLP_t565_CANON_236_s10t20,175,21.88,0.3886,-8.13,-0.372,284.13,-0.049,669,5781
TRACK1_THR_SWEEP,T1_MLP_t570_CANON_236_s10t20,162,20.25,0.3889,-6.04,-0.298,269.70,-0.043,596,5856
TRACK1_THR_SWEEP,T1_MLP_t575_CANON_236_s10t20,139,17.38,0.3741,-20.77,-1.195,232.77,-0.163,539,5918
TRACK1_THR_SWEEP,T1_MLP_t580_CANON_236_s10t20,129,16.12,0.3798,-15.17,-0.941,230.04,-0.107,491,5968
TRACK1_THR_SWEEP,T1_MLP_t585_CANON_236_s10t20,116,14.50,0.4052,4.02,0.277,201.80,0.033,441,6024
TRACK1_THR_SWEEP,T1_MLP_t590_CANON_236_s10t20,109,13.62,0.4037,-0.76,-0.056,172.50,-0.006,393,6075
TRACK1_THR_SWEEP,T1_MLP_t595_CANON_236_s10t20,97,12.12,0.4124,13.31,1.098,218.20,0.115,352,6118
TRACK1_THR_SWEEP,T1_MLP_t600_CANON_236_s10t20,82,10.25,0.3415,-28.37,-2.767,233.67,-0.291,310,6163
TRACK2_MODELS,T2_WMLP_t400_CANON_236_s10t20,1120,140.00,0.3777,-117.07,-0.836,1606.31,-0.346,5442,754
TRACK2_MODELS,T2_WMLP_t450_CANON_236_s10t20,879,109.88,0.3766,-104.27,-0.949,1629.05,-0.323,4009,2272
TRACK2_MODELS,T2_WMLP_t480_CANON_236_s10t20,634,79.25,0.3659,-146.34,-1.847,1208.85,-0.678,2710,3660
TRACK2_MODELS,T2_WMLP_t500_CANON_236_s10t20,443,55.38,0.3454,-162.90,-2.942,1339.89,-1.018,1688,4738
TRACK2_MODELS,T2_WMLP_t520_CANON_236_s10t20,214,26.75,0.3785,-30.85,-1.153,727.70,-0.225,768,5696
TRACK2_MODELS,T2_WMLP_t550_CANON_236_s10t20,36,4.50,0.3611,-8.07,-1.793,140.51,-0.149,159,6333
TRACK2_MODELS,T2_WMLP_t580_CANON_236_s10t20,5,0.62,0.0000,-14.32,-22.910,114.55,-1.443,32,6465
TRACK2_MODELS,T2_WMLP_t600_CANON_236_s10t20,4,0.50,0.0000,-11.66,-23.315,93.26,-1.390,19,6480
TRACK2_MODELS,T2_WMLP_t650_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t400_CANON_236_s10t20,717,89.62,0.3975,29.31,0.327,782.82,0.115,3103,3231
TRACK2_MODELS,T2_LGB_t450_CANON_236_s10t20,1,0.12,0.0000,-2.86,-22.910,22.91,0.000,1,6498
TRACK2_MODELS,T2_LGB_t480_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t500_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t520_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t550_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t580_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t600_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_LGB_t650_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_ENS_t400_CANON_236_s10t20,1140,142.50,0.3763,-109.25,-0.767,1651.20,-0.263,5544,639
TRACK2_MODELS,T2_ENS_t450_CANON_236_s10t20,626,78.25,0.3770,-79.76,-1.019,878.96,-0.351,2916,3429
TRACK2_MODELS,T2_ENS_t480_CANON_236_s10t20,271,33.88,0.3764,-31.34,-0.925,424.24,-0.177,1046,5395
TRACK2_MODELS,T2_ENS_t500_CANON_236_s10t20,122,15.25,0.3607,-33.24,-2.180,382.56,-0.297,414,6060
TRACK2_MODELS,T2_ENS_t520_CANON_236_s10t20,42,5.25,0.3571,-9.40,-1.790,317.54,-0.107,125,6367
TRACK2_MODELS,T2_ENS_t550_CANON_236_s10t20,2,0.25,0.0000,-5.73,-22.910,45.82,-724477.812,7,6491
TRACK2_MODELS,T2_ENS_t580_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_ENS_t600_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK2_MODELS,T2_ENS_t650_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK3_ALT_BASES,T3_CANON_236_s8t16_MLP_t450_CANON_236_s8t16,941,117.62,0.3698,-138.64,-1.179,1198.45,-0.866,4018,2259
TRACK3_ALT_BASES,T3_CANON_236_s8t16_MLP_t500_CANON_236_s8t16,582,72.75,0.3746,-73.79,-1.014,855.76,-0.476,2277,4097
TRACK3_ALT_BASES,T3_CANON_236_s8t16_MLP_t520_CANON_236_s8t16,406,50.75,0.3522,-114.86,-2.263,948.96,-1.162,1568,4845
TRACK3_ALT_BASES,T3_CANON_236_s8t16_MLP_t550_CANON_236_s8t16,234,29.25,0.3419,-79.33,-2.712,668.21,-0.708,905,5537
TRACK3_ALT_BASES,T3_CANON_236_s8t16_MLP_t600_CANON_236_s8t16,86,10.75,0.3140,-40.62,-3.778,324.93,-0.450,310,6164
TRACK3_ALT_BASES,T3_IMP3_236_s8t16_MLP_t450_IMP3_236_s8t16,987,123.38,0.3810,-91.66,-0.743,900.04,-0.479,4457,2568
TRACK3_ALT_BASES,T3_IMP3_236_s8t16_MLP_t500_IMP3_236_s8t16,608,76.00,0.3849,-37.29,-0.491,528.68,-0.197,2546,4608
TRACK3_ALT_BASES,T3_IMP3_236_s8t16_MLP_t520_IMP3_236_s8t16,428,53.50,0.3575,-100.06,-1.870,862.20,-0.845,1754,5450
TRACK3_ALT_BASES,T3_IMP3_236_s8t16_MLP_t550_IMP3_236_s8t16,252,31.50,0.3611,-50.19,-1.593,435.02,-0.448,1010,6236
TRACK3_ALT_BASES,T3_IMP3_236_s8t16_MLP_t600_IMP3_236_s8t16,88,11.00,0.2841,-55.97,-5.088,447.78,-0.536,337,6951
TRACK3_ALT_BASES,T3_IMP3_118_s5t15_MLP_t450_IMP3_118_s5t15,1214,151.75,0.2965,-157.60,-1.039,1521.79,-0.828,4430,2591
TRACK3_ALT_BASES,T3_IMP3_118_s5t15_MLP_t500_IMP3_118_s5t15,715,89.38,0.3035,-67.62,-0.757,829.38,-0.494,2536,4612
TRACK3_ALT_BASES,T3_IMP3_118_s5t15_MLP_t520_IMP3_118_s5t15,491,61.38,0.3055,-43.52,-0.709,578.41,-0.324,1723,5478
TRACK3_ALT_BASES,T3_IMP3_118_s5t15_MLP_t550_IMP3_118_s5t15,287,35.88,0.3101,-19.00,-0.529,385.36,-0.225,1004,6240
TRACK3_ALT_BASES,T3_IMP3_118_s5t15_MLP_t600_IMP3_118_s5t15,108,13.50,0.3056,-11.78,-0.873,328.87,-0.149,332,6960
TRACK4_CALIBRATED,T4_MLPcal_t300_CANON_236_s10t20,55,6.88,0.3091,-33.84,-4.922,323.86,-0.465,194,6287
TRACK4_CALIBRATED,T4_MLPcal_t350_CANON_236_s10t20,18,2.25,0.3889,-4.43,-1.970,76.46,-0.152,46,6451
TRACK4_CALIBRATED,T4_MLPcal_t400_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK4_CALIBRATED,T4_MLPcal_t450_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
TRACK4_CALIBRATED,T4_MLPcal_t500_CANON_236_s10t20,0,0.00,0.0000,0.00,0.000,0.00,0.000,0,6499
