name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
LHD_g50_5min_time65h25,LHD,5min,690,4.4,32.0,92.6,2558.0,7048.0,26.8
LHD_g50_5min_trail2.5h0,LHD,5min,607,3.9,-3.3,87.2,-262.0,6641.0,43.3
LHD_g50_5min_trail2.5h25,LHD,5min,708,4.5,-17.1,72.1,-1368.0,5492.0,34.0
LHD_g50_5min_trail4.0h0,LHD,5min,585,3.7,11.8,46.1,941.0,3509.0,40.5
LHD_g50_5min_trail4.0h25,LHD,5min,696,4.5,11.5,70.8,921.0,5392.0,29.6
ONH_long_15min_time16h0,ONH,15min,745,4.8,64.6,131.4,5167.0,10009.0,56.6
ONH_long_15min_time16h25,ONH,15min,745,4.8,40.5,112.7,3240.0,8585.0,39.2
ONH_long_15min_time40h0,ONH,15min,743,4.8,93.1,171.5,7445.0,13056.0,58.1
ONH_long_15min_time40h25,ONH,15min,744,4.8,51.4,134.5,4113.0,10237.0,32.3
ONH_long_15min_time65h0,ONH,15min,743,4.8,117.9,211.8,9428.0,16126.0,56.7
ONH_long_15min_time65h25,ONH,15min,744,4.8,80.5,166.2,6436.0,12653.0,21.4
ONH_long_15min_trail2.5h0,ONH,15min,745,4.8,40.8,76.4,3261.0,5820.0,45.8
ONH_long_15min_trail2.5h25,ONH,15min,745,4.8,33.6,82.0,2692.0,6241.0,34.5
ONH_long_15min_trail4.0h0,ONH,15min,723,4.6,54.3,94.1,4345.0,7164.0,44.1
ONH_long_15min_trail4.0h25,ONH,15min,736,4.7,29.1,107.2,2331.0,8164.0,29.5
ONH_momo_15min_time16h0,ONH,15min,740,4.7,4.7,-16.2,374.0,-1235.0,50.8
ONH_momo_15min_time16h25,ONH,15min,740,4.7,36.3,84.5,2903.0,6436.0,38.5
ONH_momo_15min_time40h0,ONH,15min,738,4.7,-13.8,-85.3,-1106.0,-6494.0,49.9
ONH_momo_15min_time40h25,ONH,15min,739,4.7,34.7,82.3,2773.0,6268.0,30.0
ONH_momo_15min_time65h0,ONH,15min,738,4.7,-40.0,-44.2,-3201.0,-3369.0,50.8
ONH_momo_15min_time65h25,ONH,15min,739,4.7,42.7,84.3,3412.0,6417.0,19.1
ONH_momo_15min_trail2.5h0,ONH,15min,740,4.7,4.3,2.0,344.0,155.0,41.5
ONH_momo_15min_trail2.5h25,ONH,15min,740,4.7,34.6,66.1,2767.0,5033.0,33.2
ONH_momo_15min_trail4.0h0,ONH,15min,719,4.6,16.7,-56.1,1336.0,-4273.0,39.8
ONH_momo_15min_trail4.0h25,ONH,15min,729,4.7,46.4,59.7,3712.0,4545.0,28.3
TTF_15min_time16h0,TTF,15min,2532,16.2,53.8,-87.6,4303.0,-6670.0,49.6
TTF_15min_time16h25,TTF,15min,4098,26.2,-49.4,56.1,-3950.0,4272.0,24.7
TTF_15min_time40h0,TTF,15min,1365,8.7,129.6,-349.9,10365.0,-26639.0,46.7
TTF_15min_time40h25,TTF,15min,3227,20.7,-2.1,94.5,-166.0,7192.0,15.5
TTF_15min_time65h0,TTF,15min,906,5.8,58.9,-55.6,4716.0,-4231.0,50.8
TTF_15min_time65h25,TTF,15min,2846,18.2,31.4,155.5,2510.0,11838.0,12.9
TTF_15min_trail2.5h0,TTF,15min,3192,20.4,-229.5,-292.3,-18360.0,-22258.0,35.0
TTF_15min_trail2.5h25,TTF,15min,4291,27.5,-222.8,-258.5,-17827.0,-19680.0,23.9
TTF_15min_trail4.0h0,TTF,15min,1770,11.3,-14.5,-175.6,-1158.0,-13367.0,34.4
TTF_15min_trail4.0h25,TTF,15min,3232,20.7,-53.9,-81.7,-4314.0,-6221.0,17.3
LHD_g20_15min_time16h0,LHD,15min,665,4.3,-10.5,-2.7,-840.0,-205.0,46.0
LHD_g20_15min_time16h25,LHD,15min,665,4.3,-4.5,65.3,-362.0,4971.0,29.5
LHD_g20_15min_time40h0,LHD,15min,665,4.3,-2.5,6.6,-199.0,505.0,46.2
LHD_g20_15min_time40h25,LHD,15min,665,4.3,19.0,59.2,1523.0,4509.0,25.0
LHD_g20_15min_time65h0,LHD,15min,665,4.3,-41.3,9.0,-3304.0,688.0,47.5
LHD_g20_15min_time65h25,LHD,15min,665,4.3,25.4,88.1,2028.0,6711.0,18.6
LHD_g20_15min_trail2.5h0,LHD,15min,665,4.3,-10.8,10.3,-866.0,782.0,39.4
LHD_g20_15min_trail2.5h25,LHD,15min,665,4.3,-5.7,33.6,-457.0,2555.0,26.9
LHD_g20_15min_trail4.0h0,LHD,15min,654,4.2,6.0,5.5,479.0,415.0,36.9
LHD_g20_15min_trail4.0h25,LHD,15min,661,4.2,-12.0,23.4,-964.0,1781.0,22.8
LHD_g50_15min_time16h0,LHD,15min,558,3.6,-9.6,-39.7,-766.0,-3021.0,45.0
LHD_g50_15min_time16h25,LHD,15min,558,3.6,-1.5,48.6,-117.0,3704.0,28.3
LHD_g50_15min_time40h0,LHD,15min,558,3.6,5.0,-44.8,398.0,-3414.0,45.2
LHD_g50_15min_time40h25,LHD,15min,558,3.6,23.6,37.2,1885.0,2835.0,23.7
LHD_g50_15min_time65h0,LHD,15min,558,3.6,-51.3,-50.7,-4106.0,-3860.0,46.8
LHD_g50_15min_time65h25,LHD,15min,558,3.6,21.3,70.7,1707.0,5384.0,17.6
LHD_g50_15min_trail2.5h0,LHD,15min,558,3.6,-10.8,-32.7,-860.0,-2487.0,37.8
LHD_g50_15min_trail2.5h25,LHD,15min,558,3.6,0.0,16.5,2.0,1255.0,25.4
LHD_g50_15min_trail4.0h0,LHD,15min,551,3.5,-1.7,-45.5,-138.0,-3462.0,35.0
LHD_g50_15min_trail4.0h25,LHD,15min,556,3.6,-8.4,6.1,-672.0,468.0,21.0
