name,trades,trades_per_day,wr,per_day_191,per_day_074,per_day_NQ_191,per_day_NQ_074,per_trade_191,max_dd_191,max_dd_074,sharpe_191,sharpe_074,n_days,pos_d_191,neg_d_191
D6_TAPE_x7_o2_s5t15,35,0.7,0.1143,-5.51,-4.74,-43.77,-43.00,-8.347,320.25,280.47,-0.621,-0.537,25,3,22
D6_TAPE_x7_o3_s5t20,31,0.6,0.0645,-5.63,-4.94,-46.21,-45.53,-9.620,298.21,261.94,-1.066,-0.939,21,2,19
D6_TAPE_x5_o5_s8t24,37,0.7,0.1622,-5.80,-4.99,-46.03,-45.21,-8.312,334.74,293.79,-0.453,-0.390,27,6,21
D6_TAPE_x7_o2_s5t20,39,0.7,0.1026,-6.02,-5.16,-47.60,-46.74,-8.188,357.41,312.95,-0.522,-0.454,26,3,23
D10_MTF_pp450_imp5_b4_s6t16_NYO,215,4.1,0.3023,-6.08,-1.34,8.92,13.66,-1.499,396.69,262.14,-0.159,-0.035,42,19,23
D10_MTF_pp382_imp5_b3_s10t24_OVR,335,6.3,0.3313,-6.64,0.75,42.24,49.63,-1.051,672.89,593.34,-0.089,0.010,42,17,25
D6_TAPE_x7_o3_s8t24,30,0.6,0.1333,-6.71,-6.05,-57.39,-56.73,-11.858,355.73,320.63,-0.951,-0.851,21,3,18
D6_TAPE_x5_o3_s5t20,35,0.7,0.0571,-6.77,-5.99,-56.30,-55.53,-10.244,396.64,356.86,-0.874,-0.794,24,2,22
D10_MTF_pp190_imp5_b3_s6t16_OVR,480,9.1,0.3167,-6.99,3.61,85.83,96.43,-0.771,616.02,446.68,-0.139,0.072,42,15,27
D6_TAPE_x7_o2_s8t24,39,0.7,0.1538,-7.06,-6.20,-57.95,-57.09,-9.594,420.25,375.79,-0.490,-0.432,26,4,22
D6_TAPE_x5_o3_s5t15,39,0.7,0.0769,-7.22,-6.36,-59.58,-58.72,-9.816,410.91,366.45,-1.131,-1.029,25,2,23
D6_TAPE_x3_o5_s8t24,81,1.5,0.2716,-7.33,-5.54,-47.03,-45.24,-4.796,388.50,334.66,-0.242,-0.186,39,13,26
D6_TAPE_x5_o2_s5t20,46,0.9,0.0870,-7.61,-6.60,-61.19,-60.18,-8.769,479.57,428.09,-0.704,-0.632,28,4,24
D10_MTF_pp190_imp4_b4_s6t30_NYO,327,6.2,0.2018,-7.71,-0.50,28.92,36.14,-1.250,865.28,641.81,-0.135,-0.009,42,15,27
D10_MTF_pp450_imp4_b4_s10t20_CME,798,15.1,0.4110,-7.73,9.89,181.54,199.16,-0.513,917.42,754.17,-0.074,0.094,52,24,28
D5_ABSinv_t20_s5t15,52,1.0,0.1538,-7.83,-6.68,-61.39,-60.25,-7.976,414.77,353.93,-0.687,-0.619,28,4,24
D10_MTF_pp450_imp4_b4_s12t20_OVR,293,5.5,0.4027,-8.13,-1.66,13.76,20.22,-1.470,680.25,536.34,-0.117,-0.024,42,18,24
D6_TAPE_x5_o2_s5t15,47,0.9,0.0851,-8.32,-7.28,-67.92,-66.88,-9.378,496.96,444.31,-0.815,-0.744,29,4,25
D6_TAPE_x3_o5_s5t20,82,1.5,0.1707,-8.32,-6.51,-56.61,-54.80,-5.378,441.01,345.07,-0.416,-0.332,39,8,31
D10_MTF_pp450_imp6_b4_s6t16_NYO,197,3.7,0.2843,-8.58,-4.23,-21.93,-17.58,-2.309,516.77,376.37,-0.256,-0.126,42,16,26
D10_MTF_pp236_imp6_b3_s6t24_CME,934,17.6,0.2923,-8.94,11.68,213.53,234.14,-0.507,1163.37,887.25,-0.074,0.096,52,19,33
D6_TAPE_x5_o2_s8t24,46,0.9,0.1304,-9.18,-8.17,-76.90,-75.89,-10.579,563.45,511.97,-0.759,-0.688,29,5,24
D10_MTF_pp382_imp3_b3_s12t16_CME,1052,19.8,0.4734,-9.83,13.39,242.89,266.11,-0.495,1121.84,826.60,-0.082,0.110,52,20,32
D6_TAPE_x3_o5_s5t15,82,1.5,0.1707,-9.94,-8.13,-72.76,-70.95,-6.422,526.57,430.63,-0.544,-0.456,39,8,31
D10_MTF_pp450_imp6_b4_s10t20_CME,606,11.4,0.3894,-10.85,2.52,88.02,101.40,-0.949,839.92,698.53,-0.100,0.023,52,22,30
D10_MTF_pp450_imp3_b4_s12t24_OVR,312,5.9,0.3622,-11.09,-4.21,-9.73,-2.84,-1.884,892.67,646.41,-0.144,-0.055,42,20,22
D6_TAPE_x5_o3_s8t24,38,0.7,0.0789,-11.24,-10.40,-100.09,-99.25,-15.679,623.92,580.63,-1.126,-1.078,25,2,23
D10_MTF_pp300_imp3_b3_s10t20_OVR,435,8.2,0.3609,-12.62,-3.02,14.87,24.47,-1.538,919.31,597.86,-0.243,-0.058,42,17,25
D10_MTF_pp450_imp6_b3_s8t24_CME,633,11.9,0.3302,-12.80,1.17,77.30,91.27,-1.072,862.78,646.33,-0.128,0.012,52,15,37
D6_TAPE_x3_o3_s5t20,126,2.4,0.1984,-12.81,-10.02,-87.18,-84.40,-5.386,716.76,574.55,-0.507,-0.412,39,8,31
D10_MTF_pp450_imp6_b4_s12t24_OVR,237,4.5,0.3460,-14.40,-9.17,-67.15,-61.92,-3.221,923.88,781.71,-0.225,-0.143,42,15,27
D10_MTF_pp450_imp3_b3_s10t30_OVR,338,6.4,0.2811,-14.47,-7.00,-35.04,-27.58,-2.268,916.50,701.15,-0.205,-0.099,42,15,27
D6_TAPE_x3_o2_s5t15,153,2.9,0.2288,-14.61,-11.23,-96.46,-93.08,-5.061,833.82,666.12,-0.466,-0.377,45,15,30
D6_TAPE_x3_o2_s5t20,158,3.0,0.2278,-14.70,-11.21,-95.77,-92.28,-4.932,832.44,658.89,-0.413,-0.332,45,13,32
D6_TAPE_x3_o2_s8t24,148,2.8,0.2973,-15.06,-11.80,-102.63,-99.36,-5.394,853.93,687.79,-0.426,-0.345,44,15,29
D6_TAPE_x3_o3_s5t15,125,2.4,0.1920,-15.44,-12.68,-113.85,-111.09,-6.546,861.88,720.31,-0.693,-0.595,39,8,31
D10_MTF_pp450_imp6_b4_s6t16_OVR,260,4.9,0.2654,-16.14,-10.40,-77.10,-71.36,-3.291,977.01,709.08,-0.427,-0.277,42,16,26
D6_TAPE_x3_o3_s8t24,121,2.3,0.2397,-16.90,-14.23,-129.74,-127.07,-7.402,923.77,783.37,-0.526,-0.454,38,12,26
D10_MTF_pp382_imp4_b4_s6t20_CME,945,17.8,0.3111,-17.54,3.32,131.07,151.93,-0.984,1024.56,723.58,-0.202,0.038,52,23,29
D10_MTF_pp300_imp3_b4_s10t30_OVR,349,6.6,0.2751,-18.71,-11.00,-73.89,-66.18,-2.841,1371.97,1061.68,-0.277,-0.165,42,15,27
D10_MTF_pp236_imp4_b4_s6t30_OVR,432,8.2,0.1829,-19.65,-10.12,-56.41,-46.87,-2.411,1104.76,621.61,-0.331,-0.173,42,15,27
D10_MTF_pp300_imp6_b4_s12t16_CME,742,14.0,0.4488,-21.11,-4.73,29.60,45.98,-1.508,1164.96,714.93,-0.236,-0.052,52,23,29
D10_MTF_pp300_imp3_b4_s8t24_NYO,267,5.0,0.2360,-21.31,-15.41,-126.48,-120.59,-4.230,1365.16,1098.40,-0.374,-0.273,42,11,31
D10_MTF_pp450_imp6_b3_s12t24_RTH,715,13.5,0.3720,-22.06,-6.27,11.33,27.11,-1.635,1511.79,1192.15,-0.225,-0.064,42,18,24
D10_MTF_pp300_imp4_b4_s12t24_NYO,244,4.6,0.3074,-23.57,-18.18,-156.54,-151.15,-5.119,1315.43,1042.82,-0.458,-0.357,41,11,30
D10_MTF_pp382_imp4_b4_s12t16_OVR,308,5.8,0.3961,-26.05,-19.25,-160.61,-153.81,-4.483,1474.15,1119.64,-0.387,-0.288,42,16,26
D10_MTF_pp236_imp6_b4_s6t16_CME,876,16.5,0.3196,-26.08,-6.75,23.29,42.63,-1.578,1497.18,735.80,-0.305,-0.079,52,24,28
D10_MTF_pp236_imp6_b4_s10t20_RTH,909,17.2,0.3663,-26.25,-6.18,32.32,52.39,-1.531,1781.60,1123.04,-0.276,-0.066,42,17,25
D10_MTF_pp450_imp4_b4_s10t30_RTH,747,14.1,0.3025,-26.73,-10.24,-24.97,-8.48,-1.896,1544.58,997.37,-0.234,-0.090,42,16,26
D10_MTF_pp450_imp4_b3_s6t20_RTH,939,17.7,0.2694,-26.98,-6.25,34.74,55.47,-1.523,1611.84,676.33,-0.387,-0.090,42,16,26
D10_MTF_pp382_imp6_b3_s12t24_RTH,772,14.6,0.3640,-29.45,-12.41,-44.11,-27.07,-2.022,1879.73,1403.25,-0.254,-0.107,42,13,29
D10_MTF_pp236_imp3_b4_s12t30_RTH,985,18.6,0.3472,-29.47,-7.72,24.80,46.55,-1.586,2868.31,2064.52,-0.197,-0.052,42,15,27
D9_ADAP_R4_INV_pp382_s5t20_imp5,2146,40.5,0.2801,-33.73,13.65,358.76,406.13,-0.833,2059.10,860.75,-0.265,0.107,52,22,30
D10_MTF_pp382_imp5_b3_s10t16_RTH,888,16.8,0.3964,-35.94,-16.33,-71.36,-51.75,-2.145,1934.74,906.35,-0.435,-0.195,42,13,29
D10_MTF_pp382_imp6_b4_s8t16_RTH,725,13.7,0.3407,-36.33,-20.32,-128.11,-112.10,-2.655,1925.24,1179.68,-0.525,-0.299,42,12,30
D10_MTF_pp300_imp3_b4_s10t20_RTH,982,18.5,0.3574,-39.45,-17.77,-75.99,-54.31,-2.129,2151.41,1371.69,-0.419,-0.191,42,14,28
D10_MTF_pp300_imp3_b4_s12t20_RTH,959,18.1,0.3942,-40.25,-19.08,-91.47,-70.30,-2.225,2276.50,1318.49,-0.436,-0.208,42,13,29
D10_MTF_pp382_imp5_b3_s12t24_all,2687,50.7,0.4038,-43.02,16.30,441.30,500.61,-0.849,2582.69,1468.56,-0.169,0.065,52,19,33
R10_BASE_R8_C04_MTF_early_imp4_b3_s8t24_INV,3321,62.7,0.3339,-44.43,28.88,632.84,706.15,-0.709,2440.32,1355.37,-0.193,0.126,52,15,37
D10_MTF_pp300_imp6_b4_s8t24_RTH,837,15.8,0.2700,-46.42,-27.94,-192.69,-174.21,-2.939,2580.06,1642.41,-0.500,-0.306,42,15,27
D10_MTF_pp450_imp4_b3_s6t24_all,3161,59.6,0.2765,-53.48,16.30,490.39,560.17,-0.897,2915.89,1144.95,-0.307,0.092,52,15,37
D10_MTF_pp450_imp6_b4_s6t20_all,2129,40.2,0.2837,-56.93,-9.94,121.18,168.18,-1.417,3102.65,1059.68,-0.389,-0.068,52,17,35
D10_MTF_pp300_imp5_b3_s8t30_all,3218,60.7,0.3033,-58.72,12.32,456.57,527.61,-0.967,3343.45,1361.06,-0.271,0.057,52,17,35
D10_MTF_pp382_imp4_b3_s12t20_all,3099,58.5,0.4263,-60.01,8.40,405.01,473.42,-1.026,3502.25,2042.09,-0.239,0.034,52,13,39
D5_ABS_t15_s5t20,778,14.7,0.2018,-77.06,-59.89,-518.27,-501.09,-5.250,4133.66,3236.80,-0.750,-0.631,49,9,40
D5_ABS_t15_s5t15,794,15.0,0.2191,-77.59,-60.06,-518.40,-500.87,-5.179,4139.08,3214.78,-0.774,-0.652,49,8,41
D5_ABSinv_t15_s5t15,770,14.5,0.2091,-79.89,-62.89,-549.18,-532.18,-5.499,4277.57,3380.18,-1.010,-0.886,48,6,42
D5_ABSinv_t15_s3t9,809,15.3,0.1520,-80.09,-62.23,-538.48,-520.62,-5.247,4260.72,3315.36,-1.241,-1.146,49,0,49
D9_ADAP_R4_INV_pp382_s4t16_imp3,2648,50.0,0.2538,-80.75,-22.29,51.38,109.84,-1.616,4608.37,1974.70,-0.571,-0.165,52,16,36
D5_ABSinv_t15_s5t20,770,14.5,0.1922,-82.03,-65.04,-570.59,-553.59,-5.646,4385.85,3486.12,-0.933,-0.812,49,6,43
D9_ADAP_R4_INV_pp118_s4t16_imp5,3047,57.5,0.2527,-83.29,-16.02,155.39,222.65,-1.449,4565.04,1095.51,-0.755,-0.157,52,14,38
D9_ADAP_R4_INV_pp236_s5t20_imp5,2681,50.6,0.2592,-84.82,-25.64,21.33,80.51,-1.677,4519.48,1656.94,-0.555,-0.174,52,15,37
D5_ABS_t15_s3t9,829,15.6,0.1460,-85.81,-67.51,-589.26,-570.96,-5.486,4548.11,3578.18,-1.080,-0.983,49,4,45
D9_ADAP_R4_INV_pp236_s10t20,2534,47.8,0.3765,-109.15,-53.22,-269.67,-213.73,-2.283,6060.09,3714.26,-0.566,-0.285,52,20,32
D10_MTF_pp236_imp5_b3_s6t24_all,3760,70.9,0.2617,-110.36,-27.35,115.95,198.95,-1.556,5899.84,2275.85,-0.539,-0.137,52,13,39
D9_ADAP_R4_INV_pp236_s4t16_imp3,3310,62.5,0.2483,-117.73,-44.66,-103.72,-30.65,-1.885,6365.15,2731.13,-0.882,-0.364,52,9,43
D9_ADAP_R4_INV_pp118_s4t16_imp3,3561,67.2,0.2480,-118.96,-40.35,-34.62,43.99,-1.771,6398.59,2468.46,-0.731,-0.269,52,14,38
D9_ADAP_R4_CANON_INV_236,2513,47.4,0.3705,-120.36,-64.88,-388.51,-333.03,-2.538,6661.72,3933.28,-0.751,-0.413,52,11,41
D9_ADAP_R4_INV30s_imp3_s4t12,4826,91.1,0.2949,-143.02,-36.49,135.01,241.55,-1.571,7680.99,2291.17,-1.012,-0.289,52,8,44
D9_ADAP_R4_INV30s_imp3_s3t9,4915,92.7,0.2930,-164.53,-56.03,-51.20,57.30,-1.774,8743.52,3019.06,-1.288,-0.541,52,4,48
D4_VPIN_hi_CANON_INV_236,6209,117.2,0.3743,-234.44,-97.38,-330.61,-193.54,-2.001,13045.17,6776.92,-0.643,-0.280,51,14,37
D9_ADAP_R4_INV15s_imp2_s3t12,7977,150.5,0.2421,-261.01,-84.91,-22.82,153.27,-1.734,13888.65,4802.07,-1.391,-0.568,52,6,46
D9_ADAP_R4_INV15s_imp2_s4t12,7729,145.8,0.2855,-268.09,-97.47,-174.12,-3.50,-1.838,14264.13,5435.54,-1.336,-0.576,52,5,47
ENS_CHILD_R4_INV_pp382_s5t20_imp5,7144,134.8,0.2469,-268.33,-110.62,-366.19,-208.48,-1.991,14351.86,6192.90,-1.052,-0.474,52,6,46
ENS_CHILD_R4_CANON_INV_236,7430,140.2,0.3769,-272.20,-108.18,-312.17,-148.15,-1.942,14617.13,7051.62,-0.678,-0.282,52,13,39
R10_BASE_R4_CANON_INV_236,7430,140.2,0.3719,-299.16,-135.14,-581.79,-417.77,-2.134,16161.82,8497.07,-0.732,-0.348,52,13,39
ENS_CHILD_R4_INV_pp118_s4t16_imp3,12654,238.8,0.2368,-461.23,-181.89,-508.10,-228.75,-1.932,24546.24,10109.45,-1.291,-0.611,52,5,47
ENS_CHILD_R4_INV15s_imp2_s4t12,12788,241.3,0.2775,-499.95,-217.64,-851.80,-569.50,-2.072,26577.90,11867.49,-1.625,-0.937,52,4,48
ENS_CHILD_R4_INV30s_imp3_s3t9,13898,262.2,0.2800,-545.18,-238.37,-944.11,-637.31,-2.079,28955.81,12757.61,-1.741,-1.048,52,2,50
D8_ENS_v4_s10t20,6377,120.3,0.3205,-639.14,-498.36,-4323.06,-4182.28,-5.312,33874.26,26417.23,-1.661,-1.437,52,1,51
D8_ENS_v4_s8t24,6928,130.7,0.2577,-693.64,-540.70,-4689.38,-4536.44,-5.306,36775.49,28682.60,-1.666,-1.435,52,1,51
D8_ENS_v3_s10t20,8310,156.8,0.3142,-848.17,-664.72,-5786.45,-5603.01,-5.410,44953.09,35239.70,-1.755,-1.560,52,1,51
D5_ABS_t10_s5t15,8388,158.3,0.1985,-873.73,-688.56,-6016.69,-5831.52,-5.521,46365.88,36557.77,-1.488,-1.359,52,1,51
D5_ABSinv_t10_s5t15,8544,161.2,0.1945,-892.28,-703.66,-6151.60,-5962.99,-5.535,47357.12,37379.36,-1.507,-1.376,52,2,50
D8_ENS_v4_s5t15,9356,176.5,0.2054,-907.86,-701.32,-6044.05,-5837.52,-5.143,48120.99,37181.49,-1.972,-1.826,52,2,50
D4_VPIN_hi_INV15s_imp2_s4t12,23771,448.5,0.2763,-914.82,-390.07,-1438.33,-913.58,-2.040,48509.77,20740.50,-1.447,-1.044,52,3,49
D8_ENS_v3_s8t24,9062,171.0,0.2501,-942.50,-742.45,-6485.85,-6285.81,-5.512,49952.79,39370.14,-1.759,-1.573,52,1,51
D8_ENS_v2_s10t20,9190,173.4,0.3112,-983.64,-780.77,-6855.75,-6652.88,-5.673,52133.09,41380.79,-1.811,-1.630,52,1,51
D8_ENS_v2_s8t24,10077,190.1,0.2489,-1056.79,-834.34,-7299.57,-7077.11,-5.558,56036.68,44267.65,-1.843,-1.676,52,0,52
D5_ABSinv_t10_s3t9,11212,211.5,0.1470,-1143.12,-895.61,-7794.75,-7547.24,-5.404,60601.70,47484.83,-1.603,-1.527,52,0,52
D5_ABS_t10_s3t9,11216,211.6,0.1439,-1161.20,-913.60,-7974.23,-7726.63,-5.487,61556.33,48441.80,-1.482,-1.402,52,0,52
D8_ENS_v3_s5t15,13338,251.7,0.1964,-1358.62,-1064.17,-9260.13,-8965.68,-5.399,72006.69,56401.23,-2.101,-1.989,52,0,52
D8_ENS_v2_s5t15,15537,293.2,0.1966,-1592.22,-1249.24,-10882.97,-10539.99,-5.431,84387.86,66209.57,-2.085,-1.981,52,0,52
