name,imp,W,pull,stop,tgt,htf,n,tr_day,per_day,maxDD,sharpe,worst_block,trend_pd,chop_pd,blocks
i4.0_w3_p0.118_s8.0_t30.0_htf0,4.0,3,0.118,8.0,30.0,0,10650,154.3,220.2,4530.0,4.66,-97.8,123.8,265.3,"[np.float64(293.8), np.float64(-97.8), np.float64(-47.1), np.float64(34.6), np.float64(895.5), np.float64(189.7)]"
i4.0_w3_p0.118_s8.0_t30.0_htf20,4.0,3,0.118,8.0,30.0,20,6755,97.9,68.3,6388.0,2.26,-127.5,141.9,33.9,"[np.float64(39.3), np.float64(-100.6), np.float64(-127.5), np.float64(-34.8), np.float64(595.4), np.float64(18.2)]"
i4.0_w3_p0.118_s8.0_t30.0_htf40,4.0,3,0.118,8.0,30.0,40,7407,107.3,6.4,8663.0,0.2,-204.8,120.7,-47.1,"[np.float64(-105.5), np.float64(-204.8), np.float64(-79.6), np.float64(-93.8), np.float64(606.8), np.float64(-94.3)]"
i4.0_w3_p0.118_s8.0_t44.0_htf0,4.0,3,0.118,8.0,44.0,0,10143,147.0,289.2,3854.0,5.8,-57.9,114.9,370.8,"[np.float64(242.1), np.float64(-57.9), np.float64(8.6), np.float64(114.1), np.float64(975.5), np.float64(390.1)]"
i4.0_w3_p0.118_s8.0_t44.0_htf20,4.0,3,0.118,8.0,44.0,20,6596,95.6,42.6,5595.0,1.46,-111.4,84.9,22.8,"[np.float64(53.7), np.float64(-111.4), np.float64(-102.5), np.float64(1.1), np.float64(493.3), np.float64(-89.3)]"
i4.0_w3_p0.118_s8.0_t44.0_htf40,4.0,3,0.118,8.0,44.0,40,7238,104.9,-45.4,9667.0,-1.37,-255.1,63.0,-96.1,"[np.float64(-204.7), np.float64(-255.1), np.float64(-70.6), np.float64(-55.2), np.float64(479.9), np.float64(-159.8)]"
i4.0_w3_p0.118_s12.0_t20.0_htf0,4.0,3,0.118,12.0,20.0,0,10736,155.6,-56.1,11290.0,-1.69,-291.9,-103.3,-34.0,"[np.float64(-193.6), np.float64(-205.9), np.float64(-190.8), np.float64(-291.9), np.float64(358.5), np.float64(176.8)]"
i4.0_w3_p0.118_s12.0_t20.0_htf20,4.0,3,0.118,12.0,20.0,20,6618,95.9,40.3,5188.0,1.63,-80.6,88.2,17.8,"[np.float64(-36.6), np.float64(-76.0), np.float64(-80.6), np.float64(-36.4), np.float64(418.0), np.float64(39.9)]"
i4.0_w3_p0.118_s12.0_t20.0_htf40,4.0,3,0.118,12.0,20.0,40,7230,104.8,5.2,7560.0,0.18,-166.8,105.1,-41.6,"[np.float64(-166.8), np.float64(-110.7), np.float64(-87.1), np.float64(-147.6), np.float64(461.2), np.float64(68.5)]"
i4.0_w3_p0.118_s12.0_t30.0_htf0,4.0,3,0.118,12.0,30.0,0,10217,148.1,-14.1,10518.0,-0.34,-224.6,-87.3,20.1,"[np.float64(-224.6), np.float64(-181.1), np.float64(-204.3), np.float64(-165.3), np.float64(594.6), np.float64(85.9)]"
