name,trades,wr,pnl,per_day,per_trade,trades_per_day,n_days,max_dd,worst_day,best_day,sharpe,tstat_signal
HTF_15m_MR20_2.0std_S50_T100,6679,0.45006737535559216,-3152.4139999999015,-4.602064233576499,-0.47198892049706564,9.75036496350365,685,-12729.861999999212,-1210.8019999999963,1491.458,-0.011228846854951223,
HTF_15m_BR20_S50_T100,7156,0.44284516489659026,-3227.0640000001526,-4.649948126801372,-0.4509591950810722,10.311239193083573,694,-12079.989999999387,-1119.4180000000013,2174.98,-0.011794290003383844,
HTF_15m_MR50_2.0std_S50_T100,8631,0.4408527401228131,-3525.8519999997584,-5.2390074294201465,-0.4085102537365031,12.824665676077267,673,-12358.195999999465,-2155.5479999999698,2148.570000000009,-0.008669388286215713,
HTF_15m_MOMx5_LONG_S50_T100,3146,0.44119516846789575,-4033.898000000072,-6.527343042071314,-1.2822307692307922,5.090614886731392,618,-8980.373999999527,-774.1320000000036,1325.5820000000015,-0.026310610828996,
TOM_FIRST3_SHORT_HOLD6h,69,0.391304347826087,-5786.456,-86.36501492537313,-83.86168115942029,1.0298507462686568,67,-6442.415999999991,-872.5640000000005,1420.2559999999992,-0.19938606252446917,
HTF_60m_MOMx5_FADE_S100_T200,828,0.4359903381642512,-8298.153999999922,-22.9865761772851,-10.021925120772853,2.293628808864266,361,-13567.237999999827,-1291.0479999999898,861.4379999999908,-0.07146250795139235,
TOM_LAST3_LONG_HOLD6h,76,0.3815789473684211,-8491.32799999998,-111.72799999999972,-111.72799999999972,1.0,76,-10206.909999999973,-926.9260000000015,1029.0039999999988,-0.3134948525176686,
HTF_30m_MOMx5_FADE_S75_T150,1628,0.42997542997543,-8808.300000000007,-17.305108055009836,-5.41050368550369,3.1984282907662083,509,-9293.147999999683,-1582.961999999999,1313.9219999999957,-0.05817267689592236,
TOM_LAST3_LONG_HOLD24h,76,0.40789473684210525,-8822.05999999999,-116.07973684210513,-116.07973684210513,1.0,76,-12158.931999999979,-1638.2260000000044,1745.7760000000033,-0.19928062059479892,
HTF_30m_MOMx3_FADE_S75_T150,6804,0.4454732510288066,-15035.100000000006,-21.448074179743234,-2.209744268077602,9.706134094151212,701,-18069.909999999643,-2453.825999999995,1635.906000000004,-0.04360695441031136,
HTF_15m_MOMx3_FADE_S50_T100,13446,0.45537706381079873,-16388.62999999968,-22.636229281767516,-1.2188479845306917,18.57182320441989,724,-24528.237999999266,-1541.0699999999956,1490.1519999999946,-0.05056645821773183,
HTF_60m_MR20_2.0std_S100_T200,1879,0.42150079829696646,-16661.33599999995,-26.96009061488665,-8.867129324108541,3.040453074433657,618,-20828.923999999657,-1613.92,1419.891999999999,-0.06345693767250023,
WEEKOPEN_SHORT_HOLD1d,82,0.2804878048780488,-17609.001999999964,-214.74392682926785,-214.74392682926785,1.0,82,-18119.735999999957,-2193.9839999999986,1580.6700000000035,-0.4306987138561494,
HTF_5m_MOMx5_LONG_S25_T50,9521,0.4191786577040227,-17840.81399999981,-25.52333905579372,-1.873838252284404,13.620886981402004,699,-19120.15199999881,-643.5019999999987,965.6800000000189,-0.10846445688253051,
HTF_15m_MOMx3_LONG_S50_T100,13446,0.44511378848728245,-18095.49200000031,-25.097769764216796,-1.3457899747136925,18.649098474341194,721,-32148.628000004064,-1371.1540000000025,1885.4780000000226,-0.04841802692578038,
HTF_60m_MOMx3_FADE_S100_T200,3470,0.4435158501440922,-21740.441999999784,-32.11291285081209,-6.26525706051867,5.125553914327917,677,-33099.19800000051,-2017.4,1590.0899999999967,-0.06688970523700487,
HTF_5m_BR50_S25_T50,13044,0.4157467034651947,-21816.820000000418,-30.51303496503555,-1.6725559644281216,18.243356643356645,715,-22792.060000003956,-776.1,1051.5919999999949,-0.11759919920185635,
