name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
CHOPB_3min_trail2.0_all,3min,-123.4,22.5,-100.9,1802,11.5,-62.1,-187.7,-4965.0,-14290.0,30.7
CHOPB_3min_trail2.0_rth,3min,-45.7,7.4,-38.3,592,3.8,-7.6,-85.7,-612.0,-6524.0,32.4
DIX_3min_time5_all,3min,-337.9,243.6,-94.3,19406,124.3,-242.2,-438.3,-19376.0,-33376.0,46.4
DIX_3min_time5_rth,3min,-95.6,79.2,-16.4,6315,40.4,-80.2,-111.8,-6415.0,-8513.0,48.8
DIX_3min_time15_all,3min,-219.5,159.3,-60.2,12700,81.3,-205.7,-233.7,-16460.0,-17797.0,47.8
DIX_3min_time15_rth,3min,10.8,53.5,64.3,4257,27.3,-25.1,48.4,-2004.0,3683.0,50.2
DIX_3min_time40_all,3min,-87.3,83.9,-3.4,6687,42.8,-143.2,-28.5,-11459.0,-2173.0,47.8
DIX_3min_time40_rth,3min,-11.7,29.8,18.1,2366,15.2,40.0,-66.0,3199.0,-5028.0,50.7
DIX_3min_trail2.0_all,3min,-817.3,220.9,-596.4,17599,112.7,-678.0,-963.2,-54240.0,-73341.0,32.0
DIX_3min_trail2.0_rth,3min,-358.7,70.8,-287.9,5633,36.1,-269.7,-452.1,-21574.0,-34425.0,34.4
HRMOM_3min_time5_all,3min,-145.5,138.6,-6.9,11046,70.7,-94.6,-198.8,-7570.0,-15137.0,46.9
HRMOM_3min_time5_rth,3min,-50.3,53.9,3.6,4298,27.5,-56.4,-43.9,-4515.0,-3343.0,48.1
HRMOM_3min_time15_all,3min,-106.4,138.6,32.2,11042,70.7,-25.5,-191.4,-2041.0,-14574.0,47.7
HRMOM_3min_time15_rth,3min,27.1,53.9,81.0,4298,27.5,34.3,19.6,2741.0,1489.0,49.0
HRMOM_3min_time40_all,3min,3.9,59.4,63.3,4731,30.3,119.6,-117.7,9571.0,-8963.0,50.0
HRMOM_3min_time40_rth,3min,60.6,24.3,84.9,1934,12.4,93.6,25.9,7490.0,1972.0,49.6
HRMOM_3min_trail2.0_all,3min,-533.7,129.4,-404.3,10299,66.0,-386.9,-687.7,-30956.0,-52361.0,33.6
HRMOM_3min_trail2.0_rth,3min,-246.9,49.8,-197.1,3965,25.4,-206.6,-289.1,-16526.0,-22014.0,35.6
M30F_3min_time5_all,3min,-305.5,210.3,-95.2,16748,107.3,-312.2,-298.4,-24976.0,-22720.0,45.8
M30F_3min_time5_rth,3min,-50.7,67.4,16.7,5364,34.4,-54.1,-47.1,-4326.0,-3584.0,48.6
M30F_3min_time15_all,3min,-140.4,140.5,0.1,11193,71.7,-129.8,-151.5,-10385.0,-11533.0,47.3
M30F_3min_time15_rth,3min,17.3,46.1,63.4,3672,23.5,44.0,-10.7,3518.0,-813.0,48.6
M30F_3min_time40_all,3min,-10.0,78.8,68.8,6270,40.2,74.9,-99.2,5994.0,-7551.0,48.7
M30F_3min_time40_rth,3min,-2.2,27.6,25.4,2198,14.1,84.3,-93.1,6743.0,-7088.0,49.0
M30F_3min_trail2.0_all,3min,-784.8,200.3,-584.5,15964,102.2,-686.1,-888.2,-54885.0,-67628.0,31.0
M30F_3min_trail2.0_rth,3min,-338.7,64.3,-274.4,5124,32.8,-287.1,-392.6,-22970.0,-29896.0,32.9
R25F_3min_time5_all,3min,-292.3,219.9,-72.4,17526,112.2,-221.8,-366.2,-17748.0,-27887.0,48.1
R25F_3min_time5_rth,3min,-155.0,87.2,-67.8,6956,44.5,-94.3,-218.7,-7544.0,-16656.0,48.0
R25F_3min_time15_all,3min,-162.2,144.6,-17.6,11518,73.8,-151.6,-173.2,-12126.0,-13187.0,48.7
R25F_3min_time15_rth,3min,-123.9,55.3,-68.6,4401,28.2,-91.0,-158.4,-7280.0,-12060.0,48.5
R25F_3min_time40_all,3min,1.4,78.4,79.8,6239,40.0,-25.4,29.6,-2029.0,2254.0,50.0
R25F_3min_time40_rth,3min,44.9,30.0,74.9,2390,15.3,-2.5,94.6,-198.0,7206.0,50.5
R25F_3min_trail2.0_all,3min,-772.2,190.7,-581.5,15192,97.3,-650.0,-900.1,-52002.0,-68539.0,32.7
